mol_inhrr,mol_cima
KETOROLAC TROMETAMINA,Ketorolaco Trometamol
DICLOFENAC DIETILAMONIO,Diclofenaco Dietilamina
CEFTAZIDIMA PENTAHIDRATADA,Ceftazidima Pentahidrato
FACTOR VIII DE COAGULACION HUMANO,Factor Viii Humano
PARAFINA LIQUIDA LIGERA,Parafina Liquida
SUCROSA DE HIERRO,Hierro Sacarosa
PROTEINA FERRICA,Proteinas
