ef,sku,nombre_comercial,forma,costo_usd,precio_usd
E.F.13.615,ME13615,FERROCE CON B12 JARABE,JARABE,9.01,15.02
P.F.1.368,ME1368,DEXTROSA AL 5% EN SOLUCION FISIOLOGICA ISOTONICA DE CLORURO DE SODIO I,LOCION,6.32,10.53
P.B.1.384,ME1384,HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 g GEL,GEL,9.48,15.80
P.F.1.388,ME1388,ACIDO ASCORBICO 10 % SOLUCION ORAL EN GOTAS,GOTAS,1.47,2.45
E.F.14.318,ME14318,TOLNAFTAN 1 % SOLUCION,LOCION,5.49,9.15
P.B.1.457,ME1457,RESTYLANE PERLANE LIDOCAINA (ACIDO HIALURONICO - LIDOCAINA CLORHIDRATO) 20mg / mL - 3 mg/mL GEL INYECTABLE,INYECTABLE,1.47,2.45
E.F.14.671,ME14671,PREVERAL  CON CODEINA  JARABE,JARABE,5.99,9.98
E.F.14.784,ME14784,"PREVERAL  CON  DEXTROMETORFANO 6,25 mg-15,00 mg/5ml JARABE PEDIATRICO",JARABE,2.29,3.82
E.F.14.881,ME14881,MADECASSOL 1% UNGUENTO,UNGUENTO,6.96,11.60
E.F.15.830,ME15830,"HEXOMEDINE 1 mg - 0,5 mg / mL COLUTORIO AEROSOL",INHALACION,7.82,13.03
E.F.G.1.645,ME1645,BACITRACINA 125 mg/ 15 g UNGUENTO,UNGUENTO,3.4,5.67
E.F.17.508,ME17508,TILODRIN 30 mg / 15 mL JARABE,JARABE,4.25,7.08
E.F.17.740,ME17740,LISOMUCIN 4 mg / 5 mL JARABE,JARABE,3.67,6.12
E.F.18.142,ME18142,"NASIN 0,05 % SOLUCION NASAL",SOLUCION NASAL,4.89,8.15
E.F.18.498,ME18498,ANTIFOM 80 mg / mL SUSPENSION ORAL,SUSPENSION ORAL,4.63,7.72
E.F.18.961,ME18961,TACHIPIRIN 100 mg / mL SOLUCION ORAL,SOLUCION ORAL,3.64,6.07
E.F.19.270,ME19270,"ERILON 0,1 % CREMA",CREMA,7.59,12.65
E.F.19.381,ME19381,ERILON 1 mg / mL LOCION,LOCION,11.13,18.55
E.F.19.402,ME19402,BALSADER POMADA,POMADA,2.13,3.55
E.F.19.620,ME19620,ATAMEL 100 mg / mL SOLUCION ORAL,SOLUCION ORAL,3.2,5.33
E.F.G.20.104,ME20104,AMOXICILINA 125 mg / 5 mL POLVO PARA SUSPENSION,POLVO PARA RECONSTITUCION,8.91,14.85
E.F.G.20.140,ME20140,BACITRACINA 500 UI - g UNGUENTO,UNGUENTO,3.12,5.20
E.F.20.149,ME20149,IMAZOL 1 % SOLUCION,LOCION,4.29,7.15
E.F.G.20.308,ME20308,BACITRACINA 500 UI / g UNGUENTO,UNGUENTO,4.24,7.07
E.F.20.385,ME20385,MUCOBROL 4 mg / 5 mL JARABE,JARABE,2.17,3.62
E.F.20.628,ME20628,"AIRFEN 0,05 % SOLUCION NASAL",SOLUCION NASAL,5.62,9.37
E.F.21.014,ME21014,"ITISONA 0,1 % CREMA",CREMA,8.79,14.65
E.F.21.233,ME21233,FLODONT EN FILMORASE UNGUENTO BUCAL,UNGUENTO,4.1,6.83
E.F.21.271,ME21271,PINVEX 5 % - 1 % SOLUCION,LOCION,6.13,10.22
E.F.21.432,ME21432,"DERMOVATE 0,05 % CREMA",CREMA,19.65,32.75
E.F.21.495,ME21495,"MODERAN 10,1 g / 15 mL SOLUCION ORAL",SOLUCION ORAL,11.75,19.58
E.F.21.818,ME21818,BREXIN 100 mg / mL SOLUCION ORAL,SOLUCION ORAL,2.72,4.53
E.F.G.22.033,ME22033,ACIDO FOLICO 10 mg COMPRIMIDOS,COMPRIMIDOS,5.58,9.30
E.F.22.089,ME22089,AMOXIVAL 250 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,7.04,11.73
E.F.22.165,ME22165,BENDAMEN 100 mg / 5 mL SUSPENSION,SUSPENSION ORAL,9.19,15.32
E.F.22.169,ME22169,GULAPER 100 mg / 5 mL ORAL,SOLUCION ORAL,5.06,8.43
E.F.22.407,ME22407,LISOMUCIN 8 mg / 5 mL JARABE,JARABE,3.36,5.60
E.F.22.858,ME22858,LOGANIL 250 mg / 5 mL JARABE,JARABE,7.27,12.12
E.F.22.859,ME22859,LOGANIL 100 mg / 5 mL JARABE,JARABE,3.81,6.35
E.F.22.866,ME22866,BEXILON 4 mg /  5 mL JARABE,JARABE,3.53,5.88
E.F.22.931,ME22931,IPALAT 1 % CREMA,CREMA,4.82,8.03
E.F.22.980,ME22980,NUELIN 80 mg / 15 mL JARABE,JARABE,2.55,4.25
E.F.23.088,ME23088,CALCIO OSTELIN 175 mg - 60 UI / 5 mL SUSPENSION,SUSPENSION ORAL,5.58,9.30
E.F.23.146,ME23146,LASIX 20 mg COMPRIMIDOS,COMPRIMIDOS,8.23,13.72
E.F.23.582,ME23582,"MATILOL 0,5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,11.96,19.93
E.F.23.662,ME23662,MAXICORT SUSPENSION OFTALMICA,SUSPENSION ORAL,9.59,15.98
E.F.G.23.745,ME23745,AMOXICILINA 125 mg / 5 mL SUSPENSION,SUSPENSION ORAL,1.95,3.25
E.F.23.774,ME23774,PROTOSULFIL 1 % CREMA,CREMA,4.39,7.32
E.F.23.835,ME23835,VALPRON 250 mg / 5 mL JARABE,JARABE,18.65,31.08
E.F.23.882,ME23882,TRAMAL 100 mg / mL SOLUCION ORAL,SOLUCION ORAL,34.92,58.20
E.F.23.979,ME23979,"CLENBUNAL 0,005 mg / 5 mL SOLUCION ORAL",SOLUCION ORAL,6.62,11.03
E.F.24.206,ME24206,"TANTUN 0,1 % SOLUCION DUCHA VAGINAL",LOCION,5.45,9.08
E.F.24.209,ME24209,ACICLOR 5 % CREMA,CREMA,16.32,27.20
E.F.24.373,ME24373,FUGOLIN 1 % SOLUCION,LOCION,4.33,7.22
E.F.24.456,ME24456,CARNITENE 1 g / 10 mL SOLUCION ORAL,SOLUCION ORAL,7.53,12.55
E.F.24.511,ME24511,DENCORUB GEL,GEL,2.66,4.43
E.F.24.576,ME24576,ZITOXIL 3 % SOLUCION,LOCION,9.57,15.95
E.F.24.672,ME24672,GULAPER 250 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,5.58,9.30
E.F.24.679,ME24679,"TOBRASOL 0,3 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,8.94,14.90
E.F.24.736,ME24736,ATAMEL 120 mg / 5 mL JARABE,JARABE,2.03,3.38
E.F.G.24.809,ME24809,AMPICILINA 250 mg/5mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,4.29,7.15
E.F.24.868,ME24868,"GARABET 0,3 % - 0,1 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,9.3,15.50
E.F.24.875,ME24875,ACEVAL 100 mg/mL SOLUCION ORAL EN GOTAS,GOTAS,3.7,6.17
E.F.24.973,ME24973,TENSOPIN 20 mg / mL SOLUCION ORAL,SOLUCION ORAL,5.19,8.65
E.F.25.126,ME25126,KETAZOL 2 % CREMA,CREMA,3.97,6.62
E.F.25.351,ME25351,"CLENBUNAL 0,01 mg / 5 mL JARABE",JARABE,5.34,8.90
E.F.G.25.529,ME25529,SALBUTAMOL 40 mg/ 100 mL JARABE,JARABE,13.36,22.27
E.F.25.538,ME25538,AUGMENTIN 500 mg - 125 mg TABLETAS RECUBIERTAS,TABLETAS,19.96,33.27
E.F.25.621,ME25621,KETAZOL 2 % CHAMPU,CHAMPU,12.61,21.02
E.F.G.25.639,ME25639,AMOXICILINA 250 mg / 5 mL POLVO PARA SUSPENSION,POLVO PARA RECONSTITUCION,1.3,2.17
E.F.25.685,ME25685,DERAIN 15 % CREMA,CREMA,13.26,22.10
E.F.25.929,ME25929,"CLARIX 0,25 mg / mL SOLUCION NASAL",SOLUCION NASAL,9.15,15.25
E.F.G.25.934,ME25934,ACETAMINOFEN 250 mg SUPOSITORIOS,SUPOSITORIOS,4.3,7.17
E.F.G.25.936,ME25936,OXOLAMINA JARABE,JARABE,4.16,6.93
E.F.G.26.047,ME26047,ATENOLOL 100 mg COMPRIMIDOS,COMPRIMIDOS,6.45,10.75
E.F.G.26.052,ME26052,OXOLAMINA 50 mg / 5 mL JARABE,JARABE,3.94,6.57
E.F.G.26.053,ME26053,OXOLAMINA 28 mg / 5mL JARABE,JARABE,3.89,6.48
E.F.G.26.069,ME26069,CLORHIDRATO DE BROMEXINA 8 mg / 5 mL JARABE.,JARABE,1.9,3.17
E.F.G.26.131,ME26131,"GENTAMICINA  0,3 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,4.21,7.02
E.F.G.26.205,ME26205,OXOLAMINA 50 mg / 5 mL JARABE,JARABE,3.86,6.43
E.F.G.26.219,ME26219,OXOLAMINA CITRATO 50 mg / 5 mL JARABE,JARABE,4.1,6.83
E.F.G.26.276,ME26276,KETOCONAZOL 2% CREMA,CREMA,2.31,3.85
E.F.26.287,ME26287,OFTERRA UNGUENTO OFTALMICO,UNGUENTO,21.29,35.48
E.F.26.475,ME26475,BETADINE 8 % SOLUCION TOPICO BUCAL,SOLUCION TOPICA,6.41,10.68
E.F.G.26.689,ME26689,ENALAPRIL MALEATO 20 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,2.72,4.53
E.F.G.26.698,ME26698,IBUPROFENO 400 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,1.77,2.95
E.F.G.26.813,ME26813,CLOTRIMAZOL 1 % CREMA,CREMA,3.28,5.47
E.F.27.042,ME27042,"ANASMOL 2,5 mg COMPRIMIDOS",COMPRIMIDOS,4.98,8.30
E.F.G.27.081,ME27081,ALBENDAZOL 400 mg / 10 mL SUSPENSION,SUSPENSION ORAL,2.27,3.78
E.F.27.231,ME27231,GYNOVIT SOLUCION DUCHA VAGINAL,LOCION,3.79,6.32
E.F.27.398,ME27398,IBUTAN 100 mg / 5 mL SUSPENSION,SUSPENSION ORAL,3.39,5.65
E.F.27.414,ME27414,AFOKLIN 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,8.57,14.28
E.F.27.471,ME27471,DIKLASON 50 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,1.08,1.80
E.F.27.475,ME27475,LONGACEF 100 mg / 5 mL POLVO PARA SUSPENSION,POLVO PARA RECONSTITUCION,3.39,5.65
E.F.27.514,ME27514,FERGANIC 40 mg / 15 mL SOLUCION ORAL,SOLUCION ORAL,10.13,16.88
E.F.27.531,ME27531,BARGONIL 2 % UNGUENTO,UNGUENTO,9.04,15.07
E.F.27.541,ME27541,LOREX 1 mg / mL JARABE,JARABE,2.54,4.23
E.F.27.552,ME27552,FERGANIC 20 mg / mL SOLUCION ORAL,SOLUCION ORAL,12.21,20.35
E.F.27.689,ME27689,"SALBUROL 0,5 % SOLUCION PARA INHALACION",INHALACION,7.9,13.17
E.F.27.774,ME27774,DIFENAC 1 % GEL,GEL,5.56,9.27
E.F.27.924,ME27924,CICLOFTAL1 % SOLUCION OFTALMICA,SOLUCION OFTALMICA,33.24,55.40
E.F.28.025,ME28025,TOBRASOL 3 mg / g UNGUENTO OFTALMICO,UNGUENTO,20.36,33.93
E.F.G.28.118,ME28118,CLENBUTEROL CLORHIDRATO 10 mcg / 5 mL JARABE,JARABE,3.37,5.62
E.F.G.28.153,ME28153,DICLOFENAC POTASICO 50 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,0.62,1.03
E.F.G.28.201,ME28201,LORATADINA 5 mg / 5 mL JARABE,JARABE,1.7,2.83
E.F.28.267,ME28267,KETOMED 2 % CHAMPU,CHAMPU,26.62,44.37
E.F.28.401,ME28401,"ARBIXIL 7,5 mg - 5 mcg / 5 mL JARABE",JARABE,11.27,18.78
E.F.28.425,ME28425,MISULVAN 30 mg / 5 mL JARABE,JARABE,7.39,12.32
E.F.28.426,ME28426,ARBIXIL 15 mg - 10 mcg / 5 mL JARABE,JARABE,12.4,20.67
E.F.G.28.493,ME28493,AMBROXOL CLORHIDRATO 30 mg / 5 mL JARABE,JARABE,5.92,9.87
E.F.28.504,ME28504,"DUOVENT 0,4 mg - 1 mg AEROSOL",INHALACION,19,31.67
E.F.28.565,ME28565,MYCOFENTIN 2 % CREMA,CREMA,3.18,5.30
E.F.28.634,ME28634,ACICLOR 200 mg / 5 mL POLVO PARA SUSPENSION,POLVO PARA RECONSTITUCION,15.52,25.87
E.F.28.666,ME28666,YONAL 15 mg / 5 mL SOLUCION ORAL,SOLUCION ORAL,4.1,6.83
E.F.G.28.805,ME28805,AZITROMICINA 500 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,2.27,3.78
E.F.28.826,ME28826,ALBICAR 400 mg / 10 mL SUSPENSION,SUSPENSION ORAL,3.4,5.67
E.F.G.28.901,ME28901,SULFADIAZINA DE PLATA 1 % CREMA,CREMA,5.52,9.20
E.F.29.110,ME29110,"FISIOLIN 0,65 % SOLUCION NASAL",SOLUCION NASAL,4.45,7.42
E.F.29.123,ME29123,CETRAL 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,2.66,4.43
E.F.G.29.181,ME29181,CLORHIDRATO DE AMBROXOL 30mg/5mL SOLUCION ORAL,SOLUCION ORAL,2.64,4.40
E.F.G.29.182,ME29182,CLORHIDRATO DE AMBROXOL 15mg /5mL.SOLUCION ORAL,SOLUCION ORAL,3.17,5.28
E.F.29.289,ME29289,"CLENBUNAL 0,014 mg / mL SOLUCION ORAL",SOLUCION ORAL,5.97,9.95
E.F.29.292,ME29292,"PERIDONT 0,12 % SOLUCION TOPICA BUCAL",SOLUCION TOPICA,12.55,20.92
E.F.29.314,ME29314,"CLORACE 125 - 0,5 mg / 5 mL SOLUCION ORAL",SOLUCION ORAL,6.78,11.30
E.F.29.348,ME29348,TALZIC 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,1.47,2.45
E.F.G.29.516,ME29516,DICLOFENAC SODICO 50 mg TABLETAS RECUBIERTAS,TABLETAS,9.65,16.08
E.F.G.29.570,ME29570,"BENCIDAMINA CLORHIDRATO 0,15 % SOLUCION TOPICA BUCAL",SOLUCION TOPICA,2.05,3.42
E.F.29.673,ME29673,OTIRILIN 4 % - 1 % SOLUCION OTICA,SOLUCION OTICA,15.22,25.37
E.F.29.808,ME29808,LORAVAL 5 mg / 5 mL JARABE,JARABE,2.66,4.43
E.F.G.29.812,ME29812,LORATADINA 10 mg COMPRIMIDOS,COMPRIMIDOS,3.1,5.17
E.F.29.902,ME29902,AUGMENTIN BID 875 mg - 125 mg TABLETAS RECUBIERTAS,TABLETAS,34.08,56.80
E.F.29.922,ME29922,METREN 250 mg / 5 mL SUSPENSION,SUSPENSION ORAL,17.52,29.20
E.F.G.29.931,ME29931,AMOXICILINA 250 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,4.71,7.85
E.F.G.30.034,ME30034,LORATADINA 1 mg / mL JARABE,JARABE,2.27,3.78
E.F.G.30.199,ME30199,IBUPROFENO 100 mg / 5 mL SUSPENSION ORAL,SOLUCION ORAL,5.55,9.25
E.F.30.272,ME30272,IMAZOL 1 % SOLUCION TOPICA ATOMIZADOR,SOLUCION TOPICA,4.81,8.02
E.F.G.30.286,ME30286,IBUPROFENO 100 mg / 5 mL SUSPENSION ORAL,SOLUCION ORAL,2.39,3.98
E.F.30.293,ME30293,LOKARIN 5 mg - 60 mg / 5 mL JARABE,JARABE,6.74,11.23
E.F.30.297,ME30297,"MATIGEL 0,5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,13.61,22.68
E.F.G.30.367,ME30367,SULTAMICILINA 250 mg/5 ml POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,18.3,30.50
E.F.30.624,ME30624,NAFINA 1 % CREMA,CREMA,6.52,10.87
E.F.30.661,ME30661,"DYFRIN 5 % - 0,5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,24.58,40.97
E.F.30.711,ME30711,"RINOMAX 0,25 % - 0,125 % - 0,25 % SOLUCION NASAL",SOLUCION NASAL,17.49,29.15
E.F.30.785,ME30785,SILVEDERMA 1 % CREMA,CREMA,12.4,20.67
E.F.30.812,ME30812,FARMACAINA 10 % SOLUCION ATOMIZADORA TOPICO BUCAL,SOLUCION TOPICA,8.31,13.85
E.F.30.819,ME30819,BALSADER GEL TOPICO,GEL,3.17,5.28
E.F.30.873,ME30873,"DOBET 2 % - 0,5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,17.78,29.63
E.F.G.30.908,ME30908,TRIMETOPRIM/SULFAMETOXASOL 40 mg - 200 mg / 5 mL SUSPENSION,SUSPENSION ORAL,2.74,4.57
E.F.30.917,ME30917,BUDECORT 1 mg / mL SUSPENSION PARA INHALAR,SUSPENSION ORAL,9.77,16.28
E.F.G.30.996,ME30996,"SALBUTAMOL 0,5 % SOLUCION PARA INHALAR",LOCION,8.14,13.57
E.F.G.31.012,ME31012,METRONIDAZOL BENZOIL 250 mg/ 5 mL SUSPENSION ORAL,SUSPENSION ORAL,7.09,11.82
E.F.G.31.064,ME31064,METRONIDAZOL BENZOIL 125 mg / 5 mL SUSPENSION ORAL,SUSPENSION ORAL,4.09,6.82
E.F.31.091,ME31091,"ARBIXIL 7,5 mg - 5 mcg / mL SOLUCION ORAL",SOLUCION ORAL,3.49,5.82
E.F.G.31.107,ME31107,"DICLOFENAC DIETILAMINO 1,16 % GEL",GEL,3.48,5.80
