descripcion,costo_usd,ef,pa_drovencentro,score
BUTAL TAB REC 8MG X20 SIEG,7.05,E.F.43.035,BETAHISTINA 8MG,0.000
"CAMPAL GEL 1,16 % 25G SIEG",5.01,E.F.43.646,DICLOFENACO DIETILAMINO  1.16%,0.000
CETERIX SOL ORAL PED 5MG/5ML 60ML MEG,3.70,E.F.43.858,CETIRIZINA 5MG,0.000
CETIRIVAX CAP BLD 10MG X10 VIV,1.48,E.F.G.31.148,CETIRIZINA 10MG 10CAPS,0.000
CETIRIZINA JBE 1MG/ML 60ML KIMIC,2.77,E.F.G.32.490,CETIRIZINA 1MG/ML,0.000
CEVAX CAP BLD 500MG X15 VIV,4.96,E.F.G.33.334,VITAMINA C 500MG,0.000
CEVAX CAP BLD VIT C 500MG X30 VIV,8.08,E.F.G.33.334,VITAMINA C 500MG,0.000
CICLOFTAL SOL OFT 1% 15ML L.O,39.63,E.F.27.924,CICLOPENTOLATO CLORHIDRATO 1%,0.000
CICLOKAN COMP REC 500MG X21 MEG,21.56,E.F.41.819,ACIDO TRANEXAMICO 500MG 21COMP REC,0.000
CIFARCAINA SOL 1% 100ML BHR,9.86,E.F.9.189,CIFARCAINA 1%,0.000
CLARASOL SOL OFT 15ML L.O,5.56,E.F.33.876,NAFASOLINA CLORHIDRATO,0.000
"CLENBUXOL JBE 0,01MG/5ML 120ML MEG",7.79,E.F.25.351,CLENBUTEROL 0.01MG/5ML,0.000
CLENOSAN COMP REC 90MG X30 LETI,53.50,E.F.42.462,TICAGRELOR 90MG,0.000
"CLORURO D/SOD SOL 0,9%100ML BLUE/M",1.60,E.F.G.32.581,CLORURO DE POTASIO 7.5%,0.000
CLOTRIMAZOL CREM VAG/CANULA 10% 5G KIMIC,4.43,E.F.G.37.900,CLOTRIMAZOL10%,0.000
COFADOR T SOL OFT 5ML COFA,8.99,E.F.44.294,DORZOLAMIDA 2%,0.000
COFASTANE SOL OFT 15ML COFA,12.24,E.F.44.294,"DORZOLAMIDA+TIMOLOL 0,4%/0,3%",0.000
COLFENE COMP REC 600MG/4MG X15 ELM,6.94,E.F.39.320,IBUPROFENO-TIOCOLCHICOSIDO 600MG/4MG 15COMP,0.000
COLLOVAR SOL TOP 10ML VARG,4.86,E.F.34.845,ACIDO SALICILICO – ACIDO LACTICO – OXIPOLIETOXIDODECANO,0.000
"CORTYNASE SUSP 0,05% 50MCG X80DOSIS L.O",11.01,E.F.44.702,FUROATO DE MOMETASONA 0.05% 50MCG,0.000
CRISOMET TAB REC 50MG/500MG X10 FAR,7.49,E.F.41.808,SITAGLIPTINA  METFORMINA 50MG/500MG,0.000
CRISOMET TAB REC 50MG/500MG X30 FAR,15.70,E.F.41.808,SITAGLIPTINA  METFORMINA 50MG/500MG,0.000
CRISOMET TAB REC 50MG/850MG X10 FAR,7.73,E.F.41.808,SITAGLIPTINA  METFORMINA 50MG/500MG,0.000
CRISOMET TAB REC 50MG/850MG X30 FAR,19.01,E.F.41.808,SITAGLIPTINA  METFORMINA 50MG/500MG,0.000
CYPRAL TAB REC 500MG X20 PLX,10.78,E.F.27.157,CIPROFLOXACINA,0.000
"DERMACORTINE CREM 0,1% 15G MEG",10.52,E.F.37.124,MOMETASONA FUROATO,0.000
DERMACORTINE EMUL 60ML MEG,17.79,E.F.37.676,MOMETASONA FUROATO,0.000
DERMOSUPRIL C CREM 01%/3% 15G MEG,13.38,E.F.38.114,DESONIDA + CLIOQUINOL,0.000
"DERMOSUPRIL CREM 0,05% 15G MEG",9.22,E.F.38.114,DESONIDA + CLIOQUINOL,0.000
DERMOSUPRIL CREM 01% 15G MEG,10.13,E.F.38.114,DESONIDA + CLIOQUINOL,0.000
DERMOSUPRIL EMUL TOPICA 120ML MEG,23.64,E.F.38.114,DESONIDA + CLIOQUINOL,0.000
"DIKLASON SUSP PED 1,8MG 120ML LETI",14.07,E.F.34.580,"DICLOFENAC POTÁSICO 1,8MG",0.000
DOL PLUS TAB 650MG X10 CLX,2.43,E.F.26.655,ACETAMINOFEN CAFEINA DIHIDROERGOTAM,0.000
DOL PLUS TAB 650MG X20 CLX,3.60,E.F.26.655,ACETAMINOFEN CAFEINA DIHIDROERGOTAM,0.000
DOPALEN CAP LIB/PROL 200MG X 10,10.88,E.F.43.585,MEBEVERINA 200MG,0.000
DORIXINA FLEX COM/REC 125MG/5MG X 20,21.17,E.F.32.119,CLONIXINATO DE LISINA 125MG + CICLOBENZAPRINA 5MG 10COMP,0.000
DORIXINA FLEX COM/REC 125MG/5MG X 5,7.27,E.F.32.119,CLONIXINATO DE LISINA 125MG + CICLOBENZAPRINA 5MG 10COMP,0.000
EPITRAL TAB REC 100MG X30 VLM,10.85,E.F.42.128,LAMOTRIGINA 100MG,0.000
EPITRAL TAB REC 50MG X30 VLM,7.25,E.F.42.127,LAMOTRIGINA 50MG,0.000
"ERILON CREM TUB 0,05% 15G BIOTECH",9.22,E.F.39.415,"DESONIDA 0,05%",0.000
ESOCOF TAB REC 10MG X30 COFA,6.20,E.F.44.181,ESCITALOPRAM 10MG,0.000
EVABOLIN TAB REC 25MG X30 COFA,23.90,E.F.44.070,EMPAGLIFLOZINA 25MG 30,0.000
