id,nombre,precio_bs,imagen,url,categoria_id,categoria_slug
470060,ELECTRIC SHAVER WOMEN AFEITADORA x1 UNDAD PALMPERFECT,"Bs. 41.711,17",https://pccentro.net.ve/img/s/6/0/7/3/9/60739-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/470060/maquina-afeitadora-electric-shaver-women-x1-und-palmperfect,4357,cuidado-personal/afeitado-y-depilacion
705692,MAQUINA DE AFEITAR SCHICK QUATTRO4 TITANIUM,"Bs. 15.177,74",https://pccentro.net.ve/img/s/8/8/2/3/8/88238-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705692/afeitadora-schick-quattro4-titanium-x3-cartuchos-1-und,4357,cuidado-personal/afeitado-y-depilacion
705693,REPUESTO MAQ D/AFEITAR SCHICK INTUITION PURE X 2 UNDS,"Bs. 9.152,44",https://pccentro.net.ve/img/s/5/7/2/9/9/57299-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705693/repuesto-maq-d-afeitar-schick-intuition-pure-x-2-und,4357,cuidado-personal/afeitado-y-depilacion
705695,REPUESTO SCHICK QUATTRO4 TITANIUM PIEL SENSIBLE X 2 CARTUCHOS,"Bs. 12.143,90",https://pccentro.net.ve/img/s/5/7/2/9/7/57297-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705695/repuesto-schick-quattro4-titanium-piel-sensible-x-2-cartuchos,4357,cuidado-personal/afeitado-y-depilacion
705696,REPUESTO SCHICK QUATTRO4 FOR WOMEN SENSITIVE X 2 CARTUCHOS,"Bs. 10.618,51",https://pccentro.net.ve/img/s/8/8/2/3/7/88237-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705696/repuesto-schick-quattro4-for-women-sensitive-x-2-cartuchos,4357,cuidado-personal/afeitado-y-depilacion
627491,MAQUINA DE AFEITADO COMFORT TOUCH 2 HOJILLAS X2 UNIDADES PERSONNA,"Bs. 2.398,26",https://pccentro.net.ve/img/s/8/2/4/0/3/82403-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/627491/afeitadora-personna-comfort-touch-2-hoki,4357,cuidado-personal/afeitado-y-depilacion
705704,AFEITADORA SCHICK EXACTA 2 P SENSIB,"Bs. 4.499,91",https://pccentro.net.ve/img/s/5/5/5/4/1/55541-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705704/afeitadora-schick-exacta-2-p-sensible-x5-und,4357,cuidado-personal/afeitado-y-depilacion
470054,AFEITADORAS EXACTA 2 PIEL DELICADA SCHICK,"Bs. 3.237,22",https://pccentro.net.ve/img/s/7/2/9/3/1/72931-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/470054/afeitadora-schick-exacta-p-delic-x-3,4357,cuidado-personal/afeitado-y-depilacion
470058,AFEITADORA SCHICK XTREME 3 P NORMAL 1X2 AZUL,"Bs. 5.465,99",https://pccentro.net.ve/img/s/7/2/9/2/8/72928-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/470058/schick-xtreme3-normal-maq-af-x2,4357,cuidado-personal/afeitado-y-depilacion
470064,GEL DE AFEITAR EVERY NIGHT FOR MEN X200ML FISA,"Bs. 2.779,60",https://pccentro.net.ve/img/s/8/2/3/9/1/82391-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/470064/every-night-d-afeitar-gel-for-men-x200ml-fisa,4357,cuidado-personal/afeitado-y-depilacion
470070,BANDAS DE CERA DEPILATORIA CORPORAL PARA PIEL NORMAL X 16 UNIDADES BODY NATUR,"Bs. 5.449,04",https://pccentro.net.ve/img/s/2/4/5/8/2/24582-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/470070/bandas-cera-depilatoria-corp-piel-normal-x-16-und-body-natur,4357,cuidado-personal/afeitado-y-depilacion
705698,AFEITADORA SCHICK QUTTRO YOU RASBERRY,"Bs. 8.559,23",https://pccentro.net.ve/img/s/5/5/5/4/2/55542-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705698/afeitadora-schick-quattro-you-raspberry-x2-und,4357,cuidado-personal/afeitado-y-depilacion
705700,MAQUINA DE AFEITAR SCHICK XTREME 3 SENSIBLE TRIPLE HOJILLA,"Bs. 4.830,41",https://pccentro.net.ve/img/s/6/3/3/7/5/63375-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705700/afeitadora-schick-xtreme-3-sensible-triple-hojilla-x2-und,4357,cuidado-personal/afeitado-y-depilacion
705701,MAQUINA PERSONNA MATRIX 3 HOMBRE TRIPLE HOJA,"Bs. 4.923,63",https://pccentro.net.ve/img/s/9/3/3/1/2/93312-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705701/maq-personna-matrix-3-hom-trip-hoj-x3,4357,cuidado-personal/afeitado-y-depilacion
705710,AFEITADORA LUMI NOVA UNISEX 3HOJA X1 UNIDAD,"Bs. 686,43",https://pccentro.net.ve/img/s/9/2/2/3/7/92237-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/705710/afeitadora-lumi-nova-unisex-3h-x1-und,4357,cuidado-personal/afeitado-y-depilacion
713905,AFEITADORA PERSONNA SPEED3 3 HOJA X2 UNIDADES,"Bs. 4.508,38",https://pccentro.net.ve/img/s/9/0/7/0/6/90706-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/713905/afeitadora-personna-speed3-3h-x2-und,4357,cuidado-personal/afeitado-y-depilacion
715480,AFEITADORA DURAVEL FILEX 2 MUJER X2 UNIDADES,"Bs. 508,46",https://pccentro.net.ve/img/s/9/2/1/1/8/92118-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/715480/afeitadora-duravel-filex-2-mujer-x2-und,4357,cuidado-personal/afeitado-y-depilacion
731440,CARTUCHOS DE AFEITADORA DURAVEL M5 X3 UNIDADES,"Bs. 3.940,60",https://pccentro.net.ve/img/s/9/2/5/9/8/92598-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/731440/cartuchos-de-afeitadora-duravel-m5-x3-und,4357,cuidado-personal/afeitado-y-depilacion
746669,AFEITADORA SCHICK EXACTA 2 NORMAL X1 UND,"Bs. 1.203,36",https://pccentro.net.ve/images/sananselmo/0-home_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/746669/afeitadora-schick-exacta-2-normal-x1-und,4357,cuidado-personal/afeitado-y-depilacion
730723,CREMA DEPIL CORP. NS200,"Bs. 7.601,54",https://pccentro.net.ve/img/s/2/1/0/9/9/21099-large_default.webp,/producto/cuidado-personal/afeitado-y-depilacion/730723/cera-depiladora-hidratante-x-200-ml-body-natur,4357,cuidado-personal/afeitado-y-depilacion
302066,CREMA DENTAL COLGATE MENTA ORIGINAL X 90ML COLGATE PALMOIVE,"Bs. 1.372,85",https://pccentro.net.ve/img/s/3/1/4/6/4/31464-large_default.webp,/producto/cuidado-personal/cuidado-bucal/302066/colgate-menta-original-90ml-sillaca,4366,cuidado-personal/cuidado-bucal
238671,"FLODONT BENCIDAMINA 0,15% UNGÜENTO BUCAL x15 GR MEGALABS (E)","Bs. 3.957,54",https://pccentro.net.ve/img/s/7/8/7/9/5/78795-large_default.webp,/producto/cuidado-personal/cuidado-bucal/238671/flodont-ung-bucal-x-15-grs-1,4366,cuidado-personal/cuidado-bucal
386941,CEPILLO DENTAL TRIPLE ACCION CERDA MEDIA X1 UNIDAD COLGATE,"Bs. 1.559,29",https://pccentro.net.ve/img/s/5/7/4/3/1/57431-large_default.webp,/producto/cuidado-personal/cuidado-bucal/386941/cepillo-dental-colgate-triple-accion-x1-und-colgate,4366,cuidado-personal/cuidado-bucal
349553,CREMA DENTAL MENTA ORIGINAL PROTECCCION ANTICARIES X 100ML COLGATE,"Bs. 2.813,50",https://pccentro.net.ve/img/s/2/7/4/4/1/27441-large_default.webp,/producto/cuidado-personal/cuidado-bucal/349553/colgate-menta-100-gr-sillaca,4366,cuidado-personal/cuidado-bucal
373645,CEPILLO DENTAL DE CERDAS MEDIO 360 X1 UNIDAD COLGATE,"Bs. 3.525,35",https://pccentro.net.ve/img/s/6/8/1/7/2/68172-large_default.webp,/producto/cuidado-personal/cuidado-bucal/373645/colgate-cd-360-a-flex-med,4366,cuidado-personal/cuidado-bucal
386480,CREMA DENTAL COLGATE SENSITIVE PRO ALIVIO X 140GR COLGATE PALMOLIVA COMPANY,"Bs. 5.415,14",https://pccentro.net.ve/img/s/5/8/7/1/0/58710-large_default.webp,/producto/cuidado-personal/cuidado-bucal/386480/colgate-sensitive-pro-alivio-imediato-140g,4366,cuidado-personal/cuidado-bucal
386967,ENJUAGUE BUCAL COLGATE PLAX ODOR CONTROL ZERO ALCOHOL X500ML COLGATE PALMOLIVE COMPANY,"Bs. 7.915,09",https://pccentro.net.ve/img/s/8/2/5/4/6/82546-large_default.webp,/producto/cuidado-personal/cuidado-bucal/386967/enj-bucal-colgate-plax-odor-control-zero-alcohol-x-500-ml-colgate,4366,cuidado-personal/cuidado-bucal
