proveedor,descripcion,costo,motivo
cobeca,AMBIENT AER GLADE ABRAZOS D/VAIN 175G,20.64,sin_candidato
cobeca,AMBIENT AER GLADE ABRAZOS D/VAIN 360ML,3.96,sin_candidato
cobeca,AMBIENT AER GLADE FRES LEMON 360ML,3.96,sin_candidato
cobeca,AMBIENT AER GLADE LAVAND 235ML,3.44,sin_candidato
cobeca,AMBIENT AER GLADE LAVANDA 360ML,3.96,sin_candidato
cobeca,AMBIENT AER GLADE MANZ/CANE 235ML,3.44,sin_candidato
cobeca,AMBIENT AER GLADE MANZ/CANE 360ML,3.96,sin_candidato
cobeca,AMBIENT AER GLADE PARAISO AZUL 360ML,3.96,sin_candidato
cobeca,AMBROXOL JBE PED 15MG/120ML KIMIC,3.17,score_bajo
cobeca,AMEDIN TAB 100MG X30 FC,20,sin_candidato
cobeca,AMIKACIS CREM 5% 20G BOOZ,3.61,sin_candidato
cobeca,AMINOFUNI AMP 250MG/10ML X10 AMP UNIPH,12.57,sin_candidato
cobeca,AMOCLIN CAP 500MG X10 ZUZU,1.62,sin_candidato
cobeca,AMODET TAB 500MG/125MG X 14,11.52,sin_candidato
cobeca,AMOKLAVIN-BID PVO SUSP 400/57MG 70ML PLN,8.26,score_bajo
cobeca,AMOXIC/AC CLAV COM/REC 875/125MGX14 LETI,25.04,score_bajo
cobeca,"AMOXIC/AC CLAV PVO/SUS 600MG/42,9MG DAC",7.71,score_bajo
cobeca,AMOXIC/CLAV PVO SUSP 400/57MG 70ML KIMIC,7.69,score_bajo
cobeca,AMOXIDUO PVO SUSP 750MG 70ML MEG,11.56,score_bajo
cobeca,"AMOXIVAL AC PVO SUSP 250/62,5MG 60ML VLM",10.21,score_bajo
cobeca,AMOXIVAL AC PVO SUSP 400/57MG 60ML VLM,11.43,score_bajo
cobeca,AMOXTIN SUSP ORAL 400MG/57MG 60ML ALESS,6.72,sin_candidato
cobeca,AMP CAPIL BRIZNA MIEL 10ML X10,14.88,sin_candidato
cobeca,AMP CAPIL SOLANO SABI 10ML X10,14.88,sin_candidato
cobeca,AMP GELLY A/CAIDA 10ML X10,14.88,sin_candidato
cobeca,AMP NK REPARAC INTEN 15ML X3,4.44,sin_candidato
cobeca,AMP NK SECADO PERFECTO 15ML X3,4.44,sin_candidato
cobeca,AMP NK THERAPY CONTROL CAIDA 15ML X3,4.44,sin_candidato
cobeca,AMP NK THERAPY PRO 15ML X3,4.44,sin_candidato
cobeca,AMP PASARELA A/CAIDA 10ML X4,5.41,sin_candidato
cobeca,AMP PASARELA MATIZADORA 10ML X4,5.41,sin_candidato
cobeca,AMP SLIK ANTICAIDA 10ML X25,17.74,sin_candidato
cobeca,AMP SLIK PLAC/OVEJO 10ML X25,17.74,sin_candidato
cobeca,AMP SOLANO KERAT/L CABRA 10ML X10,14.88,sin_candidato
cobeca,"AMPIBLUX PVO LIOF 1G/0,5G X1 BLUE/M",2.58,sin_candidato
cobeca,AMSARTIQUE TAB REC 160MG/10MG X30 PHARME,18.47,score_bajo
cobeca,AMSARTIQUE TAB REC 80MG/5MG X30 PHARME,13.16,score_bajo
cobeca,ANAFLEX TAB 250MG X10 CAPSUV,6.22,sin_candidato
cobeca,ANALPER NAX CAP 250MG X10 PHARME,3.87,score_bajo
cobeca,ANALPER SOL ORAL 180MG/5ML 120ML PHARME,3.45,score_bajo
cobeca,ANANTY FORTE JBE PED 160MG/5ML 120ML PLX,3.25,score_bajo
cobeca,ANAPIR CAP BLD S/AZU 400MG X10 FC,3.14,score_bajo
cobeca,ANAPIR TAB 200MG X20 FC,3.57,score_bajo
cobeca,ANCITAM TAB 500MG X30 APF,8.44,sin_candidato
cobeca,ANGIOFLUX CAP BLD 250LSU X25 LETI,69.22,score_bajo
cobeca,ANGRIP FORTE COM/REC 650MG/20MG DIA X 10,4.68,score_bajo
cobeca,ANGRIP FORTE COM/REC 650MG/4MG NOCHE X 5,3.9,score_bajo
cobeca,ANTAAR TAB REC 10MG X30 CLX,10.53,score_bajo
cobeca,ANTIFOM FORTE COMP REC 160MG X10 VARG,7.56,score_bajo
cobeca,ANTIFOM SUSP/ORAL 80MF/ML X 20ML,6.31,score_bajo
cobeca,ANTIFON TAB/MAST 125MG X 10,5.52,sin_candidato
cobeca,ANTIP TAB REC 40MG X30 BEHR,10.06,score_bajo
cobeca,ANTITRANSP AER NIVEA INV B&W CLEAR 150ML,6.84,sin_candidato
cobeca,ANTITRANSP AER NIVEA PEARL&BEAUTY 150ML,6.67,sin_candidato
cobeca,ANTITRANSP NIVEA AER T/NAT C/TOUCHX150ML,6.84,sin_candidato
cobeca,ANTITRANSP NIVEA B&W AER MEN FRESHX150ML,5.53,sin_candidato
cobeca,ANTITRANSP NIVEA B&W AER MEN ORIG X150ML,6.84,sin_candidato
cobeca,ANTITRANSP NIVEA D/BLACK AER MEN X 150ML,6.84,sin_candidato
cobeca,ANTOVEN TAB 15MG X30 FC,15.56,sin_candidato
cobeca,"ANTUX SOL 0,6% CEREZA 120ML LETI",11.53,score_bajo
cobeca,APETININ JBE 240ML ARC IRIS,10,sin_candidato
cobeca,APIRETFLU SOB 8G DIA MIEL/LIMON X6 LO,9.86,score_bajo
cobeca,APIRETFLU SOB 8G NOCH MIEL/LIMON X6 LO,10.14,score_bajo
cobeca,APLACAL TAB MAST 750MG BAN X80 TARRO,13.61,score_bajo
cobeca,APLACAL TAB MAST 750MG FRAM DISPX120 MEY,72.34,score_bajo
cobeca,APLACAL TAB MAST 750MG FRAMB X80 TARRO,13.61,score_bajo
cobeca,APLACAL TAB MAST 750MG MAND DISPX120 MEY,72.34,score_bajo
cobeca,APLACAL TAB MAST 750MG MANDA X10 MEY,9.36,score_bajo
cobeca,APLACAL TAB MAST 750MG MANDA X80 TARRO,13.61,score_bajo
cobeca,APLACAL TAB MAST 750MG MENTA X80 TARRO,13.61,score_bajo
cobeca,APLACAL TAB MAST 750MG SURT X80 SIEG,13.61,score_bajo
cobeca,APLACAL TAB MAST BAN 750MG DISP 30X4 MEY,72.34,score_bajo
cobeca,APLACAL TAB MAST BAN 750MG X10 MEY,9.36,score_bajo
cobeca,APLACAL TAB MAST MENT 750MG DISPX120 MEY,72.34,score_bajo
cobeca,APLACAL TAB MAST MENTA 750MG X10 MEY,9.36,score_bajo
cobeca,APLEXIL TAB REC 550MG X10 COFA,3.27,score_bajo
cobeca,"APOSITO PHARMAP PED 5CM X 5,7CM X20",22.31,score_bajo
cobeca,APRIX CAP BLD 125MG X10 PLN,5.97,score_bajo
cobeca,APROVEL COMP REC 150MG X28 CLX,40.26,score_bajo
cobeca,APYRENE CAP BLD 650MG X10 FC,3.43,sin_candidato
cobeca,AQUATOP CREM REST INTENSIVA X 250G,38.31,sin_candidato
cobeca,ARBIXIL JBE AD 120ML MEY,13.77,score_bajo
cobeca,ARBIXIL JBE PED 120ML MEY,12.52,score_bajo
cobeca,"ARBIXIL SOL GTS PED 7,5MG/5MCG 15ML MEY",7.36,score_bajo
cobeca,ARESAN TAB REC 40MG X10 BIOT,8.09,score_bajo
cobeca,ARIPIPRAZOL TAB DESINT 10MGX10 CR MT,5.88,score_bajo
cobeca,ARMONYL TAB REC DIA X20 PLN,6.01,score_bajo
cobeca,ARMONYL TAB REC NOCH X20 PLN,6.88,sin_candidato
cobeca,ARNICA FC AER ORIGINAL X 75G,7.26,sin_candidato
cobeca,ARNICA FC FORTE GEL MANGO 250G FC,5.44,score_bajo
cobeca,ARNICA FC FORTE GEL ROLL ON MANGO 90G FC,3.38,score_bajo
cobeca,ARNICA FC GEL CORP PLUS 250G FC,5.68,sin_candidato
cobeca,ARNICA FC GEL ROLL ON 90G FC,3.34,sin_candidato
cobeca,ARNICA FC GEL ROLL ON TERMOACT 90G FC,3.48,sin_candidato
cobeca,ARNICA GEL 250G FC,5.88,sin_candidato
cobeca,ARNICA GEL 80G IND COR,5.77,score_bajo
cobeca,ARNICA GEL ROLL ON 60G IND COR,4.95,score_bajo
cobeca,ARNICA GEL ROLL ON MENTOL 45G RECETT,2.74,score_bajo
cobeca,ARNICA GTS 30ML RECETT,2.54,sin_candidato
