descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
AMBROXOL JBE PED 15MG/120ML KIMIC,9120,7592616005010,3.17,score_bajo
AMEDIN TAB 100MG X30 FC,53450,7593090003486,20,sin_candidato
AMIKACIS CREM 5% 20G BOOZ,20711,7597072001262,3.61,sin_candidato
AMINOFUNI AMP 250MG/10ML X10 AMP UNIPH,51070,7598852000611,12.57,sin_candidato
AMOCLIN CAP 500MG X10 ZUZU,52553,7599608000459,1.62,sin_candidato
AMODET TAB 500MG/125MG X 14,30113,745687143304,11.52,sin_candidato
AMOKLAVIN-BID PVO SUSP 400/57MG 70ML PLN,22758,8699525282507,8.26,score_bajo
AMOXIC/AC CLAV COM/REC 875/125MGX14 LETI,29414,7591585173195,25.04,score_bajo
"AMOXIC/AC CLAV PVO/SUS 600MG/42,9MG DAC",28867,7598578000667,7.71,score_bajo
AMOXIC/CLAV PVO SUSP 400/57MG 70ML KIMIC,52095,7592616578026,7.69,score_bajo
AMOXICI/AC CLAV TAB 875/125MG X14 ADN,24653,8904097387148,11.73,score_bajo
AMOXICI/AC CLAV TAB 875/125MG X14 CLX,25805,7591519000627,17.13,score_bajo
AMOXIDUO PVO SUSP 750MG 70ML MEG,867,7795345010977,11.56,score_bajo
"AMOXIVAL AC PVO SUSP 250/62,5MG 60ML VLM",23224,7591020009003,10.21,score_bajo
AMOXIVAL AC PVO SUSP 400/57MG 60ML VLM,23225,7591020009010,11.43,score_bajo
AMOXTIN SUSP ORAL 400MG/57MG 60ML ALESS,52782,7597758001548,6.72,sin_candidato
AMP CAPIL BRIZNA MIEL 10ML X10,16243,7591485000898,14.88,sin_candidato
AMP CAPIL SOLANO SABI 10ML X10,16289,7591485001475,14.88,sin_candidato
AMP GELLY A/CAIDA 10ML X10,16292,7591485000034,14.88,sin_candidato
AMP NK REPARAC INTEN 15ML X3,54282,0788362506995,4.44,sin_candidato
AMP NK SECADO PERFECTO 15ML X3,54283,0788362507008,4.44,sin_candidato
AMP NK THERAPY CONTROL CAIDA 15ML X3,54284,0788362507015,4.44,sin_candidato
AMP NK THERAPY PRO 15ML X3,54285,0788362507022,4.44,sin_candidato
AMP PASARELA A/CAIDA 10ML X4,51219,17593723003620,5.41,sin_candidato
AMP PASARELA MATIZADORA 10ML X4,51221,17593723003606,5.41,sin_candidato
