descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
BONAC GEL 4% 30G MEG,9545,7703332003079,18.44,score_bajo
BONAMES TAB REC 150MG FAR,99210,7591821903326,4.36,score_bajo
BONITROP GRAG 100MG X20 COFA,7049,7591818213124,7.18,sin_candidato
BOOZ SPORT CREM 40G BOOZ,22658,7597072001187,2.17,sin_candidato
BORIFEM CAP/VAG X 30,28551,7597773000397,12.48,sin_candidato
BORIFEM CREM INTIMA 2% X 25G,28550,7597773000915,9.55,sin_candidato
BRAL TAB 500MG BLIS 25X4 BIOTECH,577,7591243807127,27.52,score_bajo
BRESIS COMP REC 600MG X20 MEG,54187,7591619001500,8.96,score_bajo
BRESIS COMP REC 600MG X30 MEG,53310,7591619001517,12.21,score_bajo
BRESIS PLUS COM/REC 500MG X 30,50579,7460536574025,18.31,score_bajo
BREXIN JBE 180MG/5ML 120ML COFA,27031,7591818213407,2.77,score_bajo
"BRIMOPRESS SOL OFT 0,2% 5ML MEG",13585,7795368001853,14.68,score_bajo
BRIXIA SOL/OFT X 6ML,1989,7795368001754,12.86,score_bajo
BRODILIN JBE PED 120ML VARG,253,7591651896805,5.77,score_bajo
BROFLEMA SOL ORAL 4MG/5ML PED 120ML BIOT,52164,7591243807332,3.78,score_bajo
BROLAT JBE 5MG/30MG 60ML MEY,98628,7592601301585,6.68,score_bajo
BROMECOR JBE 4MG/5ML 120ML BIOQ,22402,7594000850077,4.05,sin_candidato
BROXOL FLEM JBE AD 120ML PHARME,6826,7592454000437,8.01,score_bajo
BROXOL FLEM JBE PED 120ML PHARME,6828,7592454000444,6.79,score_bajo
BROXOL GRIP JBE PED 120ML PHARME,7595,7592454000734,6.77,score_bajo
BROXOL JBE PED 50/5ML S/AZU 120ML PHARME,94208,7592454002127,5.62,score_bajo
BROXOL TOS AD S/AZUC JBE X 120 ML,94207,7592454002110,6.83,score_bajo
BRUDOL COMP REC 200MG/65MG X20 ELM,16419,7591062901105,3.97,score_bajo
BRUDOL COMP REC 400MG/65MG X20 ELM,16420,7591062901082,4.58,score_bajo
BRUGESIC COMP REC 200MG X10 ELM,99048,7591062902379,1.71,score_bajo
BRUGESIC GRAG 600MG X10 ELM,10221,7591062902539,3.22,score_bajo
BRUGESINA COMP REC 300MG/10MG X10 ELM,24972,7591062010616,5.13,score_bajo
BUCOXOLGAR TAB MAST 3/1MG F/ROJX10PHARME,19870,7592454891363,3.77,score_bajo
BUCOXOLGAR TAB MAST 3/1MG MENTX10 PHARME,19868,7592454891370,4.18,score_bajo
BUDECORT AER INH 200MCG X100DOSIS L.O,4201,7591196002112,12.86,score_bajo
BUDECORT SUSP P/INH 1 MG/ML X 15ML,30268,7591196000668,13.5,score_bajo
BUDENAS SUSP ATO 1MG X200DOSIS L.O,7177,7591196000644,17.16,score_bajo
BUDESONIDA INH PED 50MCG X200DOSIS MDF,4804,7591096000898,21.27,score_bajo
BUDESONIDA/FORMOTEROL SUSP P/INH 120D KM,54319,8908010870267,19.14,score_bajo
BUSCOSYN TAB 10MG X20 DOLLY,27802,8908010763101,6.21,sin_candidato
BUTAL TAB REC 8MG X20 SIEG,52802,7592601000327,7.05,score_bajo
BUTAL TAB/REC 16MG X 10 MEYER,28648,7592601000372,7.56,score_bajo
BUTAL TAB/REC 16MG X 20 MEYER,28649,7592601000389,14.38,score_bajo
BUTILATT PLUS TAB 500MG/10MG X10 CR LATT,29997,756029628328,5.58,sin_candidato
BUTILATT TAB 10MG X10 CR LATT,29995,756029628304,5.19,sin_candidato
BUTILLAT SOL ORAL 5MG/5ML 20ML CR LATT,54438,756029628380,3.27,sin_candidato
BUTROPINA GTS PED 20ML VIN,2752,7592782000338,6.49,score_bajo
CAB-5 TAB 5MG X30 CAPSUV,23314,7598055000258,2.64,sin_candidato
CABEZALES CEPILLO DENT ICEBERG X2,51198,7597297001481,5.83,sin_candidato
CABOZERO CAP X60 HERB,52363,7592710005589,13.29,sin_candidato
CAFE VERDE CAP 450MG X60 HERB,52349,7592710003134,10.45,sin_candidato
CALAMICIS LOC 200ML BOOZ,20715,7597072001163,3.9,sin_candidato
CALAMINA LOC/TOPICA REFRESC X 110ML BIOF,50338,7591616002227,4.97,score_bajo
CALAMINA LOC/TOPICA REFRESC X 180ML BIOF,50339,7591616002234,7.06,score_bajo
CALCIBON D TAB REC 1500MG/800UI X30 FAR,51482,7591821210905,12.76,score_bajo
CALCIFOR PRENATAL TAB X 30,50725,7597189295202,16.42,sin_candidato
CALCIO C/VIT D TAB 600MG X30 NAT NUT,92654,669238000185,11.61,score_bajo
CALCIO/VIT D TAB 600MG/400UIX60 ARC IRIS,27174,7592946001508,9.29,score_bajo
CALDO D/POLLO MAGGY DISP 35G X12,20475,7591016205334,9.07,sin_candidato
CALEN/MANZ/ZAB GEL 60G RECETT,26378,7594001453376,4.4,sin_candidato
CAMOLYN PLUS SOL OFT 15ML,50811,7591196000651,5.02,score_bajo
CAMPAL CREM 20G MEY,7898,7592601100232,8.16,score_bajo
"CAMPAL GEL 1,16 % 25G SIEG",53178,7592601000624,5.01,score_bajo
"CANDEXIL PLUS TAB 16MG/12,5MG X28 DORO",21685,8699525014344,11.58,sin_candidato
"CANDEXIL PLUS TAB 32MG/12,5MG X28 DORO",21686,8699525014351,14,sin_candidato
CANDIDA SUPPORT CAP X 90,50663,733739033086,33.95,sin_candidato
CARAM GOMBY DOTZ ACIDITOS 30G DISP X16,53773,7593570000653,11.4,sin_candidato
"CARAM HALLS CHERRY LYPTUS 25,2G DISP X12",52753,7622210427045,5,sin_candidato
"CARAM HALLS EXTRASTRONG 24,75G DISP X12",52754,7622202015212,5,sin_candidato
CARAM HALLS MENTHOL LIPTUS DISP X12,64499,7622210426970,5,sin_candidato
CARBONATO D/LITIO TAB 300MG X 20 FM,28718,8906082151192,2.29,score_bajo
CARDIMAR CAP X90 ARC IRIS,28400,7592946000341,13.41,sin_candidato
CARDO LECHOSO CAP 370MG X60 HERB,99683,7592710000416,13.18,sin_candidato
CARLEUNI TAB 25MG/250MG X30 UNIPH,53761,7598852001816,11.21,sin_candidato
"CARVEDILOL TAB REC 12,5 MGS X30 PHARMA",52124,7593352000079,2.54,score_bajo
CARVEDILOL TAB REC 25MG X20 KIMIC,24436,7592616576657,6.03,score_bajo
CARVEDILOL TAB REC 25MG X30 KIMIC,54225,7592616576664,8.61,score_bajo
"CARVEDILOL TAB REC 6,25MG X20 KIMIC",9486,7592616576619,3.39,score_bajo
"CARVEDILOL TAB REC 6,25MG X30 KIMIC",54223,7592616576718,5.03,score_bajo
"CARVEDILOL TAB REC 6,25MG X30 PHARMA",52123,7593352000086,2.25,score_bajo
"CARVETOP COMP 12,5MG X 30",29749,7593090002519,6,sin_candidato
"CARVETOP COMP 6,25MG X 30",29748,7593090002502,5.44,sin_candidato
CARVIX CAP BLD X30 VIV,6861,7592432009728,8.83,score_bajo
CASCARA SAGRADA CAP 300MG X60 NAT PREM,13366,7592430000178,9.77,sin_candidato
CASCARA SAGRADA CAP 430MG X30 HERB,24090,7592710003790,7.79,sin_candidato
CASCARA SAGRADA CAP 430MG X60 HERB,99649,7592710000447,10.36,sin_candidato
CASCARA SAGRADA CAP 450MG X100 NOW,6778,733739100245,16.82,sin_candidato
CASTAÑA D/INDIA CAP 450MG X30 HERB,24091,7592710003806,10.66,sin_candidato
CASTAÑO D/INDIAS CAP 400MG X60 ARC IRIS,17787,7592946007104,12.86,sin_candidato
CASTAÑO D/INDIAS CAP 450MG X60 HERB,99650,7592710000454,13.18,sin_candidato
CASTAÑO D/INDIAS CAP 450MG X60 WALF,28373,7592710004520,11.25,sin_candidato
CASTAÑO D/INDIAS CAP 500MG X70 ABEJ,51006,7597134002121,9.75,sin_candidato
CEBION MINIS TAB MAST X45 X10SOB FAR,8444,7702418004658,68.96,score_bajo
CEBION TAB MAST TROPI 500MG DISP12X12FAR,3897,7702418004887,51.9,score_bajo
CEDROX CAP 500MG X 10 FC PHARMA,29406,7593090002137,6.42,sin_candidato
CEDROXYL TAB 500MG X10 ZUZU,52562,7599608000732,3.64,sin_candidato
CEFIPLUS CREM VAG 15%/4% 40G DLR,25427,7592803004086,12.19,score_bajo
CEFIXINA PVO SUS 100MG/5ML PED 60ML LETI,50330,7591585176202,29.98,sin_candidato
CEFONAX PVO SUSP ORAL 250MG/5ML 60ML ELM,8218,7591062012320,7.81,score_bajo
"CEFOPERAZONA SULB PVO/SOL 1,5G X 1 ZUZU",50388,7599608000770,0.97,score_bajo
CEFOTAS PVO/SUSP 250MG/5ML X 100ML,30069,7703281021353,8.31,score_bajo
CELAY SOL GTS PED 10MG 15ML COFA,2568,7591818111123,1.96,score_bajo
CELISTIA PVO SUSP ORAL 100/5ML 100ML FC,52067,7593090003080,18.84,score_bajo
CENTAB-BETA TAB VIT/MINERALES X30 G PHAR,21935,7597189000080,13.67,score_bajo
CENTELLA ASIATICA CAP 300MG X60 NAT PREM,13363,7592430000185,10.94,sin_candidato
CENTELLA ASIATICA CAP 450MG X30 HERB,24092,7592710003820,10.66,sin_candidato
CENTELLA ASIATICA CAP 450MG X60 HERB,99651,7592710000461,11.56,sin_candidato
CENTELLA ASIATICA CAP 500MG X60 WALF,28368,7592710004506,11.54,sin_candidato
CENTELLA ASIATICA PLUS TAB 500MG X30 VAL,51350,644197336148,13.69,sin_candidato
CENTELLA/ALCAC CAP 120/180MGX60 NAT PREM,13362,7592430000031,9.62,sin_candidato
CENTELLACIS CREM 1% 20G BOOZ,20713,7597072001170,6.42,sin_candidato
CENTELLALAB CAP 500MG X70 ABEJ,51007,7597134000691,9.77,sin_candidato
CENTELLASAN CAP 300MG X90 ARC IRIS,7065,7592946005704,13.51,sin_candidato
CENTRAVIT SILVER 50+ TAB HOMBR X60 ALESS,52813,7597758001173,16.75,sin_candidato
CENTRAVIT SILVER 50+ TAB MUJER X60 ALESS,52817,7597758001159,17,sin_candidato
CENTRAVIT TAB HOMBR X60 ALESS,52811,7597758001166,14.7,sin_candidato
CENTRAVIT TAB MUJER X60 ALESS,52815,7597758001142,15.08,sin_candidato
CEPILLO DENT COLGATE SLIM CARBON 2PACK,52916,7509546061689,5.91,sin_candidato
CEPILLO DENT ELECT ICEBERG KIDS GIRL,51199,7597297001634,22.65,score_bajo
CEPILLO DENT ELECT ICEBERG SONIC PRO,51196,7597297001474,30.17,sin_candidato
CEPILLO/DENT COLGATE 360 LUMIN/WH X2,27588,7509546055152,5.91,sin_candidato
CEPILLO/DENT COLGATE 360 TOTAL12 ADV X2,24404,7509546072531,5.91,sin_candidato
CEPILLO/DENT COLGATE 360° M,36930,7891024316160,3.62,sin_candidato
CEPILLO/DENT COLGATE ENCIAS THERAPY X2,26249,7509546667744,8.05,sin_candidato
CEPILLO/DENT COLGATE GUMMY SENSITIVE X2,51901,7509546686929,9.58,sin_candidato
CEPILLO/DENT COLGATE PREMIER CLEAN,20490,6910021007206,1.07,sin_candidato
CEPILLO/DENT COLGATE PRO CUIDADO SUAV X4,24541,7509546074313,5.05,sin_candidato
CEPILLO/DENT COLGATE PROCUID CARB 2PACK,54102,7509546694986,4.23,sin_candidato
CEPILLO/DENT COLGATE SLIMSOFT ADV X2,27041,7891024064313,9.52,sin_candidato
CEPILLO/DENT COLGATE SLIMSOFT17 CHARCOAL,18570,7891024073070,3.59,sin_candidato
CEPILLO/DENT COLGATE SMILES NIÑOS 2-5,35221,7591083011098,3.61,sin_candidato
CEPILLO/DENT COLGATE T/ACCION,97284,7702010631191,1.59,score_bajo
CEPILLO/DENT COLGATE T/ACCION X2,20486,7702010631207,2.71,score_bajo
CEPILLO/DENT COLGATE TANDY KIDS +5 X1,19602,7509546074122,1.16,sin_candidato
CEPILLO/DENT COLGATE TOTAL LIMP ESPUMOSA,53333,7509546693712,3.59,score_bajo
CEPILLO/DENT COLGATE TWISTER FRESH X2,50764,7702010130250,3.15,sin_candidato
CEPILLO/DENT COLGATE ZIG ZAG CARB 2PACK,54101,7509546673042,4.23,sin_candidato
CEPILLO/DENT COLGATE ZIG ZAG CHARCOAL X1,27424,7509546658223,1.6,sin_candidato
CEPILLO/DENT ICEBERG ACQUA P/AD,20083,7597297000460,0.69,sin_candidato
CEPILLO/DENT ICEBERG ADVAN PRO CERDA MED,21614,7597297000477,0.7,sin_candidato
CEPILLO/DENT ICEBERG ADVAN PRO MAN P/AD,20079,7597297000187,0.7,sin_candidato
CEPILLO/DENT ICEBERG ADVANCED PRO MED,51929,7597297001795,1.05,sin_candidato
CEPILLO/DENT ICEBERG CRI/CLEAN AD CE/MED,21616,7597297000491,0.65,sin_candidato
CEPILLO/DENT ICEBERG DASHER P/NIÑOS,20084,7597297000224,0.59,sin_candidato
CEPILLO/DENT ICEBERG INTERDENT X5,20090,7597297000439,1.93,sin_candidato
CEPILLO/DENT ICEBERG ORTODONCIA,20091,7597297000415,1.4,sin_candidato
CEPILLO/DENT ICEBERG PENGUIN P/NIÑOS +3,20086,7597297000248,0.62,sin_candidato
CEPILLO/DENT ICEBERG SMILE P/NIÑOS,20087,7597297000255,0.56,sin_candidato
CEPILLO/DENT ICEBERG TOTAL CLEAN MAN AD,20080,7597297000194,0.68,score_bajo
CEPILLO/DENT ICEBERG WAVE CERD/MEDIA AD,21617,7597297000507,0.43,score_bajo
CEPILLO/DENT VIAJERO ICEBERG,21618,7597297000514,0.76,sin_candidato
"CERCIORAT COMP 0,75MG X2 CCM",52221,7804656600095,5.94,score_bajo
CEREAL CHOCOSAFARI LONC DISP 25G X6,16112,7591039400112,1.88,sin_candidato
CEREAL FRUTY AROS LONC DISP 20G X6,16108,7591039894270,1.88,sin_candidato
CETERIX SOL ORAL PED 5MG/5ML 60ML MEG,53603,7591619001463,3.7,score_bajo
CETIDEX TAB/REC 10MG X10 PLX,54329,7594001102502,1.72,score_bajo
CETIRIVAX CAP BLD 10MG X10 VIV,1291,7592432001654,1.48,sin_candidato
CETIRIZINA JBE 1MG/ML 60ML KIMIC,7587,7592616083018,2.77,score_bajo
CETIRIZINA SOL PED 1M/ML 60ML LETI,1861,7591585174598,4.48,score_bajo
CETRIAXIN PVO LIOF INY 1G X1 BLUE/M,52482,7598127000612,3.14,sin_candidato
CEUMID COMP REC 1000MG X30 MEG,15746,7730699001257,36.36,score_bajo
CEUMID SOL ORAL 100MG/ML 150ML MEG,15748,7730698012469,32.86,score_bajo
CEVAX CAP BLD 500MG X15 VIV,20268,7592432901381,4.96,score_bajo
CEVAX CAP BLD VIT C 500MG X30 VIV,2041,7592432007649,8.08,score_bajo
CEVITMER CREM 10% 40G BOOZ,54069,7597072001255,11.04,sin_candidato
CHANCA PIEDRA CAP 400MG X30 HERB,24194,7592710003813,9.35,sin_candidato
CHANCA PIEDRA CAP 400MG X60 HERB,99652,7592710000478,13.18,sin_candidato
CHANCAPIEDRA CAP 500MG X70 ABEJ,51008,7597134002114,7.19,sin_candidato
CHEETOS BOLIQUESO DISP 25G X12,27468,7591206003856,7.05,sin_candidato
CHEETOS FLAMIN HOT DISP 38G X12,19095,7591206285160,9.08,sin_candidato
CHEETOS MEGA PUFF DISP 28G X12,18158,7591206114668,9.11,sin_candidato
CHICHA PVO SAN SIMON 250G,27444,7596914000548,2.06,score_bajo
CHICHA PVO SAN SIMON 500G,17900,7596914000050,4.2,score_bajo
CIALIS COMP REC 5MG X14 CR CCM,93842,7703991000112,116.94,score_bajo
CIBRALIP CAP 100MG X30 FC,52068,7593090003172,17.79,sin_candidato
CICLOFTAL SOL OFT 1% 15ML L.O,9675,7591196000064,39.63,sin_candidato
"CICLOGYNON TAB REC 0,15/0,03MG X21 TIAR",26413,8904250520900,9.43,score_bajo
CICLOKAN COMP REC 500MG X21 MEG,16882,7591619519227,21.56,score_bajo
CIFARCAINA SOL 1% 100ML BHR,836,7592637000155,9.86,score_bajo
CIFLOX COMP REC 500MG X14 MEG,26423,7591619000565,7.79,score_bajo
CIFLOX COMP REC 750MG X7 MEG,26424,7591619000572,6.1,score_bajo
CIPROFIBRATO TAB 100MG X30 PHARME,94217,7703763268863,17.25,sin_candidato
CIPROFLOXACINA TAB REC 500MG X6 VENEQ,21348,7597285000090,1.62,score_bajo
CIPROLYP TAB 100MG X30 D&N,51115,7410002011363,19.48,sin_candidato
CIPROQUIN SOL IV 2MG/ML 200MG 100ML BHR,7495,7592637000216,6.43,score_bajo
CIPROTAN TAB 500MG X20 ZORIAK,21970,8903489000252,6.04,sin_candidato
CIRGREL TAB REC 75MG X30 PHARME,22809,7592454003315,9.69,score_bajo
CIRUELAX FORTE COMP 125MG BLIS10X10 MEG,51044,7803510002549,33.43,score_bajo
CIRUELAX MINITAB COMP 75MG BLIS10X10 MEG,51045,7803510003430,28.36,sin_candidato
CISTAFLUX TAB 100MG X30 ZORIAK,53527,7599112000501,7.88,sin_candidato
CISTAFLUX TAB 50MG X30 ZORIAK,51312,7599112000341,5.13,sin_candidato
CITIC COMP REC 500MG X30 VARG,53594,7592349002485,20.78,sin_candidato
CITRATO D/MAGNESIO CAP 500MG X60 HERBAP,28488,7592710005558,11.7,score_bajo
CITRATO D/MAGNESIO CAP 500MG X70 ABEJ,53636,7597134001094,8.7,score_bajo
CITRATO D/MAGNESIO TAB 200MG X30 NOW,52093,733739110633,17.14,score_bajo
CITRATO D/POTA EDUL SOL 10% 1L BIOF,19533,7591616000704,10.19,score_bajo
CITRATO D/POTA JBE 10% 120ML RECETT,97085,7594001450894,2.66,score_bajo
CITRATO D/POTA SOL 240ML LYA,26073,7599028000107,4.94,score_bajo
CITRATO D/POTA SOL 500ML BIOF,20255,7591616002937,7.36,score_bajo
CITRATO D/POTA SOL 500ML LYA,26074,7599028000114,7.78,score_bajo
CITRATO D/POTASIO JBE 10% S/AZUC X 120ML,28837,7594001455837,2.47,score_bajo
CITRATO D/POTASIO JBE 10% S/AZUC X 500ML,28838,7594001455820,6.17,score_bajo
CITRATO D/POTASIO SOL 10% 1L ABEJ,53638,7597134001063,12.7,score_bajo
CITRATO D/POTASIO SOL X 1LT RECETT,28839,7594001455868,8.29,score_bajo
CITRATO D/POTASIO SOL X 500ML RECETT,28840,7594001455851,4.94,score_bajo
CITRATO MAGNESIO TAB 500MG X30 VAL,13151,714439705466,12.44,score_bajo
"CLAMOLIN SUSP 600MG/42,9MG 60ML ZUZU",52568,7599608003009,7.82,sin_candidato
CLAMOLIN TAB 875MG/125MG X10 ZUZU,52569,7599608000442,9.99,sin_candidato
CLARASOL SOL OFT 15ML L.O,5150,7591196000071,5.56,score_bajo
CLARITROMICINA SUSP 250MG/5ML 50ML PORTU,25012,7750215007167,12.39,score_bajo
CLARIX SOL NASAL PED 15ML L.O,9211,7591196000101,9.15,score_bajo
CLARIX SOL OFT 15ML L.O,7465,7591196000088,4.89,score_bajo
CLASOL SOL ORAL 15MG/5ML 120ML ANG/H,52908,7598176001158,2.86,sin_candidato
"CLAVOXILIN SUSP 250/62,5MG/5ML120ML DORO",20381,5600360011637,6.16,score_bajo
CLAVUMEDC TAB 500MG/125MG X10 IPS,23167,7597285000397,8.39,sin_candidato
CLAVUTAN TAB 875MG/125MG X10 ZORIAK,22557,8903489001747,9.81,sin_candidato
CLEANMED GEL TOP 1% 15G FMED,50983,8906188190217,1.99,sin_candidato
"CLENBUNAL JBE AD 0,010MG 120ML MEG",5980,7591955000120,7.14,score_bajo
"CLENBUXOL JBE 0,01MG/5ML 120ML MEG",5984,7591955000151,7.79,score_bajo
CLENBUXOL SOL GTS PED 20ML MEG,5985,7591955000175,5.58,score_bajo
CLENOSAN COMP REC 90MG X30 LETI,52057,7591585212566,53.5,score_bajo
CLIKET DUO OVU 100MG/400MG X5 TIAR,26415,8904187881303,10.01,score_bajo
"CLIMABEL COMP 2,5MG X30 CR CCM",20469,7401078900019,39.04,score_bajo
CLIMASOY CAP 100MG X30 FAR,97150,7591821802735,9.94,sin_candidato
CLINDAMER CREM 1%/5% 20G BOOZ,20709,7597072001156,5.69,sin_candidato
CLINDAMICINA FOSFAT GEL TOP 1% 15G CR MT,53400,8908000942622,8.29,score_bajo
CLINDAMICINA GEL TOP 1% 15G CR ZUK,23694,7590027000171,18.45,score_bajo
CLINDASKIN GEL 1% X 25G,50181,8906081308894,10.49,sin_candidato
CLINFAST OVU 100/200MG X3 TIAR,26416,8906081306876,13.55,sin_candidato
CLINFOL DUO CAP VAG 100MG/400MG X7 ADIUM,28312,7401069004351,8.36,score_bajo
"CLOBESKIN CREM TOP 0,05% 30G TIAR",53378,198715691771,4.81,sin_candidato
CLODOXIM COMP 10MG X20 PLX,6888,7594001100584,6.94,sin_candidato
CLODOXIM GTS 1MG/ML 30ML PLX,6887,7594001100560,3.9,sin_candidato
CLODOXIM JBE 5ML 120ML PLX,6886,7594001100577,5.73,sin_candidato
CLOFEN CAP AP 100MG X10 DLR,433,7592803001085,6.23,score_bajo
CLOMIFEM TAB/REC 50MG X 30,30325,18904187829326,9.6,sin_candidato
CLONEDAC CREM 20G CR DAC,22835,8906121690262,4.46,score_bajo
CLOPID TAB REC 75MG X30 BHR,92148,7592637006287,6.68,sin_candidato
CLORHID D/MEBEVERINA CAP 200MG X30 CR MT,54229,8904464206362,16.02,score_bajo
"CLORTIDEN TAB 12,5MG X30 ZORIAK",28190,7599112000235,3.54,sin_candidato
CLORURO D/MAGNE SOL COCO 240ML RECETT,52788,7594001456087,4.48,score_bajo
CLORURO D/MAGNE SOL FRAMB 240ML RECETT,52787,759001456124,4.48,score_bajo
CLORURO D/MAGNE SOL LIMON 240ML RECETT,52790,7594001456117,4.48,score_bajo
CLORURO D/MAGNE SOL NAR 240ML RECETT,52792,7594001456100,4.48,score_bajo
CLORURO D/MAGNE SOL PARCHI 240ML RECETT,52791,7594001456094,4.48,score_bajo
CLORURO D/MAGNES JBE 240ML ARC IRIS,13665,7592946168553,7.79,score_bajo
CLORURO D/MAGNES SOB 33G X12 RECETT,97087,7594001450474,33.35,score_bajo
CLORURO D/MAGNES SOL 1000L BIOF,20253,7591616002944,7.79,score_bajo
CLORURO D/MAGNES SOL 500ML BIOF,20254,7591616002951,5.83,score_bajo
CLORURO D/MAGNESIO ALPHA BMT SOB X 25G,29469,7597773000038,3.25,score_bajo
CLORURO D/MAGNESIO SOL S/FRAMBUES 20MLX5,29417,17594001455896,3.29,score_bajo
CLORURO D/MAGNESIO SOL S/LIMON 20ML X5,29416,17594001455889,3.29,score_bajo
"CLORURO D/POTA AMP 1,49G/5ML X100 MEDV",51159,7501125111303,122.43,score_bajo
"CLORURO D/POTA SOL INY 7,5% 100ML BHR",4521,7592637000339,10.53,score_bajo
"CLORURO D/SOD SOL 0,9% 500ML BLUE/M",23535,6972718560180,1.54,score_bajo
"CLORURO D/SOD SOL 0,9%100ML BLUE/M",23536,6972718560012,1.6,score_bajo
"CLORURO D/SOD SOL INY 0,9% 100ML IPS",21357,7597285000038,1.7,score_bajo
"CLORURO D/SOD SOL INY 0,9% 500ML GKV",21350,7595624200101,3.69,score_bajo
"CLORURO D/SOD SOL INY 0,9% 500ML IPS",21356,7597285000052,1.73,score_bajo
CLORURO D/SOD SOL INY 0.9% 100ML GKV,21351,7595624200118,2.95,score_bajo
"CLORURO SODIO SOL 0,45% 100ML ZUZU",52598,7599608002934,1.74,score_bajo
CLOTRIMAZOL CREM 1% 20G PORTU,23722,7750215136249,2.18,score_bajo
CLOTRIMAZOL CREM TOP 1% 20G ALESS,51996,7597758001050,2.63,score_bajo
CLOTRIMAZOL CREM VAG 2% 20G LETI,51265,7591585177490,7.81,score_bajo
CLOTRIMAZOL CREM VAG 2% X 30G TIAR,26411,8904250520764,4.69,score_bajo
CLOTRIMAZOL CREM VAG/CANULA 10% 5G KIMIC,15301,7592616584157,4.43,score_bajo
CLOTRIMAZOL CREM/VAG 1% X 40G CALOX,50166,7591519000702,8.16,score_bajo
CLOTRIMAZOL/NEOMIC/DEXAM CREM 20G PHARME,9315,7592454003704,6.5,score_bajo
CLOUSAN TAB 1000MG X30 CLEO,52829,7598677000537,13.71,sin_candidato
CLX OVUL CUMLAUDE LAB X10 MANCENT,51033,8428749884309,31.39,sin_candidato
"COAPROVEL COMP REC 150MG/12,5MG X28 CLX",93572,7706263001695,42.51,sin_candidato
COCHE ORTOPEDICO NEXT STEP PED,53646,7590175000125,535.86,sin_candidato
COENZIMA Q10 CAP 150MG X60 PREV,52136,7598953000176,30.08,sin_candidato
COENZIMA Q10 CAP 400MG X 60 ETERNAL,28990,0787790457855,23,sin_candidato
COFADOR T SOL OFT 5ML COFA,20803,7591818716786,8.99,sin_candidato
COFASTANE SOL OFT 15ML COFA,20807,7591818716878,12.24,sin_candidato
COFATIC CAP X30 COFA,52005,7591818000403,6.49,sin_candidato
"COFFE MATE PVO NESTLE 453,5G",51972,50000301621,8.06,sin_candidato
COLA D/CABALLO CAP 300MG X60 NAT PREM,13361,7592430000215,5.73,sin_candidato
COLA D/CABALLO CAP 500MG X30 HERB,24093,7592710003837,8.18,sin_candidato
COLA D/CABALLO CAP 500MG X60 HERB,99653,7592710000492,9.74,sin_candidato
COLAGENO CAP 550MG X60 WALF,28369,7592710004568,12.28,sin_candidato
COLAGENO CAP VIT C 400MG X60 ARC IRIS,18762,7592946169697,13.51,score_bajo
COLAGENO COMPLEX CAP 400MG X60 HERB,52350,7592710003127,13.18,score_bajo
COLAGENO HIDRO PVO MO4T 454G,54250,669936799381,62.83,sin_candidato
COLAGENO HIDROLIZ PVO VAIN 200G LINOF,25740,678358669479,21.6,sin_candidato
COLAGENO HIDROLIZADO PVO 10G SOB X25 FCH,53801,7592141001594,37.01,sin_candidato
COLAGENO HIDROLIZADO PVO 200G FCH,53802,7592141001600,14.01,sin_candidato
COLAGENO VIT C CAP 500MG X60 NAT PREM,26590,7592430000772,11.36,score_bajo
COLAGENO VIT C CAP BLD 450/50MGX30 LINOF,25749,685239846850,8.71,score_bajo
COLAGENO VIT C CAP BLD 450/50MGX60 LINOF,25747,0685239846843,11.35,score_bajo
COLAGENO ZAFIRE SOB INSTANT 10G X 30,28743,8436567240757,35.37,sin_candidato
COLAGENO ZAFIRE SOB OPTIMUM 11G X 30,28742,8436567241150,35.37,sin_candidato
COLAGENO/MAGNESIO CAP 420/80MG X30 LINOF,25748,685239846829,8.45,score_bajo
COLAGENO/MAGNESIO CAP 420/80MG X60 LINOF,25746,0685239846836,11.35,score_bajo
COLAGENO/VIT C/MAGNESIO CAP X30 VAL,17413,0714439705541,13.7,score_bajo
COLAGENOL LIFE CAP 550MG X60 WALF,28370,7592710005299,11.84,sin_candidato
COLCHICINA TAB 1G X 30 FM,28711,8906005118363,1.25,sin_candidato
COLCHICINA TAB 500MCG X 30 FM,28710,8906005118233,0.98,sin_candidato
COLEZE TAB 10MG X 30,30342,7599112000327,9.65,sin_candidato
COLFENE COMP REC 600MG/4MG X15 ELM,97446,7591062900900,6.94,score_bajo
COLLAGEN/VIT C CAP X60 ETER,23401,0787790468554,9.17,score_bajo
COLLOVAR SOL TOP 10ML VARG,11256,7592349947557,4.86,score_bajo
COLONVITAL LIFE CAP X60 WALF,28371,7592710005183,12.28,sin_candidato
COLVAL AMP SOL INY IM/IV 2ML X2 VLM,8563,7591020007818,6.23,score_bajo
COLYPAN TAB REC LIB/PRO 300MG X20 FAR,7042,7591821902534,11.7,score_bajo
COMENTER COM/REC 30MG X 30,29372,7401069003590,9.41,score_bajo
"CONCOR TAB REC 2,5MG X30 DOLLY",1844,7501298225531,15.21,score_bajo
CONCOR TAB REC 5MG X30 DOLLY,1845,7501298225548,18.63,score_bajo
CONTORNO D/OJOS/LABIOS GEODERM CREM 10ML,50890,8436568469843,24.65,sin_candidato
COQ10 CAP 60MG X60 NOW,28236,0733739031532,33.12,sin_candidato
CORATAB TAB REC 81MG FRASCO X100 COFA,53062,7591818000564,5.94,score_bajo
