ef,sku,nombre_antes,nombre_despues,forma,frase_quitada,flag
E.F.36.296,ME36296,ABRETIA 10 mg CAPSULAS X 10 capsulas,ABRETIA 10 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.36.437,ME36437,ABRETIA 18 mg CAPSULAS X 10 capsulas,ABRETIA 18 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.36.438,ME36438,ABRETIA 25 mg CAPSULAS X 20 capsulas,ABRETIA 25 mg X 20 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.4.629,ME4629/3,ACIDO FOLICO 5 mg COMPRIMIDOS X 20 comprimidos,ACIDO FOLICO 5 mg X 20 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.629,ME4629/4,ACIDO FOLICO 5 mg COMPRIMIDOS X 30 comprimidos,ACIDO FOLICO 5 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.629,ME4629/2,ACIDO FOLICO 5 mg COMPRIMIDOS X 10 tabletas,ACIDO FOLICO 5 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.837,ME43837,ACIDO FOLICO 10 mg TABLETAS X 10 tabletas,ACIDO FOLICO 10 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/2,ACIDO FOLICO 10 mg TABLETAS X 10 tabletas,ACIDO FOLICO 10 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/3,ACIDO FOLICO 10 mg TABLETAS X 20 tabletas,ACIDO FOLICO 10 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.224,ME36224/4,ACIDO FOLICO 10 mg TABLETAS X 30 tabletas,ACIDO FOLICO 10 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.836,ME43836,ACIDO FOLICO 5 mg TABLETAS X 10 tabletas,ACIDO FOLICO 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.094,ME43094,ACIDO IBANDRONICO 150 mg TABLETAS RECUBIERTAS X 1 tabletas,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.43.992,ME43992,ACIDO TRANEXAMICO 500 mg TABLETAS RECUBIERTAS X 10 tabletas,ACIDO TRANEXAMICO 500 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.23.534,ME23534,ACALIX 60 mg TABLETAS X 30 tabletas,ACALIX 60 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.665,ME42665,ACECLOFENACO 100 mg TABLETAS RECUBIERTAS X 10 dispersable,ACECLOFENACO 100 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.36.867,ME36867,ACETAB 250 mg TABLETAS X 20 tabletas,ACETAB 250 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.33.539,ME33539,ACETAMINOFEN 500 COMPRIMIDOS X 10 comprimidos,ACETAMINOFEN 500 X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.639,ME43639/2,ACETAMINOFEN 650mg TABLETAS X 10 comprimidos,ACETAMINOFEN 650mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.639,ME43639/3,ACETAMINOFEN 650mg TABLETAS X 20 comprimidos,ACETAMINOFEN 650mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.639,ME43639/4,ACETAMINOFEN 650mg TABLETAS X 30 comprimidos,ACETAMINOFEN 650mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.25.466,ME25466/2,ACETAMINOFEN 500 mg COMPRIMIDOS X 10 oftalmica,ACETAMINOFEN 500 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.25.466,ME25466/3,ACETAMINOFEN 500 mg COMPRIMIDOS X 30 oftalmica,ACETAMINOFEN 500 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.31.234,ME31234,ACETAMINOFEN 500 mg TABLETAS X 10 tabletas,ACETAMINOFEN 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/2,ACETAMINOFEN 500 mg TABLETAS X 10 tabletas,ACETAMINOFEN 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/3,ACETAMINOFEN 500 mg TABLETAS X 12 tabletas,ACETAMINOFEN 500 mg X 12 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.23.275,ME23275/4,ACETAMINOFEN 500 mg TABLETAS X 24 tabletas,ACETAMINOFEN 500 mg X 24 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.37.101,ME37101/3,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE X 20 tabletas,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 20 TABLETAS RE,TABLETAS,TABLETAS RE,limpio
E.F.G.37.101,ME37101/2,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE X 10 tabletas,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg X 10 TABLETAS RE,TABLETAS,TABLETAS RE,limpio
E.F.G.37.095,ME37095,ACETAMINOFEN 500 mg TABLETAS X 20 tabletas,ACETAMINOFEN 500 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.39.115,ME39115,"ACETAMINOFEN - TRAMADOL 325 mg - 37,5 mg COMPRIMIDOS X 10 tabletas","ACETAMINOFEN - TRAMADOL 325 mg - 37,5 mg X 10 COMPRIMIDOS",COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.34.148,ME34148/3,ACETAZOLAMIDA 250 mg TABLETAS X 20 tabletas,ACETAZOLAMIDA 250 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.148,ME34148/2,ACETAZOLAMIDA 250 mg TABLETAS X 10 tabletas,ACETAZOLAMIDA 250 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.30.496,ME30496/2,ACEVAL 650 mg TABLETAS X 10 tabletas,ACEVAL 650 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.30.496,ME30496/3,ACEVAL 650 mg TABLETAS X 50 tabletas,ACEVAL 650 mg X 50 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.31.082,ME31082,ACICLOR 1 g COMPRIMIDOS A.P. X 10 comprimidos,ACICLOR 1 g X 10 COMPRIMIDOS A.P.,COMPRIMIDOS,COMPRIMIDOS A.P.,limpio
P.B.1.046,HO1046,MONARC- M 250 u. 1 vial POLVO LIOFILIZADO PARA SOLUCION INYECTABLE X 1 inyectable,MONARC- M 250 u. 1 X 1 AMPOLLAS,INYECTABLE,vial POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,limpio
E.F.G.26.178,ME26178/3,ACICLOVIR 200 mg TABLETAS X 20 tabletas,ACICLOVIR 200 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.26.178,ME26178/2,ACICLOVIR 200 mg TABLETAS X 10 tabletas,ACICLOVIR 200 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.26.178,ME26178/4,ACICLOVIR 200 mg TABLETAS X 24 tabletas,ACICLOVIR 200 mg X 24 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.31.108,ME31108,ACICLOVIR 200 mg TABLETAS X 25 tabletas,ACICLOVIR 200 mg X 25 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.42.505,ME42505,ACICLOVIR 400 mg TABLETAS X 100 tabletas,ACICLOVIR 400 mg X 100 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.553,ME34553/2,ACIDO ACETILSALICILICO 81 mg TABLETAS CON CUBIERTA ENTERICA X 24 tabletas,ACIDO ACETILSALICILICO 81 mg X 24 TABLETAS CON CUBIERTA ENTERICA,TABLETAS,TABLETAS CON CUBIERTA ENTERICA,limpio
E.F.G.34.553,ME34553/3,ACIDO ACETILSALICILICO 81 mg TABLETAS CON CUBIERTA ENTERICA X 30 tabletas,ACIDO ACETILSALICILICO 81 mg X 30 TABLETAS CON CUBIERTA ENTERICA,TABLETAS,TABLETAS CON CUBIERTA ENTERICA,limpio
E.F.G.3.187,HO3187/3,ACIDO FOLICO 10 mg / mL SOLUCION INYECTABLE X 10 solucion inyectable,ACIDO FOLICO 10 mg / mL X 10 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.3.187,HO3187/2,ACIDO FOLICO 10 mg / mL SOLUCION INYECTABLE X 3 solucion inyectable,ACIDO FOLICO 10 mg / mL X 3 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.3.187,HO3187/4,ACIDO FOLICO 10 mg / mL SOLUCION INYECTABLE X 20 tabletas,ACIDO FOLICO 10 mg / mL X 20 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.4.630,ME4630/3,ACIDO FOLICO 10 mg COMPRIMIDOS X 20 comprimidos,ACIDO FOLICO 10 mg X 20 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.630,ME4630/4,ACIDO FOLICO 10 mg COMPRIMIDOS X 30 comprimidos,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.4.630,ME4630/2,ACIDO FOLICO 10 mg COMPRIMIDOS X 10 tabletas,ACIDO FOLICO 10 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.38.298,ME38298,ACIDO FOLICO 10 mg COMPRIMIDOS X 30 comprimidos,ACIDO FOLICO 10 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.33.559,ME33559,ACIDO FOLICO 10 mg TABLETAS X 30 tabletas,ACIDO FOLICO 10 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.36.039,ME36039,ACIDO FOLICO 5 mg TABLETAS X 30 tabletas,ACIDO FOLICO 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.43.542,ME43542,ACIDO MEFENAMICO 500 mg TABLETAS X 10 tabletas,ACIDO MEFENAMICO 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.23.174,ME23174/2,VALPRON 500 mg TABLETAS X 10 tabletas,VALPRON 500 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.23.174,ME23174/3,VALPRON 500 mg TABLETAS X 30 tabletas,VALPRON 500 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.23.174,ME23174/4,VALPRON 500 mg TABLETAS X 60 tabletas,VALPRON 500 mg X 60 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.38.066,ME38066,ACIDO IBANDRONICO 150 mg TABLETAS RECUBIERTAS X 1 recubierta,ACIDO IBANDRONICO 150 mg X 1 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.44.457,ME44457,"ACTUMIR DUO 12,5mg-850mg  TABLETAS RECUBIERTAS  X 30 recubierta","ACTUMIR DUO 12,5mg-850mg X 30 TABLETAS RECUBIERTAS",TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.34.745,HO34745,ADRENALINA 1 mg / mL SOLUCION INYECTABLE X 5 inyectable,ADRENALINA 1 mg / mL X 5 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.36.828,ME36828/2,AFLAMAX 50 mg TABLETAS RECUBIERTAS X 10 recubierta,AFLAMAX 50 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.36.828,ME36828/3,AFLAMAX 50 mg TABLETAS RECUBIERTAS X 20 recubierta,AFLAMAX 50 mg X 20 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.27.634,ME27634,AFOKLIN 5 mg COMPRIMIDOS X 20 comprimidos,AFOKLIN 5 mg X 20 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.43.879,ME43879,"AIRCOF PLUS 5 mg - 2,5 mg TABLETAS MASTICABLES X 30 masticable","AIRCOF PLUS 5 mg - 2,5 mg X 30 TABLETAS MASTICABLES",TABLETAS,TABLETAS MASTICABLES,limpio
E.F.43.889,ME43889,AIRCOF 10 mg TABLETAS MASTICABLES X 30 recubierta,AIRCOF 10 mg X 30 TABLETAS MASTICABLES,TABLETAS,TABLETAS MASTICABLES,limpio
E.F.33.783,ME33783/3,AIRON 10 mg TABLETAS RECUBIERTAS X 30 recubierta,AIRON 10 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.33.783,ME33783/2,AIRON 10 mg TABLETAS RECUBIERTAS X 10 tabletas,AIRON 10 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.43.288,ME43288,ALBENDAZOL 400 mg TABLETAS MASTICABLES X 10 masticable,ALBENDAZOL 400 mg X 10 TABLETAS MASTICABLES,TABLETAS,TABLETAS MASTICABLES,limpio
E.F.G.40.605,ME40605/2,ALBENDAZOL 200 mg COMPRIMIDOS X 2 tabletas,ALBENDAZOL 200 mg X 2 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.40.605,ME40605/3,ALBENDAZOL 200 mg COMPRIMIDOS X 6 tabletas,ALBENDAZOL 200 mg X 6 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.34.122,ME34122/2,ALBENDAZOL 200 mg TABLETAS X 2 tabletas,ALBENDAZOL 200 mg X 2 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.34.122,ME34122/3,ALBENDAZOL 200 mg TABLETAS X 6 tabletas,ALBENDAZOL 200 mg X 6 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.35.827,ME35827,ALBENDAZOL 200 mg TABLETAS MASTICABLES X 6 masticable,ALBENDAZOL 200 mg X 6 TABLETAS MASTICABLES,TABLETAS,TABLETAS MASTICABLES,limpio
E.F.27.447,ME27447/2,ALBICAR 200 mg TABLETAS X 2 tabletas,ALBICAR 200 mg X 2 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.27.447,ME27447/3,ALBICAR 200 mg TABLETAS X 6 tabletas,ALBICAR 200 mg X 6 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.32.131,ME32131,ALENDRONATO SODICO 70 mg COMPRIMIDOS X 4 tabletas,ALENDRONATO SODICO 70 mg X 4 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.43.312,ME43312,ALENTIK 70 mg TABLETAS X 4 tabletas,ALENTIK 70 mg X 4 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.42.912,ME42912,ALGIOL 5 mg COMPRIMIDOS RECUBIERTOS X 30 comprimidos,ALGIOL 5 mg X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.16.713,ME16713,ALGOREN 10 mg TABLETAS X 20 tabletas,ALGOREN 10 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.34.716,ME34716,ALIPAL FORTE DIA 650 mg - 32 mg - 4 mg CAPSULAS X 12 capsulas,ALIPAL FORTE DIA 650 mg - 32 mg - 4 mg X 12 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.34.933,ME34933,AMITAFEN FORTE 650 mg TABLETAS X 10 blanda,AMITAFEN FORTE 650 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.43.815,ME43815,"ALIVET 100 mg - 0,42 mg / mL SOLUCIÓN ORAL X 10 recubierta","ALIVET 100 mg - 0,42 mg / mL X 10 SOLUCIÓN ORAL",SOLUCION ORAL,SOLUCIÓN ORAL,limpio
E.F.G.44.004,ME44004,ALOPURINOL 100 mg TABLETAS X 30 tabletas,ALOPURINOL 100 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.33.170,ME33170,"ALPRAM 0,5 mg TABLETAS X 30 tabletas","ALPRAM 0,5 mg X 30 TABLETAS",TABLETAS,TABLETAS,limpio
E.F.33.214,ME33214,ALPRAM 1 mg TABLETAS X 30 tabletas,ALPRAM 1 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.33.171,ME33171,ALPRAM 2 mg TABLETAS X 30 tabletas,ALPRAM 2 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.28.860,ME28860,"ALPRAZOLAM 0,5 mg TABLETAS X 30 tabletas","ALPRAZOLAM 0,5 mg X 30 TABLETAS",TABLETAS,TABLETAS,limpio
E.F.G.28.861,ME28861,ALPRAZOLAM 1 mg TABLETAS X 30 tabletas,ALPRAZOLAM 1 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.39.231,ME39231,ALPRAZOLAM 2 mg TABLETAS X 30 tabletas,ALPRAZOLAM 2 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.33.085,ME33085/2,ALSART 160 mg CAPSULAS X 10 capsulas,ALSART 160 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.33.085,ME33085/3,ALSART 160 mg CAPSULAS X 30 capsulas,ALSART 160 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.33.084,ME33084/2,ALSART 80 mg CAPSULAS X 10 capsulas,ALSART 80 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.33.084,ME33084/3,ALSART 80 mg CAPSULAS X 30 capsulas,ALSART 80 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.41.242,ME41242,ALURON 300 mg COMPRIMIDOS X 20 comprimidos,ALURON 300 mg X 20 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.16.002,ME16002,ALURON 100 mg TABLETAS X 30 tabletas,ALURON 100 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.44.324,ME44324,AMANIRIS 81 mg COMPRIMIDOS CON CUBIERTA ENTERICA X 30 comprimidos,AMANIRIS 81 mg X 30 COMPRIMIDOS CON CUBIERTA ENTERICA,COMPRIMIDOS,COMPRIMIDOS CON CUBIERTA ENTERICA,limpio
E.F.G.23.247,HO23247,AMIKACINA 500 mg / 2 mL SOLUCION INYECTABLE X 1 solucion inyectable,AMIKACINA 500 mg / 2 mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.24.946,HO24946,AMIKACINA 500 mg/2mL SOLUCION INYECTABLE X 1 solucion inyectable,AMIKACINA 500 mg/2mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.26.424,HO26424,AMIKACINA 100 mg / 2 mL SOLUCION INYECTABLE X 10 inyectable,AMIKACINA 100 mg / 2 mL X 10 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.G.31.452,ME31452,AMIODARONA CLORHIDRATO 200 mg COMPRIMIDOS X 10 comprimidos,AMIODARONA CLORHIDRATO 200 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.32.403,ME32403,AMIODARONA CLORHIDRATO 200 mg TABLETAS X 10 tabletas,AMIODARONA CLORHIDRATO 200 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.30.206,ME30206/3,AMLODIPINA 10 mg COMPRIMIDOS X 30 comprimidos,AMLODIPINA 10 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.30.206,ME30206/4,AMLODIPINA 10 mg COMPRIMIDOS X 60 comprimidos,AMLODIPINA 10 mg X 60 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.30.206,ME30206/2,AMLODIPINA 10 mg COMPRIMIDOS X 10 tabletas,AMLODIPINA 10 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.38.145,ME38145,AMLODIPINA 5 mg COMPRIMIDOS X 30 comprimidos,AMLODIPINA 5 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.32.016,ME32016/2,AMLODIPINA 10 mg TABLETAS X 10 tabletas,AMLODIPINA 10 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.32.016,ME32016/3,AMLODIPINA 10 mg TABLETAS X 30 tabletas,AMLODIPINA 10 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.39.126,ME39126/2,AMLODIPINA 10 mg TABLETAS X 20 tabletas,AMLODIPINA 10 mg X 20 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.39.126,ME39126/3,AMLODIPINA 10 mg TABLETAS X 30 tabletas,AMLODIPINA 10 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.28.705,ME28705/2,AMLODIPINA 5 mg TABLETAS X 10 tabletas,AMLODIPINA 5 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.28.705,ME28705/3,AMLODIPINA 5 mg TABLETAS X 30 tabletas,AMLODIPINA 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.31.230,ME31230,AMLODIPINA 5 mg TABLETAS X 30 tabletas,AMLODIPINA 5 mg X 30 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.G.40.038,ME40038,AMLODIPINA - VALSARTAN 5 mg - 160 mg COMPRIMIDOS RECUBIERTOS X 30 tabletas,AMLODIPINA - VALSARTAN 5 mg - 160 mg X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.44.341,ME44341,SINOT CLAV 875 mg – 125 mg COMPRIMIDOS X 14 tabletas,SINOT CLAV 875 mg – 125 mg X 14 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.43.040,ME43040,AMOXICILINA 500 mg CAPSULAS X 10 capsulas,AMOXICILINA 500 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.44.669,ME44669,AMOXICILINA - ACIDO CLAVULANICO 500 mg - 125 mg TABLETAS RECUBIERTAS X 10 capsulas,AMOXICILINA - ACIDO CLAVULANICO 500 mg - 125 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.20.340,ME20340/3,AMOXICILINA  500 mg CAPSULAS X 10 capsulas,AMOXICILINA 500 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.20.340,ME20340/4,AMOXICILINA  500 mg CAPSULAS X 12 capsulas,AMOXICILINA 500 mg X 12 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.20.340,ME20340/2,AMOXICILINA  500 mg CAPSULAS X 6 capsulas,AMOXICILINA 500 mg X 6 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.26.817,ME26817,AMOXICILINA 500 mg CAPSULAS X 12 capsulas,AMOXICILINA 500 mg X 12 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.31.313,ME31313,AMOXIDUO 875 mg COMPRIMIDOS RECUBIERTOS X 14 comprimidos,AMOXIDUO 875 mg X 14 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.21.824,ME21824,AMOXIVAL 500 mg CAPSULAS X 12 capsulas,AMOXIVAL 500 mg X 12 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.40.054,ME40054,AMOXIVAL 875 mg TABLETAS RECUBIERTAS X 20 recubierta,AMOXIVAL 875 mg X 20 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.43.076,ME43076,AMPLIDER 50 mg CAPSULAS BLANDAS X 10 capsulas,AMPLIDER 50 mg X 10 CAPSULAS BLANDAS,CAPSULAS,CAPSULAS BLANDAS,limpio
E.F.35.424,ME35424,ANALPER PLUS 500 mg - 10 mg TABLETAS RECUBIERTAS X 10 tabletas,ANALPER PLUS 500 mg - 10 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.42.977,ME42977,ANANTY 650 mg TABLETAS X 10 tabletas,ANANTY 650 mg X 10 TABLETAS,TABLETAS,TABLETAS,limpio
E.F.44.118,ME44118,ANAPIRFLEX 600 mg – 4 mg TABLETAS RECUBIERTAS X 10 tabletas,ANAPIRFLEX 600 mg – 4 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.24.592,ME24592/2,ANASMOL 5 mg COMPRIMIDOS X 10 comprimidos,ANASMOL 5 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.24.592,ME24592/3,ANASMOL 5 mg COMPRIMIDOS X 30 comprimidos,ANASMOL 5 mg X 30 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.42.609,ME42609,ANASTROZOL 1 mg TABLETAS RECUBIERTAS X 30 recubierta,ANASTROZOL 1 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.31.329,ME31329/3,ANGRIP COMPRIMIDOS X 8 comprimidos,ANGRIP X 8 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.31.329,ME31329/2,ANGRIP COMPRIMIDOS X 4 comprimidos,ANGRIP X 4 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.31.329,ME31329/4,ANGRIP COMPRIMIDOS X 15 comprimidos,ANGRIP X 15 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.30.811,ME30811,"ANSILAN 0,5 mg COMPRIMIDOS RECUBIERTOS X 30 comprimidos","ANSILAN 0,5 mg X 30 COMPRIMIDOS RECUBIERTOS",COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.30.871,ME30871,ANSILAN 1 mg COMPRIMIDOS RECUBIERTOS X 30 comprimidos,ANSILAN 1 mg X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.41.688,ME41688,ANSILAN 2 mg COMPRIMIDOS RECUBIERTOS X 30 comprimidos,ANSILAN 2 mg X 30 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
E.F.43.410,ME43410/3,"ANTAAR 1,25 mg TABLETAS RECUBIERTAS X 30 tabletas","ANTAAR 1,25 mg X 30 TABLETAS RECUBIERTAS",TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.43.410,ME43410/2,"ANTAAR 1,25 mg TABLETAS RECUBIERTAS X 10 recubierta","ANTAAR 1,25 mg X 10 TABLETAS RECUBIERTAS",TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.39.619,ME39619,ANTAAR 10 mg TABLETAS RECUBIERTAS X 30 recubierta,ANTAAR 10 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
