ef,sku,nombre_antes,nombre_despues,forma,frase_quitada,flag
E.F.G.40.904,ME40904,"OLMESARTAN MEDOXOMIL 40 mg - HIDROLOCOTIAZIDA 12,5 mg TABLETAS RECUBIERTAS X 30 comprimidos","OLMESARTAN MEDOXOMIL 40 mg - HIDROLOCOTIAZIDA 12,5 mg X 30 TABLETAS RECUBIERTAS",TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.42.752,ME42752/2,OLMESARTAN MEDOXOMILO 20 mg TABLETAS RECUBIERTAS X 10 tabletas,OLMESARTAN MEDOXOMILO 20 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.42.752,ME42752/3,OLMESARTAN MEDOXOMILO 20 mg TABLETAS RECUBIERTAS X 30 recubierta,OLMESARTAN MEDOXOMILO 20 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.40.779,ME40779,OLMESARTAN MEDOXOMIL 20 mg TABLETAS RECUBIERTAS X 30 tabletas,OLMESARTAN MEDOXOMIL 20 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.42.751,ME42751/2,OLMESARTAN MEDOXOMILO 40 mg TABLETAS RECUBIERTAS X 10 tabletas,OLMESARTAN MEDOXOMILO 40 mg X 10 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.42.751,ME42751/3,OLMESARTAN MEDOXOMILO 40 mg TABLETAS RECUBIERTAS X 30 recubierta,OLMESARTAN MEDOXOMILO 40 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.42.770,ME42770,OLMETIQUE 20 mg TABLETAS RECUBIERTAS X 30 tabletas,OLMETIQUE 20 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.G.27.785,ME27785/3,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS ENTERICOS X 10 capsulas,OMEPRAZOL 20 mg X 10 CAPSULAS CON MICROGRANULOS ENTERICOS,CAPSULAS,CAPSULAS CON MICROGRANULOS ENTERICOS,limpio
E.F.G.27.785,ME27785/4,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS ENTERICOS X 14 capsulas,OMEPRAZOL 20 mg X 14 CAPSULAS CON MICROGRANULOS ENTERICOS,CAPSULAS,CAPSULAS CON MICROGRANULOS ENTERICOS,limpio
E.F.G.27.785,ME27785/5,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS ENTERICOS X 28 capsulas,OMEPRAZOL 20 mg X 28 CAPSULAS CON MICROGRANULOS ENTERICOS,CAPSULAS,CAPSULAS CON MICROGRANULOS ENTERICOS,limpio
E.F.G.27.785,ME27785/6,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS ENTERICOS X 30 capsulas,OMEPRAZOL 20 mg X 30 CAPSULAS CON MICROGRANULOS ENTERICOS,CAPSULAS,CAPSULAS CON MICROGRANULOS ENTERICOS,limpio
E.F.G.27.785,ME27785/2,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS ENTERICOS X 7 capsulas,OMEPRAZOL 20 mg X 7 CAPSULAS CON MICROGRANULOS ENTERICOS,CAPSULAS,CAPSULAS CON MICROGRANULOS ENTERICOS,limpio
E.F.G.28.613,ME28613/3,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA X 30 capsulas,OMEPRAZOL 20 mg X 30 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,CAPSULAS,CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,limpio
E.F.G.28.613,ME28613/2,OMEPRAZOL 20 mg CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA X 8 capsulas,OMEPRAZOL 20 mg X 8 CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,CAPSULAS,CAPSULAS CON MICROGRANULOS CON CUBIERTA ENTERICA,limpio
E.F.G.43.675,ME43675/4,OMEPRAZOL 20 mg CAPSULAS GASTRORRESISTENTES X 10 capsulas,OMEPRAZOL 20 mg X 10 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.G.43.675,ME43675/5,OMEPRAZOL 20 mg CAPSULAS GASTRORRESISTENTES X 20 capsulas,OMEPRAZOL 20 mg X 20 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
