id,sku,nombre_comercial,molecula,forma,laboratorio,fuente_inhrr_ef
"38735","ME30711","RINOMAX 0,25 % - 0,125 % - 0,25 % SOLUCION NASAL","","SOLUCION NASAL","LABORATORIOS L.O. OFTALMI, C.A.","E.F.30.711"
"39021","ME22033","ACIDO FOLICO 10 mg COMPRIMIDOS","Folico Acido","COMPRIMIDOS","LABORATORIOS VALMOR, C.A.","E.F.G.22.033"
"39022","ME29912","ACIDO FOLICO 5 mg X 30 TABLETAS","Folico Acido","TABLETAS","LABORATORIOS SIEGFRIED S.A.","E.F.G.29.912"
"39023","ME31178","ACIDO FOLICO 10 mg / mL SOLUCION ORAL","Folico Acido","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.G.31.178"
"39024","HO32565","DEXTROSA AL 5 % EN AGUA DESTILADA SOLUCION INYECTABLE","","INYECTABLE","LABORATORIO BEHRENS, C.A.","E.F.G.32.565"
"39025","ME43679","AIREX 0,05% SOLUCION NASAL","Oximetazolina","SOLUCION NASAL","MANUFACTURERA MUNDIAL FARMACEUTICA, M.M.F, C.A.","E.F.43.679"
"39026","ME44293","OLOCOF 0,02% SOLUCIÓN OFTÁLMICA ","Olopatadina","SOLUCION OFTALMICA","LABORATORIO COFASA, S.A.","E.F.44.293"
"39027","ME33777/2","AIRON 5 mg X 10 TABLETAS MASTICABLES","Montelukast","TABLETAS","LABORATORIOS L.O. OFTALMI, C.A.","E.F.33.777"
"39028","ME33777/3","AIRON 5 mg X 30 TABLETAS MASTICABLES","Montelukast","TABLETAS","LABORATORIOS L.O. OFTALMI, C.A.","E.F.33.777"
"39029","ME39048/2","ALBENDAZOL 200 mg X 2 TABLETAS MASTICABLES SABOR A BANANA","Albendazol","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.G.39.048"
"39030","ME39048/3","ALBENDAZOL 200 mg X 6 TABLETAS MASTICABLES SABOR A BANANA","Albendazol","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.G.39.048"
"39031","ME37677","SECNIDAZOL - ITRACONAZOL 166,66 mg - 33,33 mg X 12 CAPSULAS","Itraconazol - Secnidazol Anhidro","CAPSULAS","CALOX INTERNATIONAL, C.A.","E.F.G.37.677"
"39032","ME34717","ALIPAL FORTE NOCHE 650 mg - 4 mg X 12 CAPSULAS","Acetaminofen - Clorfeniramina","CAPSULAS","BIOTECH LABORATORIOS, C.A.","E.F.34.717"
"39033","ME32123","ALIVETNOC 500 mg - 3 mg GRANULADO SABOR LIMON - MIEL","Acetaminofen - Clorfeniramina","GRANULADOS","LABORATORIOS LETI, S.A.V.","E.F.32.123"
"39034","ME41701","ALIVET PLUS COMPRIMIDOS RECUBIERTOS","Acetaminofen - Clorfeniramina - Dextrometorfano - Fenilefrina","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.41.701"
"39035","ME30270/2","AMLODIPINA 10 mg X 20 TABLETAS","Amlodipino","TABLETAS","LABORATORIOS KIMICEG C.A.","E.F.G.30.270"
"39036","ME30270/3","AMLODIPINA 10 mg X 30 TABLETAS","Amlodipino","TABLETAS","LABORATORIOS KIMICEG C.A.","E.F.G.30.270"
"39037","ME42427","AMLODIPINO 10 mg X 20 COMPRIMIDOS","","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.427"
"39038","ME40042","AMLODIPINA - VALSARTAN 10 mg - 160 mg COMPRIMIDOS RECUBIERTOS","Amlodipino - Valsartan","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.40.042"
"39039","ME44262","BISOPROLOL FUMARATO - AMLODIPINA 5 mg - 10 mg COMPRIMIDOS","Amlodipino - Bisoprolol","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.44.262"
"39040","ME42428","AMLODIPINO 5 mg X 20 COMPRIMIDOS","","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.42.428"
"39041","ME30269","AMLODIPINA 5 mg X 30 TABLETAS","Amlodipino","TABLETAS","LABORATORIOS KIMICEG C.A.","E.F.G.30.269"
"39044","ME29931","AMOXICILINA 250 mg / 5 mL POLVO PARA SUSPENSION ORAL","","POLVO PARA RECONSTITUCION","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.29.931"
"39045","ME35012","AMOXICILINA 500 mg X 12 CAPSULAS","Amoxicilina","CAPSULAS","LABORATORIOS VALMOR, C.A.","E.F.G.35.012"
