nombre_comercial
"TRAMAL 100 mg / mL SOLUCION ORAL"
"GENESA 3mg-20 mcg X 21 COMPRIMIDOS RECUBIERTOS"
"LODIPIN VL 10 mg - 160 mg X 30 CAPSULAS"
"VASPITOR 40 mg X 10 COMPRIMIDOS RECUBIERTOS"
"PREDNISOLONA 5 mg X 30 TABLETAS"
"UROSINA 0,4 mg X 30 TABLETAS RECUBIERTAS DE LIBERACION PROLONGADA"
"DENUAL 150 mg X 1 COMPRIMIDOS RECUBIERTOS"
"GULAPER 250 MG / 5 ML SOLUCION ORAL SABOR A MENTA "
"DEXAMETASONA 4 mg X 10 COMPRIMIDOS"
"OLMECAR 40 mg X 30 COMPRIMIDOS RECUBIERTOS"
"DOPRIL 3 mg / mL SOLUCIÓN ORAL"
"DEFLAZACORT 30 mg X 30 TABLETAS"
"TAMOA 250 mg / 5 mL X 6 SUSPENSION"
"AMPLIDER 50 mg X 10 CAPSULAS BLANDAS"
"ARESAN 20 mg X 30 TABLETAS RECUBIERTAS"
"TRAMAL 100 mg / mL SOLUCION ORAL"
"CORENTEL 1,25 mg X 30 COMPRIMIDOS RECUBIERTOS"
"NEULEVAL 500 mg X 10 TABLETAS RECUBIERTAS"
"ILTUX 20 mg X 28 COMPRIMIDOS RECUBIERTOS"
"DIAGESIC 1,8 mg / mL SUSPENSION ORAL"
"LEVOSULPIRIDE 25 mg X 30 TABLETAS"
"AIRFEN 0,05 % SOLUCION NASAL"
"APLACAL 750 mg X 80 TABLETAS MASTICABLES SABOR A MENTA"
"FLUDINAX 0,9 % SOLUCION NASAL"
"VASSLUTEN HCT 150 mg - 12,5 mg TABLETAS"
"FERGANIC 40 mg X 14 CAPSULAS"
"APLACAL 750 mg X 10 TABLETAS MASTICABLES SABOR A BANANA"
"VASPITOR 40 mg X 30 COMPRIMIDOS RECUBIERTOS"
"ZOST 50 mg X 1 COMPRIMIDOS"
"BIPRIN 300 mg X 10 CAPSULAS BLANDAS"
"EZOLIUM 20 mg X 30 CAPSULAS"
"KLAS 100 mg X 20 CAPSULAS"
"DOLAK 10 mg X 10 COMPRIMIDOS"
"EUTEBROL 20 mg X 30 COMPRIMIDOS"
"ALENDRONATO SODICO 70 mg X 4 COMPRIMIDOS"
"LOGANIL 250 mg / 5 mL JARABE"
"PRENIL 3 mg / 1 mL SOLUCIÓN ORAL"
"L - CARNITINA 1 g / 10 mL SOLUCION ORAL"
"ACIDO TRANEXAMICO 500 mg X 10 TABLETAS RECUBIERTAS"
"FERGANIC 40 mg / 15 mL SOLUCION ORAL"
"ZOST 50 mg X 2 COMPRIMIDOS"
"MONTRAX 10 mg X 10 TABLETAS"
"DIAFORMINA 1000 mg X 30 COMPRIMIDOS RECUBIERTOS"
"ANTAAR 1,25 mg X 10 TABLETAS RECUBIERTAS"
"CLENBUTEROL CLORHIDRATO 10 mcg / 5 mL JARABE"
"LIOLACTIL X 20 SOBRES"
"MONOSULPA X 260 SOLUCION NASAL"
"PEREBRON 28 mg / 5 mL JARABE SABOR MIEL - LIMON"
