proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,HIOSCINA/BUTILBROM AMP IV/IM 20MGX5ALESS,22851,7597758000701,5.34,784,BUTILBROMURO DE HIOSCINA 20 mg / ml SOLUCION INYECTABLE,8.9,matched,score=0.727
cobeca,HIOSCINA/IBUPROF TAB 20/400MG X10 VIN,26717,8904187887831,7.77,4036,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE,12.95,matched,score=0.604
cobeca,HIOSCINA/PARACETAM TAB 10MG/325MG X10 HM,52423,0793969044351,3.88,4036,ACETAMINOFEN - HIOSCINA N BUTIL BROMURO 500 mg-10mg TABLETAS RE,6.47,matched,score=0.775
cobeca,HIRUDOID GEL 20G,51445,7751940001291,9.48,1609,HIRUDOID (POLISULFATO DE MUCOPOLISACARIDO) 25.000 UI / 100 g GEL,15.8,matched,score=0.667
cobeca,HIRUDOID GEL 40G COM,9573,7751940001307,13.77,,,,sin_match,score_bajo
cobeca,HIRUDOID PMDA 14G,51444,7751940001314,6.62,,,,sin_match,no farmaco
cobeca,HIRUDOID PMDA 40G COM,6372,7751940001321,13.77,,,,sin_match,score_bajo
cobeca,HISOPOS F&S COTTON A/CYLINDER X100,21236,8693744091186,1.29,,,,sin_match,no farmaco
cobeca,HISOPOS XPERIAN MEDICAL X100,13429,7595803000126,1.89,,,,sin_match,no farmaco
cobeca,"HISTALER JBE PED 0,5MG/ML 60ML VLM",91996,7591020008112,3.51,,,,sin_match,score_bajo
cobeca,HISTALER TAB/REC 5MG X 10,30267,7591020008518,1.7,,,,sin_match,score_bajo
cobeca,HISTIVERT COM 16MG X 30,16043,7891317100063,7.16,5118,HISTIVERT 16 mg COMPRIMIDOS,11.93,matched,score=0.666
cobeca,HISTIVERT COM 24MG X 30,16044,7891317100070,12.61,5119,HISTIVERT 24 mg COMPRIMIDOS,21.02,matched,score=0.666
cobeca,HOJAS D/SEN 5G LYA,25473,7599028000671,1.99,,,,sin_match,no farmaco
cobeca,HOJILLA D/BIST GROSSMED ACERO N11 X 100,30235,7597830003163,8.01,,,,sin_match,no farmaco
cobeca,HOJILLA D/BIST GROSSMED ACERO N20 X 100,30237,7597830003194,8.01,,,,sin_match,no farmaco
cobeca,HOJILLA D/BIST GROSSMED N10 X 100,30234,7597830003255,8.01,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC C/MAN N11X10,52997,7597467002843,25.6,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC C/MAN N12X10,52998,7597467002850,25.6,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC C/MAN N20X10,52999,7597467002867,31.06,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC C/MAN N21X10,53000,7597467002874,25.6,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC C/MAN N24X10,53001,7597467002881,25.6,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC N10 X100,50847,7597467000924,9.16,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC N15 X100,50849,7597467000931,9.16,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC N20 X100,50850,7597467000948,11.12,,,,sin_match,no farmaco
cobeca,HOJILLA D/BISTURI PLUSMEDIC N23 X100,50851,7597467000955,9.16,,,,sin_match,no farmaco
cobeca,HYDRORAL COCO 500ML,51428,7599558000134,4.25,,,,sin_match,no farmaco
