producto_id,sku,nombre_comercial,molecula,forma,laboratorio,costo_usd,precio_usd,score,nombre_farmanselmo,precio_bs,imagen,farmanselmo_id,categoria_slug
38394,ME27541,LOREX 1 mg / mL JARABE,Loratadina,JARABE,"ESPECIALIDADES DOLLDER, C.A.",2.54,4.23,0.703,LOREX LORATADINA JARABE 1MG/ML x60ML DOLLDER (E),"Bs. 1.822,00",https://pccentro.net.ve/img/s/7/5/4/0/7/75407-large_default.webp,260264,farmacia-1/cuidado-del-sistema-respirator
37609,ME39097,BROFLEMA 8 mg / 5 mL SOLUCION ORAL,,SOLUCION ORAL,"BIOTECH LABORATORIOS, C.A.",4.03,6.72,0.700,VALERIANA 10% SOLUCION ORAL EN GOTAS x30 ML SOMA (E),"Bs. 2.974,51",https://pccentro.net.ve/img/s/3/9/4/9/3/39493-large_default.webp,471289,farmacia-1/cuidado-del-sistema-nervioso
38075,ME27405/2,FERGANIC 40 mg X 14 CAPSULAS,,CAPSULAS,MEGALABS S.A.,10.13,16.88,0.699,ESOMEPRAZOL ESOZ CAPSULAS 40MG X14 CAPS PHARMETIQUE (E),"Bs. 7.143,92",https://pccentro.net.ve/img/s/7/5/7/6/4/75764-large_default.webp,476820,farmacia-1/tracto-alimentario-y-metabolis
39413,ME36008,VITAMINA C 50 mg / 5 mL JARABE,Ascorbico Acido,JARABE,"LABORATORIOS VARGAS, S.A.",3.61,6.02,0.695,VITAMINA C (ACIDO ASCORBICO) JARABE 50MG/5ML x120 ML FC PHARMA (E),"Bs. 7.143,92",https://pccentro.net.ve/img/s/7/7/8/3/6/77836-large_default.webp,477346,farmacia-1/tracto-alimentario-y-metabolis
39134,ME36608,CETIRIZINA CLORHIDRATO 10 mg / mL SOLUCION ORAL GOTAS,Cetirizina,SOLUCION ORAL,"LABORATORIOS SPEFAR VENEZOLANOS, S.A.",2.76,4.60,0.694,TALZIC CETIRIZINA GOTAS 10 MG/ML x20 ML ELMOR (E),"Bs. 1.898,27",https://pccentro.net.ve/img/s/9/4/7/7/3/94773-large_default.webp,239640,farmacia-1/cuidado-del-sistema-respirator
39120,ME44634,CAMPAL P 15 mg / mL SUSPENSIÓN ORAL,Diclofenaco,SOLUCION ORAL,LABORATORIOS SIEGFRIED S.A.,7.33,12.22,0.692,OFAFLAN DICLOFENAC POTASICO SUSPENSION EN GOTAS 15MG/ML x30 ML ELMOR (E),"Bs. 1.974,54",https://pccentro.net.ve/img/s/8/0/5/5/6/80556-large_default.webp,528554,farmacia-1/sistema-musculoesqueletico
37466,ME31329/4,ANGRIP X 15 COMPRIMIDOS,,COMPRIMIDOS,MEGALABS S.A.,6.23,10.38,0.690,ANGRIP FORTE ACETAMINOFEN CAFEINA CLORFENIR 650 MG 24 HORAS X15 TAB MEGALABS (E),"Bs. 2.423,68",https://pccentro.net.ve/img/s/7/6/9/9/7/76997-large_default.webp,476178,farmacia-1/sistema-respiratorio
37304,ME44030,ACIDO VALPROICO 250 mg / 5 mL JARABE,Valproato Sodio,JARABE,CAPLIN POINT LABORATORIES LIMITED,12.86,21.43,0.689,ACIDO VALPROICO JARABE 250MG/5ML x180 ML ZIEL PHARMA (E),"Bs. 11.016,72",https://pccentro.net.ve/img/s/7/2/3/7/5/72375-large_default.webp,529192,farmacia-1/cuidado-del-sistema-nervioso
39408,ME998,VITAMINA C 100 mg/5 ml JARABE,Ascorbico Acido,JARABE,MEGALABS S.A.,4.24,7.07,0.681,VITAMINA C (ACIDO ASCORBICO) JARABE 100MG/5ML x120 ML KLINOS (E),"Bs. 3.321,96",https://pccentro.net.ve/img/s/7/7/8/3/5/77835-large_default.webp,476910,farmacia-1/tracto-alimentario-y-metabolis
39242,ME27231,GYNOVIT SOLUCION DUCHA VAGINAL,Acetico Acido,LOCION,"LABORATORIOS VARGAS, S.A.",3.79,6.32,0.681,NOGINOX CREMA VAGINAL 1% (E),"Bs. 4.482,96",https://pccentro.net.ve/img/s/2/5/7/1/7/25717-large_default.webp,474706,farmacia-1/sistema-genitourinario-y-hormo
38250,ME36328,IPORET 40 mg / mL SUSPENSION ORAL GOTAS,Ibuprofeno,SOLUCION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",4.72,7.87,0.678,IPORET IBUPROFENO SUSPENSION ORAL DE USO PEDIATRICO 40MG/ML x30ML OFTALMI (E),"Bs. 3.999,92",https://pccentro.net.ve/img/s/2/3/4/1/6/23416-large_default.webp,528510,farmacia-1/sistema-musculoesqueletico
39582,ME42849,PERMETRINA 5 % LOCION,Permetrina,LOCION,AUROCHEM LABORATORIES (INDIA) PVT. LTD.,4.43,7.38,0.677,LOCION LIMPIADORA CREMA FACIAL GERMEN DE TRIGO X60GR BIOS,"Bs. 7.593,06",https://pccentro.net.ve/img/s/1/9/4/1/9/19419-large_default.webp,240358,cuidado-personal/cuidado-facial
37918,ME35040,"DIAGESIC 1,8 mg / mL SUSPENSION ORAL",,SUSPENSION ORAL,"BIOTECH LABORATORIOS, C.A.",7.38,12.30,0.673,KLINCOSAL SUSPENSIÓN ORAL FRESA (E),"Bs. 5.762,59",https://pccentro.net.ve/img/s/7/5/4/8/3/75483-large_default.webp,706167,farmacia-1/cuidado-gastrointestinal-y-met
39080,ME19620,ATAMEL 100 mg / mL SOLUCION ORAL,Acetaminofen,SOLUCION ORAL,"CALOX INTERNATIONAL, C.A.",3.2,5.33,0.671,ACEVAL ACETAMINOFENO 100MG/1ML SOLUCIÓN PEDIATRICO EN GOTAS x30ML VALMORCA (E),"Bs. 3.194,85",https://pccentro.net.ve/img/s/7/6/9/4/7/76947-large_default.webp,528923,farmacia-1/cuidado-del-sistema-nervioso
