producto_id,sku,nombre_comercial,molecula,forma,laboratorio,costo_usd,precio_usd,score,nombre_farmanselmo,precio_bs,imagen,farmanselmo_id,categoria_slug
39606,,TRAMAL 100 mg / mL SOLUCION ORAL,,,,,1.25,0.793,TRAMAL TRAMADOL GOTAS 100MG/1ML x10 ML GRUNENTHAL CCM (E),"Bs. 24.923,30",https://pccentro.net.ve/img/s/7/4/5/9/5/74595-large_default.webp,475888,farmacia-1/sistema-nervioso-c
39583,ME26303,ULCIRAM 1g/5 mL X 20 SUSPENSION ORAL,,SUSPENSION ORAL,"LABORATORIOS VARGAS, S.A.",7.73,12.88,0.790,ULCRAF SUCRALFATO SUSPENSIÓN ORAL 1GR/5ML x200 ML ZUKATI (E),"Bs. 30.804,61",https://pccentro.net.ve/img/s/7/4/9/4/8/74948-large_default.webp,477275,farmacia-1/tracto-alimentario-y-metabolis
38559,ME44261,NISTATINA 100.000 UI/mL SUSPENSIÓN ,Nistatina,SUSPENSION ORAL,ASPEN BIOPHARMA LABS PVT. LTD.,3.4,5.67,0.789,NISTATINA 100.000UI/ML SUSPENCION (E),"Bs. 5.830,39",https://pccentro.net.ve/img/s/5/5/4/2/9/55429-large_default.webp,530534,farmacia-1/tracto-alimentario-y-metabolis
39020,ME33987,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,Folico Acido,SOLUCION ORAL,"LABORATORIOS LETI, S.A.V.",1.53,2.55,0.788,ACIDO FOLICO GOTAS 10MG/ML x15ML SIEGFRIED (E),"Bs. 5.127,01",https://pccentro.net.ve/img/s/7/5/7/9/6/75796-large_default.webp,473725,farmacia-1/sangre-y-organos-formadores-de
38581,ME43411,PREDNISOLONA ACETATO 1 % SUSPENSION OFTALMICA,,SUSPENSION ORAL,"LABORATORIOS L.O. OFTALMI, C.A.",9.82,16.37,0.784,BIOPRED(PREDNIS- ACETATO)SUS OFTALMICA 1% (E),"Bs. 6.211,74",https://pccentro.net.ve/img/s/5/6/3/5/9/56359-large_default.webp,633923,farmacia-1/organos-de-los-sentidos
39392,ME38822,TERBINAFINA 1 % CREMA,,CREMA,"LABORATORIOS KIMICEG, C.A.",2.87,4.78,0.783,TERBICRYM TERBINAFINA CREMA 1% x20GR VINCENTI AV PHARMA (E),"Bs. 5.601,58",https://pccentro.net.ve/img/s/7/3/6/5/9/73659-large_default.webp,471729,farmacia-1/dermatologicos
38838,ME18855,TAMOA 250 mg / 5 mL X 6 SUSPENSION,,SUSPENSION ORAL,"BIOTECH LABORATORIOS, C.A.",6.91,11.52,0.780,TAMOA PAMOATO DE PIRANTEL 250MG/5ML SUSPENSION ORAL x15 ML BIOTECH (E),"Bs. 3.237,22",https://pccentro.net.ve/img/s/9/5/0/0/7/95007-large_default.webp,526945,farmacia-1/productos-antiparasitarios-in
39577,ME30785,SILVEDERMA 1 % CREMA,,CREMA,LABORATORIO ALDO UNION S.L.,12.4,20.67,0.777,SILVEDERMA SULFADIAZINA PLATA CREMA 1% x50 GR MEDIFARMA (E),"Bs. 8.830,32",https://pccentro.net.ve/img/s/2/4/9/8/0/24980-large_default.webp,525113,farmacia-1/dermatologicos
39335,ME26052,OXOLAMINA 50 mg / 5 mL JARABE,,JARABE,"LABORATORIOS VALMOR, C.A.",3.94,6.57,0.770,OXOLAMINA ANTITUSIGENO JARABE PARA ADULTOS 50 MG/5ML x120 ML VALMORCA (E),"Bs. 3.177,90",https://pccentro.net.ve/img/s/7/5/2/6/3/75263-large_default.webp,241318,farmacia-1/cuidado-del-sistema-respirator
38628,ME8463,OTANOL 50 mg/ml SOLUCION OTICA,,SOLUCION OTICA,"LABORATORIO ETICOS ETIFAR, C.A.",7.61,12.68,0.768,FILINAR SOLUCION ORAL 50MG/5ML (E),"Bs. 8.643,89",https://pccentro.net.ve/img/s/7/4/5/1/7/74517-large_default.webp,476170,farmacia-1/sistema-respiratorio
39595,ME44362,TOPISEPT 2 % CREMA TÓPICA ,Acido Fusidico Hemihidrato,CREMA,LABORATORIOS SIEGFRIED S.A.S.,25.31,42.18,0.767,EPIGENIK-U VITAMINA E+PROVIT B5+UREA+ACIDO HIALURONICO) CREMA TOPICA 10% PIEL EXTRA SECA x180GR FARM,"Bs. 9.245,66",https://pccentro.net.ve/img/s/8/2/8/6/3/82863-large_default.webp,627633,cuidado-personal/cuidado-facial
37893,ME36998,"DESLORATADINA 2,5 mg / 5 mL JARABE",Desloratadina,JARABE,"LABORATORIO LA SANTE, C.A.",6.04,10.07,0.760,HISTALER DESLORATADINA JARABE 5MG/ML x60 ML (E),"Bs. 2.805,03",https://pccentro.net.ve/img/s/8/0/0/8/8/80088-large_default.webp,475922,farmacia-1/sistema-respiratorio
