id_a,nombre_a,id_b,nombre_b,score,motivo,atc_a,atc_b,canon_a,canon_b
3385,Tiamina Hidrocloruro,3386,Tiamina Nitrato,1,canonico_igual,,,tiamina,tiamina
3388,Tianeptina,3389,Tianeptina Sodica,1,canonico_igual,N06AX14,N06AX14,tianeptina,tianeptina
3393,Ticlopidina,3394,Ticlopidina Hidrocloruro,1,canonico_igual,B01AC05,B01AC05,ticlopidina,ticlopidina
3403,Timolol Maleato,4196,Timolol,1,canonico_igual,C07AA06,C07AA06,timolol,timolol
3405,Tinzaparina,3406,Tinzaparina Sodica,1,canonico_igual,B01AB10,B01AB10,tinzaparina,tinzaparina
3412,Tiopental,3413,Tiopental Sodico,1,canonico_igual,N05CA19,N01AF03,tiopental,tiopental
3414,Tiosulfato,3415,Tiosulfato Sodio,1,canonico_igual,V03AB06,V03AB06,tiosulfato,tiosulfato
3417,"Tiotropio, Bromuro De, Monohidrato",3910,Tiotropio Bromuro,1,canonico_igual,N02AA02,N02AA02,tiotropio,tiotropio
3417,"Tiotropio, Bromuro De, Monohidrato",4197,Tiotropio,1,canonico_igual,N02AA02,N02AA02,tiotropio,tiotropio
3910,Tiotropio Bromuro,4197,Tiotropio,1,canonico_igual,N02AA02,N02AA02,tiotropio,tiotropio
3423,Tirofiban,3424,Tirofiban Hidrocloruro,1,canonico_igual,B01AC17,B01AC17,tirofiban,tirofiban
3436,Tivozanib,3437,Tivozanib Hidrocloruro Monohidrato,1,canonico_igual,L01EK03,L01EK03,tivozanib,tivozanib
3440,Tizanidina,3441,Tizanidina Hidrocloruro,1,canonico_igual,M03BX02,M03BX02,tizanidina,tizanidina
3442,Tobramicina,3443,Tobramicina Sulfato,1,canonico_igual,J01GB01,J01GB01,tobramicina,tobramicina
3450,Tofacitinib,3451,Tofacitinib Citrato,1,canonico_igual,L04AA29,L04AA29,tofacitinib,tofacitinib
3454,Tolterodina,3455,Tolterodina Tartrato,1,canonico_igual,G04BD07,G04BD07,tolterodina,tolterodina
3461,Topotecan,3462,Topotecan Hidrocloruro,1,canonico_igual,L01CE01,L01CE01,topotecan,topotecan
3464,Toremifeno Citrato,4151,Toremifeno,1,canonico_igual,L02BA02,L02BA02,toremifeno,toremifeno
3473,Tramadol,3474,Tramadol Hidrocloruro,1,canonico_igual,N02AX02,N02AX02,tramadol,tramadol
