descripcion,costo_usd,ef,pa_drovencentro,score
CEFONAX PVO SUSP ORAL 250MG/5ML 60ML ELM,7.81,E.F.44.040,CEFADROXILO 250MG,0.881
CEFOTAS PVO/SUSP 250MG/5ML X 100ML,8.31,E.F.44.040,CEFADROXILO  250MG5ML,0.857
"CERCIORAT COMP 0,75MG X2 CCM",5.94,E.F.30.697,"LEVONORGESTREL 0,75MG",0.838
CIBRALIP CAP 100MG X30 FC,17.79,E.F.44.550,CIPROFIBRATO 100MG,0.831
CISTAFLUX TAB 100MG X30 ZORIAK,7.88,E.F.38.185,CILOSTAZOL 100MG,0.820
CITIC COMP REC 500MG X30 VARG,20.78,E.F.G.40.067,CITICOLINA 500MG,0.816
CITRATO D/POTA SOL 240ML LYA,4.94,E.F.42.051,CITRATO DE POTASIO 10%,0.817
CLARIX SOL NASAL PED 15ML L.O,9.15,E.F.43.679,OXIMETAZOLINA,0.807
CLARIX SOL OFT 15ML L.O,4.89,E.F.18.142,OXIMETAZOLINA,0.772
CLASOL SOL ORAL 15MG/5ML 120ML ANG/H,2.86,E.F.44.393,DEXTROMETORFANO BROMHIDRATO 15MG,0.848
CLEANMED GEL TOP 1% 15G FMED,1.99,E.F.G.42.403,CLINDAMICINA 1%,0.867
CLINDAMICINA FOSFAT GEL TOP 1% 15G CR MT,8.29,E.F.G.42.403,CLINDAMICINA,0.859
CLINDAMICINA GEL TOP 1% 15G CR ZUK,18.45,E.F.G.42.403,CLINDAMICINA,0.871
"CLOBESKIN CREM TOP 0,05% 30G TIAR",4.81,E.F.G.44.198,CLOBETASOL  0.05%,0.873
"CLORTIDEN TAB 12,5MG X30 ZORIAK",3.54,E.F.43.843,"CLORTALIDONA 12,5MG  30TAB",0.858
CLORURO D/MAGNE SOL COCO 240ML RECETT,4.48,E.F.34.036,CLORURO DE MAGNESIO,0.799
CLORURO D/MAGNE SOL FRAMB 240ML RECETT,4.48,E.F.34.036,CLORURO DE MAGNESIO,0.786
CLORURO D/MAGNE SOL LIMON 240ML RECETT,4.48,E.F.34.036,CLORURO DE MAGNESIO,0.795
CLORURO D/MAGNE SOL NAR 240ML RECETT,4.48,E.F.34.036,CLORURO DE MAGNESIO,0.799
CLORURO D/MAGNE SOL PARCHI 240ML RECETT,4.48,E.F.34.036,CLORURO DE MAGNESIO,0.799
CLORURO D/MAGNES JBE 240ML ARC IRIS,7.79,E.F.34.036,CLORURO DE MAGNESIO,0.801
CLOTRIMAZOL CREM 1% 20G PORTU,2.18,E.F.G.36.125,CLOTRIMAZOL 1%,0.899
CLOTRIMAZOL CREM TOP 1% 20G ALESS,2.63,E.F.G.36.125,CLOTRIMAZOL 1%,0.878
CLOTRIMAZOL CREM VAG 2% 20G LETI,7.81,E.F.G.35.192,CLOTRIMAZOL 1%,0.892
CLOTRIMAZOL CREM VAG 2% X 30G TIAR,4.69,E.F.G.35.192,CLOTRIMAZOL 1%,0.857
CLOTRIMAZOL/NEOMIC/DEXAM CREM 20G PHARME,6.50,E.F.G.36.125,CLOTRIMAZOL 1%,0.870
COMENTER COM/REC 30MG X 30,9.41,E.F.32.823,MIRTAZAPINA 30MG,0.857
CORATAB TAB REC 81MG FRASCO X100 COFA,5.94,E.F.31.523,ACIDO ACETILSALICÍLICO 81MG,0.808
"CROMUS UNG DERMICO 0,1% 15G VIV",43.04,E.F.36.834,TACROLIMUS 0.1%,0.865
CUTICLIN CAP BLD 10MG X30 VIV,26.96,E.F.G.37.545,ISOTRETINOINA 10MG,0.801
CYNT COMP REC 20MG X20 DLR,3.45,E.F.33.257,SIMVASTATINA 20MG 20COMP,0.845
CYNT COMP REC 40MG X10 DLR,3.45,E.F.33.255,SIMVASTATINA 40MG 10COMP,0.828
DACMINA PLUS TAB REC 450MG/50MG X30 DAC,10.42,E.F.G.36.420,DIOSMINA 450MG HESPERIDINA 50MG,0.816
DAPAXIT TAB 10MG X30 ZORIAK,19.19,E.F.44.385,DAPAGLIFOZINA 10MG  30TAB,0.798
DAVINTEX COMP REC 60MG X10 MEG,5.06,E.F.43.822,ETORICOXIB 60MG,0.857
DAYFLU CAP BLD 500MG/10MG/2MG DIAX10 VIV,5.78,E.F.37.218,ACETAMINOFEN CLORFENIRAMINA CAFEINA,0.847
DAYFLU CAP BLD 500MG/2MG NOCH X10 VIV,5.26,E.F.37.218,ACETAMINOFEN CLORFENIRAMINA CAFEINA,0.816
DENAF TAB REC 50MG X1 L.O,1.03,E.F.G.43.690,SILDENAFIL 50MG,0.799
DENAF TAB REC 50MG X2 L.O,1.93,E.F.G.43.690,SILDENAFIL 50MG,0.799
DENCOFEN GEL 1% 40G PONCE,5.09,E.F.G.37.301,DICLOFENAC SODICO,0.870
DENCORUB CREM 40G PONCE,4.29,E.F.4.931,ALCANFOR +EUCALIPTO+MENTOL+SALICILATO DE METILO,0.756
