descripcion,costo_usd,ef,pa_drovencentro,score
PREGATAN TAB 75MG X30 ZORIAK,7.88,E.F.44.199,PREGABALINA 75MG  30TAB,0.813
PROFLOX SUSP PED1G/5ML MENTA 200ML ANG/H,16.14,E.F.43.545,SUCRALFATO,0.827
PROVUNI TAB 10MG X28 UNIPH,3.71,E.F.G.43.537,ACETATO DE MEDROXIPROGESTERONA 10MG,0.805
PULMOLIX PVO 600MG NAR SOB X10 MMF,20.97,E.F.44.057,N-ACETILCISTEINA 600MG,0.828
RANIFLUX COMP REC 150MG X10 ALESS,2.94,E.F.G.40.781,RANITIDINA 150MG,0.818
RESECAL PVO 10MG SOB X10 DISK,15.74,E.F.44.237,RACECADOTRILO 10MG,0.855
RIFENDI COMP REC 200MG X10 ZUOZ,12.96,E.F.39.775,RIFAXIMINA 200MG,0.809
RIFENDI COMP REC 550MG X10 ZUOZ,32.42,E.F.42.149,RIFAXIMINA 550MG,0.809
RINGER LACTATO SOL #19 500ML BHR,4.79,E.F.G.32.579,RINGER LACTATO 500ML,0.834
RINGER LACTATO SOL 500ML ZUZU,2.41,E.F.G.32.579,RINGER LACTATO 500ML,0.859
RINGER LACTATO SOL INF 500ML BLUE/M,1.99,E.F.G.32.579,RINGER LACTATO 500ML,0.839
RIVAREX COMP REC 10MG  X30 DLR,10.93,E.F.43.643,RIVAROXABAN 10MG,0.831
RONIPRAZOL SOB 10G X10 RNV,13.91,E.F.38.530,ESOMEPRAZOL,0.849
RONIPRAZOL TAB 40MG X14 RNV,6.47,E.F.G.35.847,ESOMEPRAZOL 40MG,0.826
ROSUVASTATINA TAB REC 20MG X30 PHARMA,6.92,E.F.G.42.632,ROSUVASTATINA 20MG,0.833
SACUMIC COMP REC 50MG X30 MEG,25.97,E.F.44.529,SACUBITRILO+ VALSARTAN 50MG,0.857
SAL D/EPSOM SOB 20G BIOF,1.35,E.F.G.37.696,SULFATO DE MAGNESIO,0.787
SAL D/HIGUERA SOB 20G BIOF,1.35,E.F.G.37.696,SULFATO DE MAGNESIO,0.793
"SALES D/REHIDRAT SOB 20,5G X10 KMP",10.41,E.F.G.42.230,GLUCOSA CLORURO DE SODIO,0.802
"SALINAX SOL NASAL 0,9% 50ML CLX",6.90,E.F.42.256,"CLORURO DE SODIO 0,9%",0.889
SIGTIPHIN COMP REC 200MG X10 MEY,8.78,E.F.G.40.011,FLAVOXATO  200MG,0.801
SIGTIPHIN COMP REC 200MG X20 MEY,15.99,E.F.G.40.011,FLAVOXATO  200MG,0.801
SILVEDERMA CREM 1% X 50G,12.40,E.F.30.785,SULFADIAZINA DE PLATA 1%,0.868
SILVEDERMA CREM TOPICA 500G MDF,47.35,E.F.30.785,SULFADIAZINA DE PLATA 1%,0.824
SIMETICONA SALUDX CAP 125MG X 10 RJR,3.49,E.F.38.633,SIMETICONA 125MG 10CAP BLANDA,0.742
SIMULTAN COMP REC 50MG/850MG X30 DLR,17.71,E.F.43.590,SITAGLIPTINA 50MG + METFORMINA CLORHIDRATO 500MG,0.846
SINALER M TAB REC 5MG/10MG X30 ALESS,7.58,E.F.39.603,DESLORATADINA 5MG,0.853
SINALER TAB 5MG X10 ALESS,1.18,E.F.39.603,DESLORATADINA 5MG,0.858
SINMEGAS CAP BLD 125MG X20 SIEG,7.91,E.F.43.556,SIMETICONA 125MG 10CAPS,0.862
SINMEGAS CAP BLD 125MG X30 SIEG,11.64,E.F.43.556,SIMETICONA 125MG 10CAPS,0.845
SINUX TAB/REC 5MG/60MG X 10,5.70,E.F.35.116,LORATADINA 5MG PSEUDOEFEDRINA 60MG,0.811
SITOMET TAB 50MG/500MG X10 CAPSUV,9.19,E.F.44.749,SITAGLIPTINA 50MG  METFORMINA 500MG 10TAB,0.838
SOMERGAN LOC TOP 60ML INTERCOS,4.43,E.F.G.42.849,PERMETRINA 5%,0.776
SUCORIL TAB USP 1G X20 MEDV,7.73,E.F.26.303,SUCRALFATO 1G,0.811
SULTAMICILINA SUSP 250MG/5/100ML CRDIST,18.30,E.F.G.30.367,SULTAMICILINA  250MG,0.878
SYNARTRON TAB REC 60MG X10 FC,5.06,E.F.43.518,ETORICOXIB 60MG,0.823
TADAFOX TAB/REC 5MG X 15,4.09,E.F.44.180,TADALAFILO 5MG,0.826
TALERC SOL GTS 10MG/ML 15ML DLR,2.19,E.F.33.286,CETIRIZINA 10MG 10COMP,0.859
TALFIDEX TAB REC 20MG X2 PLX,1.71,E.F.43.947,TADALAFILO 20MG,0.820
TALYSTOR TAB MAST 20MG X1 PHARME,1.57,E.F.43.499,TADALAFILO 20MG,0.822
"TAMDURIDE CAP 0,4/0,5MG X30 ZORIAK",17.69,E.F.44.389,TAMSULOSINA DUTASTERIDE 0.4MG/5MG,0.888
"TAMSUPROS CAP 0,4MG X30 ZORIAK",14.24,E.F.G.42.589,"TAMSULOSINA 0,4MG  30TAB",0.864
"TANTUM VERDE PAST DENT 0,5% X 60G",5.74,E.F.41.676,"BENCIDAMINA 0,5% 60GR",0.824
TAXUS COMP 20MG X30 ADIUM,13.54,E.F.26.140,TAMOXIFENO 20MG,0.844
TENSOMED SUSP ORAL 20MG/ML 10ML PHAR,7.55,E.F.24.973,NIFEDIPINA  20MG,0.877
TERBICRYM LOC 1% 30ML AV,7.79,E.F.34.224,TERBINAFINA 1%,0.839
TERBIFEET CREM TOP 1% 20G TIAR,2.92,E.F.34.224,TERBINAFINA  1%,0.840
TIROXIN TAB 100MG X50 MEY,17.17,E.F.G.42.576,LEVOTIROXINA 100MCG  50TAB,0.833
TODEX SUSP OFT 5ML L.O,9.18,E.F.43.940,TOBRAMICINA + DEXAMETASONA,0.787
"TOMYCIN SOL OFT 0,3% 5ML CAPSUV",4.83,E.F.43.863,"TOBRAMICINA 0,3% 5ML",0.870
TOPISEPT CREM 2% 15G MEY,25.31,E.F.44.362,ACIDO FUSIDICO,0.880
TRANGOLATT TAB/REC 200MG X 10,5.19,E.F.25.910,AMIODARONA 200MG 10TAB,0.788
TRILEPTAMEDC SUSP 6% 300MG/5ML 100ML IPS,12.34,E.F.G.43.862,OXCARBAZEPINA 300MG/5ML,0.787
TRUSOMIDA SOL OFT 2% 5ML DIEMA,12.45,E.F.44.676,DORZOLAMIDA 2%,0.853
UDOX CAP 75MG X10 DLR,8.46,E.F.39.978,DICLOFENAC COLESTIRAMINA 75MG 10CAPS,0.827
VALPROTAN TAB REC 500MG X30 ZORIAK,13.13,E.F.23.174,ACIDO VALPROICO 500MG,0.818
VALTAN TAB 160MG X30 ZORIAK,10.46,E.F.G.44.208,VALSARTAN 160MG  30TAB,0.842
VARIFLON TAB 450MG/50MG X30 TIAR,11.57,E.F.44.209,DIOSMINA 450MG + HESPERIDINA 50MG,0.831
VAXIDUO OVU 100MG/400MG X7 CLX,10.84,E.F.42.255,CLINDAMICINA 100MG KETOCONAZOL 400MG,0.850
"VERALEN GEL 1,16% 50G COFA",6.72,E.F.43.973,"DICLOFENAC DIETILAMONIO 1,16%",0.887
VICZIN TAB MAST 500MG/15MG X30 FC,10.64,E.F.43.669,ACIDO ASCORBICO+SULFATO DE ZINC,0.846
VITADYN C TAB EFERV GRAPEFRUIT X10 L.O,13.29,E.F.G.42.932,VITAMINA C + ZINC,0.813
VITADYN C TAB MAST FRUTAS TROP 10X10 L.O,14.86,E.F.G.42.932,VITAMINA C + ZINC,0.823
VIZERUL COMP REC 300MG X10 DLR,10.21,E.F.24.761,RANITIDINA 300MG 10COMP,0.829
XANEXTRA COM 500MG X 21,12.00,E.F.41.121,ACIDO TRANEXANICO 500MG,0.787
ZANAX CREM VAG 2% 20G BLUE/M,4.09,E.F.35.193,CLOTRIMAZOL 2% 20GR,0.841
ZIFAR CAP BLD 50MG X30 BIOFAR,5.45,E.F.42.702,GLUCONATO DE ZINC 50MG,0.799
ZOCLONAX TAB/REC 7.5MG X 10 LA SANTE,6.84,E.F.43.206,"ZOPICLONA 7,5MG 10TAB",0.831
