producto_id,nombre_comercial,foto_url,score,desc_cobeca
37501,"ASARAP 20 mg X 30 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/50067.jpg",0.706,"ASARAP COMP/REC 20 MG X 30"
37656,"CANDESARTAN CILEXETILO 16 mg X 10 COMPRIMIDOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/53047.jpg",0.917,"CANDESARTAN CILEXTILO COMP 16MG X10 LETI"
38046,"ESPIRONOLACTONA 25 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/51325.jpg",0.913,"ESPIRONOLACTONA TAB 25MG X30 SIEG"
37606,"BRESIS 600 mg X 20 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/54187.jpg",0.729,"BRESIS COMP REC 600MG X20 MEG"
37876,"DENCOFEN 1,16 % CREMA EN BASE GEL","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/90093.jpg",1.000,"DENCOFEN CREM-GEL X20GR"
38548,"NEURIXA 75 mg X 14 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/93668.jpg",0.718,"NEURIXA CAP 75MG X14 FAR"
38882,"TONUM 10 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/95057.jpg",0.669,"TONUM TAB 10MG X30 BIOTECH"
37829,"COLFENE 600 mg - 4 mg X 15 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97446.jpg",0.781,"COLFENE COMP REC 600MG/4MG X15 ELM"
38146,"GABAPANTINA 300 mg X 20 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/97483.jpg",0.915,"GABAPENTINA CAP 300MG X20 CLX"
38594,"OLMESARTAN MEDOXOMILO 40 mg X 30 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99045.jpg",0.928,"OLMESARTAN MEDOXOMIL COMP/REC 40MG X 30"
38095,"FITEX 20 mg X 1 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99114.jpg",0.671,"FITEX TAB 20MG X1 FAR"
