ef,mol_inhrr,mol_cima,score
E.F.19.288,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.328,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.19.328,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.19.329,LIDOCAINA,Lidocaina,1.0
E.F.19.329,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.19.402,MENTOL,Mentol,1.0
E.F.19.402,ALCANFOR,Alcanfor,1.0
E.F.19.402,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.19.620,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.621,ACETAMINOFEN,Acetaminofen,1.0
E.F.19.679,CLOTRIMAZOL,Clotrimazol,1.0
E.F.19.736,BROMHEXINA,Bromhexina,1.0
E.F.19.901,AMOXICILINA,Amoxicilina,1.0
E.F.19.994,IBUPROFENO,Ibuprofeno,1.0
E.F.2.858,ALCANFOR,Alcanfor,1.0
E.F.2.858,MENTOL,Mentol,1.0
E.F.2.955,TIAMAZOL,Tiamazol,1.0
E.F.20.148,CLOTRIMAZOL,Clotrimazol,1.0
E.F.20.149,CLOTRIMAZOL,Clotrimazol,1.0
E.F.20.200,BETAMETASONA,Betametasona,1.0
E.F.20.246,CLOXACILINA,Cloxacilina,1.0
E.F.20.381,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.20.381,CLORHIDRATO DE PIRIDOXINA,Piridoxina,1.0
E.F.20.381,NICOTINAMIDA,Nicotinamida,1.0
E.F.20.436,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.20.436,ALCANFOR,Alcanfor,1.0
E.F.20.734,GENTAMICINA,Gentamicina,1.0
E.F.20.787,CARBAMAZEPINA,Carbamazepina,1.0
E.F.20.834,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.20.886,FUROSEMIDA,Furosemida,1.0
E.F.21.008,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.21.014,BETAMETASONA,Betametasona,1.0
E.F.21.021,DOBESILATO DE CALCIO,Dobesilato De Calcio,1.0
E.F.21.081,HIDROCORTISONA,Hidrocortisona,1.0
E.F.21.233,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.21.267,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.21.271,ACIDO SALICILICO,Salicilico Acido,1.0
E.F.21.310,PROPRANOLOL,Propranolol,1.0
E.F.21.383,ESPIRONOLACTONA,Espironolactona,1.0
E.F.21.386,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.21.495,LACTULOSA,Lactulosa,1.0
E.F.21.687,MEBENDAZOL,Mebendazol,1.0
E.F.21.722,IBUPROFENO,Ibuprofeno,1.0
E.F.21.800,CLOTRIMAZOL,Clotrimazol,1.0
E.F.21.818,ACETAMINOFEN,Acetaminofen,1.0
E.F.21.824,AMOXICILINA,Amoxicilina,1.0
E.F.21.864,CLINDAMICINA,Clindamicina,1.0
E.F.21.985,ACIDO FOLICO,Folico Acido,1.0
E.F.21.985,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.22.089,AMOXICILINA,Amoxicilina,1.0
E.F.22.127,IFOSFAMIDA,Ifosfamida,1.0
E.F.22.138,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.22.142,LOPERAMIDA,Loperamida,1.0
E.F.22.165,MEBENDAZOL,Mebendazol,1.0
E.F.22.186,ACIDO ACETICO,Acetico Acido,1.0
E.F.22.218,SIMETICONA,Simeticona,1.0
E.F.22.276,PIRACETAM,Piracetam,1.0
E.F.22.332,ACETAMINOFEN,Acetaminofen,1.0
E.F.22.370,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.22.437,CEFACLOR,Cefaclor,1.0
E.F.22.449,KETOPROFENO,Ketoprofeno,1.0
E.F.22.494,CAFEINA,Cafeina,1.0
E.F.22.494,ACETAMINOFEN,Acetaminofen,1.0
E.F.22.572,TRAZODONA,Trazodona,1.0
E.F.22.582,BUMETANIDA,Bumetanida,1.0
E.F.22.600,PIRACETAM,Piracetam,1.0
E.F.22.699,TRAZODONA,Trazodona,1.0
E.F.22.761,ATENOLOL,Atenolol,1.0
E.F.22.780,KETOTIFENO FUMARATO,Ketotifeno,1.0
E.F.22.878,ACETAMINOFEN,Acetaminofen,1.0
E.F.22.931,CLOTRIMAZOL,Clotrimazol,1.0
E.F.22.956,CLONIDINA,Clonidina,1.0
E.F.22.980,TEOFILINA,Teofilina,1.0
E.F.23.001,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.23.088,VITAMINA D3,Vitamina D3,1.0
E.F.23.115,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.23.116,CLOTRIMAZOL,Clotrimazol,1.0
E.F.23.141,DIPIRONA,Dipirona,1.0
E.F.23.146,FUROSEMIDA,Furosemida,1.0
E.F.23.149,CICLOSPORINA,Ciclosporina,1.0
E.F.23.174,ACIDO VALPROICO,Valproico Acido,1.0
E.F.23.257,TAMOXIFENO,Tamoxifeno,1.0
E.F.23.271,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.23.370,CLONIDINA,Clonidina,1.0
E.F.23.401,ACIDO VALPROICO,Valproico Acido,1.0
E.F.23.451,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.23.470,ATENOLOL,Atenolol,1.0
E.F.23.476,IOPAMIDOL,Iopamidol,1.0
E.F.23.477,IOPAMIDOL,Iopamidol,1.0
E.F.23.484,ATENOLOL,Atenolol,1.0
E.F.23.484,CLORTALIDONA,Clortalidona,1.0
E.F.23.522,CODEINA,Codeina,1.0
E.F.23.522,ACETAMINOFEN,Acetaminofen,1.0
E.F.23.524,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.23.550,TEOFILINA,Teofilina,1.0
E.F.23.563,AMIODARONA CLORHIDRATO,Amiodarona,1.0
E.F.23.582,TIMOLOL MALEATO,Timolol,1.0
E.F.23.583,TIMOLOL MALEATO,Timolol,1.0
E.F.23.662,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.23.662,POLIMIXINA B,Polimixina B,1.0
E.F.23.663,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.23.690,HIDROXIPROPILMETILCELULOSA,Hidroxipropilmetilcelulosa,1.0
E.F.23.691,TEOFILINA,Teofilina,1.0
E.F.23.718,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.23.768,ATENOLOL,Atenolol,1.0
E.F.23.799,PARACETAMOL,Paracetamol,1.0
E.F.23.819,ACETAMINOFEN,Acetaminofen,1.0
E.F.23.881,TRAMADOL CLORHIDRATO,Tramadol,1.0
E.F.23.882,TRAMADOL CLORHIDRATO,Tramadol,1.0
E.F.23.884,TRAMADOL CLORHIDRATO,Tramadol,1.0
E.F.23.885,TRAMADOL CLORHIDRATO,Tramadol,1.0
E.F.23.980,TEOFILINA,Teofilina,1.0
E.F.23.986,ACETAMINOFEN,Acetaminofen,1.0
E.F.23.986,CAFEINA,Cafeina,1.0
E.F.24.000,SULFAMETOXAZOL,Sulfametoxazol,1.0
E.F.24.003,ACETAMINOFEN,Acetaminofen,1.0
E.F.24.017,BENSERAZIDA,Benserazida,1.0
E.F.24.017,LEVODOPA,Levodopa,1.0
E.F.24.066,RANITIDINA,Ranitidina,1.0
E.F.24.110,AMBROXOL,Ambroxol,1.0
E.F.24.111,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.24.196,ATENOLOL,Atenolol,1.0
E.F.24.209,ACICLOVIR,Aciclovir,1.0
E.F.24.210,ACICLOVIR,Aciclovir,1.0
E.F.24.240,ACICLOVIR,Aciclovir,1.0
E.F.24.278,NIMODIPINO,Nimodipino,1.0
E.F.24.286,DOBESILATO DE CALCIO,Dobesilato De Calcio,1.0
E.F.24.355,TINIDAZOL,Tinidazol,1.0
E.F.24.365,IOHEXOL,Iohexol,1.0
E.F.24.373,CLOTRIMAZOL,Clotrimazol,1.0
E.F.24.374,CLOTRIMAZOL,Clotrimazol,1.0
E.F.24.375,BROMURO DE IPRATROPIO,Bromuro De Ipratropio Monohidratado,1.0
E.F.24.420,METAMIZOL SODICO,Metamizol,1.0
E.F.24.454,DICLOFENAC SODICO,Diclofenaco,0.909
E.F.24.511,ALCANFOR,Alcanfor,1.0
E.F.24.511,MENTOL,Mentol,1.0
E.F.24.511,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.24.519,CINNARIZINA,Cinnarizina,1.0
E.F.24.520,CINNARIZINA,Cinnarizina,1.0
E.F.24.522,DICLOFENAC SODICO,Diclofenaco,0.909
E.F.24.554,ENALAPRIL,Enalapril,1.0
E.F.24.576,MINOXIDIL,Minoxidil,1.0
E.F.24.581,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.24.590,ATENOLOL,Atenolol,1.0
E.F.24.592,WARFARINA,Warfarina,1.0
E.F.24.594,MINOXIDIL,Minoxidil,1.0
E.F.24.616,BUMETANIDA,Bumetanida,1.0
E.F.24.653,ENALAPRIL,Enalapril,1.0
E.F.24.654,ENALAPRIL,Enalapril,1.0
E.F.24.679,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.24.699,NIFEDIPINA,Nifedipino,0.9
E.F.24.704,ACETAMINOFEN,Acetaminofen,1.0
E.F.24.715,ETINILESTRADIOL,Etinilestradiol,1.0
E.F.24.736,ACETAMINOFEN,Acetaminofen,1.0
