ef,mol_inhrr,mol_cima,score
E.F.37.615,MEROPENEM,Meropenem,1.0
E.F.37.620,SIMVASTATINA,Simvastatina,1.0
E.F.37.620,EZETIMIBA,Ezetimiba,1.0
E.F.37.625,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.37.625,IBUPROFENO,Ibuprofeno,1.0
E.F.37.626,METOPROLOL,Metoprolol,1.0
E.F.37.627,METOPROLOL,Metoprolol,1.0
E.F.37.628,METOPROLOL,Metoprolol,1.0
E.F.37.648,BETAHISTINA CLORHIDRATO,Betahistina,1.0
E.F.37.661,LETROZOL,Letrozol,1.0
E.F.37.663,VALSARTAN,Valsartan,1.0
E.F.37.668,BETAHISTINA CLORHIDRATO,Betahistina,1.0
E.F.37.676,MOMETASONA,Mometasona,1.0
E.F.37.680,SECNIDAZOL,Secnidazol Anhidro,1.0
E.F.37.684,METFORMINA,Metformina,1.0
E.F.37.684,GLIMEPIRIDA,Glimepirida,1.0
E.F.37.702,RIVAROXABAN,Rivaroxaban,1.0
E.F.37.708,SELENIO,Selenio,1.0
E.F.37.708,VITAMINA E,Vitamina A,1.0
E.F.37.709,SELENIO,Selenio,1.0
E.F.37.709,VITAMINA E,Vitamina A,1.0
E.F.37.715,GLIMEPIRIDA,Glimepirida,1.0
E.F.37.736,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.37.743,METFORMINA,Metformina,1.0
E.F.37.743,VILDAGLIPTINA,Vildagliptina,1.0
E.F.37.744,METFORMINA,Metformina,1.0
E.F.37.744,VILDAGLIPTINA,Vildagliptina,1.0
E.F.37.745,METFORMINA,Metformina,1.0
E.F.37.745,VILDAGLIPTINA,Vildagliptina,1.0
E.F.37.753,KETOPROFENO,Ketoprofeno,1.0
E.F.37.755,LIDOCAINA,Lidocaina,1.0
E.F.37.757,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.37.757,MOXIFLOXACINO CLORHIDRATO,Moxifloxacino,1.0
E.F.37.761,ORLISTAT,Orlistat,1.0
E.F.37.773,ADAPALENO,Adapaleno,1.0
E.F.37.778,HIDROQUINONA,Hidroquinona,1.0
E.F.37.783,CISPLATINO,Cisplatino,1.0
E.F.37.787,METILERGOMETRINA,Metilergometrina,1.0
E.F.37.819,MESNA,Mesna,1.0
E.F.37.829,KETOCONAZOL,Ketoconazol,1.0
E.F.37.831,RIFAXIMINA,Rifaximina,1.0
E.F.37.843,TIMOLOL MALEATO,Timolol,1.0
E.F.37.843,BRINZOLAMIDA,Brinzolamida,1.0
E.F.37.859,BIVALIRUDINA,Bivalirudina,1.0
E.F.37.867,ORLISTAT,Orlistat,1.0
E.F.37.870,PREGABALINA,Pregabalina,1.0
E.F.37.871,PREGABALINA,Pregabalina,1.0
E.F.37.872,PREGABALINA,Pregabalina,1.0
E.F.37.882,METILPREDNISOLONA,Metilprednisolona,1.0
E.F.37.883,LEVOFLOXACINA,Levofloxacino,0.923
E.F.37.887,HESPERIDINA,Hesperidina,1.0
E.F.37.887,DIOSMINA,Diosmina,1.0
E.F.37.890,ACICLOVIR,Aciclovir,1.0
E.F.37.893,HIDROXIDO DE MAGNESIO,Magnesio Hidroxido,1.0
E.F.37.893,HIDROXIDO DE ALUMINIO,Aluminio Hidroxido,1.0
E.F.37.895,EVEROLIMUS,Everolimus,1.0
E.F.37.896,NEBIVOLOL CLORHIDRATO,Nebivolol,1.0
E.F.37.903,BUDESONIDA,Budesonida,1.0
E.F.37.906,PREGABALINA,Pregabalina,1.0
E.F.37.909,VALSARTAN,Valsartan,1.0
E.F.37.914,LOSARTAN POTASICO,Losartan,1.0
E.F.37.916,BROMURO DE VECURONIO,Rocuronio Bromuro,0.889
E.F.37.926,MESALAZINA,Mesalazina,1.0
E.F.37.927,MESALAZINA,Mesalazina,1.0
E.F.37.932,VANCOMICINA,Vancomicina,1.0
E.F.37.942,FEXOFENADINA CLORHIDRATO,Fexofenadina,1.0
E.F.37.948,ACICLOVIR,Aciclovir,1.0
E.F.37.950,GUAIFENESINA,Guaifenesina,1.0
E.F.37.961,POLIETILENGLICOL 400,Polietilenglicol 4000,0.875
E.F.37.975,RIVASTIGMINA,Rivastigmina,1.0
E.F.37.978,LEVETIRACETAM,Levetiracetam,1.0
E.F.37.979,LEVETIRACETAM,Levetiracetam,1.0
E.F.37.980,LEVETIRACETAM,Levetiracetam,1.0
E.F.37.982,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.37.982,TELMISARTAN,Telmisartan,1.0
E.F.37.985,ATORVASTATINA,Atorvastatina,1.0
E.F.37.985,AMLODIPINA,Amlodipino,0.9
E.F.38.019,BUDESONIDA,Budesonida,1.0
E.F.38.036,CLAVULANATO DE POTASIO,Clavulanato Potasio,1.0
E.F.38.036,AMOXICILINA TRIHIDRATO,Amoxicilina,1.0
E.F.38.047,DOXORUBICINA CLORHIDRATO,Doxorubicina,1.0
E.F.38.052,PEROXIDO DE BENZOILO,Benzoilo Peroxido,1.0
E.F.38.052,ADAPALENO,Adapaleno,1.0
E.F.38.053,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.38.069,PROGESTERONA,Progesterona,1.0
E.F.38.114,CLIOQUINOL,Clioquinol,1.0
E.F.38.140,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.38.141,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.38.143,IVERMECTINA,Ivermectina,1.0
E.F.38.151,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.152,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.156,BUDESONIDA,Budesonida,1.0
E.F.38.181,LEVONORGESTREL,Levonorgestrel,1.0
E.F.38.184,CILOSTAZOL,Cilostazol,1.0
E.F.38.185,CILOSTAZOL,Cilostazol,1.0
E.F.38.201,MOMETASONA FUROATO,Mometasona Furoato,1.0
E.F.38.235,ESOMEPRAZOL MAGNESIO TRIHIDRATO,Esomeprazol Magnesio Trihidrato,1.0
E.F.38.240,SIMETICONA,Simeticona,1.0
E.F.38.242,ETINILESTRADIOL,Etinilestradiol,1.0
E.F.38.244,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.38.245,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.38.270,VALSARTAN,Valsartan,1.0
E.F.38.284,CILASTATINA SODICA,Cilastatina,1.0
E.F.38.291,ATORVASTATINA,Atorvastatina,1.0
E.F.38.307,CAFEINA,Cafeina,1.0
E.F.38.307,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.312,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.312,CANDESARTAN CILEXETILO,Candesartan Cilexetilo,1.0
E.F.38.315,METRONIDAZOL,Metronidazol,1.0
E.F.38.329,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.329,LOSARTAN POTASICO,Losartan,1.0
E.F.38.332,CETIRIZINA,Cetirizina,1.0
E.F.38.333,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.337,ACIDO SALICILICO,Salicilico Acido,1.0
E.F.38.337,MOMETASONA FUROATO,Mometasona Furoato,1.0
E.F.38.360,DICLOFENAC SODICO,Diclofenaco,0.909
E.F.38.361,PREGABALINA,Pregabalina,1.0
E.F.38.369,MEMANTINA,Memantina,1.0
E.F.38.382,DIOSMINA,Diosmina,1.0
E.F.38.394,CILASTATINA,Cilastatina,1.0
E.F.38.394,IMIPENEM,Imipenem,1.0
E.F.38.421,PREGABALINA,Pregabalina,1.0
E.F.38.422,PREGABALINA,Pregabalina,1.0
E.F.38.426,GLIMEPIRIDA,Glimepirida,1.0
E.F.38.466,VALSARTAN,Valsartan,1.0
E.F.38.471,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.483,DESLORATADINA,Desloratadina,1.0
E.F.38.497,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.38.501,PREGABALINA,Pregabalina,1.0
E.F.38.503,PREGABALINA,Pregabalina,1.0
E.F.38.530,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.38.543,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.38.580,RISEDRONATO SODICO,Risedronato Sodio,1.0
E.F.38.604,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.610,CLORHIDRATO DE AMBROXOL,Ambroxol,1.0
E.F.38.628,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.38.633,SIMETICONA,Simeticona,1.0
E.F.38.634,TADALAFILO,Tadalafilo,1.0
E.F.38.637,TADALAFILO,Tadalafilo,1.0
E.F.38.648,MEDROXIPROGESTERONA,Medroxiprogesterona,1.0
E.F.38.655,LOSARTAN POTASICO,Losartan,1.0
E.F.38.665,ACIDO ACETICO,Acetico Acido,1.0
E.F.38.680,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.38.685,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.38.685,IBUPROFENO,Ibuprofeno,1.0
E.F.38.718,TADALAFILO,Tadalafilo,1.0
E.F.38.754,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.38.754,CANDESARTAN CILEXETILO,Candesartan Cilexetilo,1.0
E.F.38.759,BUDESONIDA,Budesonida,1.0
E.F.38.761,GLIMEPIRIDA,Glimepirida,1.0
E.F.38.763,GLIMEPIRIDA,Glimepirida,1.0
E.F.38.781,LEVONORGESTREL,Levonorgestrel,1.0
E.F.38.784,ACIDO IBANDRONICO,Acido Ibandronico Sodio Monohidrato,1.0
E.F.38.785,SIMVASTATINA,Simvastatina,1.0
E.F.38.785,EZETIMIBA,Ezetimiba,1.0
E.F.38.810,TACROLIMUS,Tacrolimus,1.0
E.F.38.811,TACROLIMUS,Tacrolimus,1.0
E.F.38.820,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.849,SERTRALINA,Sertralina,1.0
E.F.38.854,AZITROMICINA DIHIDRATO,Azitromicina,1.0
E.F.38.867,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.38.877,LEVOCARNITINA,Levocarnitina,1.0
E.F.38.880,IBUPROFENO,Ibuprofeno,1.0
E.F.38.888,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.38.891,PROGESTERONA,Progesterona,1.0
E.F.38.893,MEROPENEM,Meropenem,1.0
E.F.38.894,MEROPENEM,Meropenem,1.0
E.F.38.907,METILSULFATO DE NEOSTIGMINA,Neostigmina Metilsulfato,1.0
E.F.38.910,GADOBUTROL,Gadobutrol,1.0
E.F.38.927,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.935,CLOTRIMAZOL,Clotrimazol,1.0
E.F.38.940,LORATADINA,Loratadina,1.0
E.F.38.940,ACETAMINOFEN,Acetaminofen,1.0
E.F.38.943,IBUPROFENO,Ibuprofeno,1.0
E.F.38.957,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.38.958,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.38.961,GUAIFENESINA,Guaifenesina,1.0
E.F.38.962,MONTELUKAST,Montelukast,1.0
E.F.38.983,DOMPERIDONA,Domperidona,1.0
E.F.38.987,ADAPALENO,Adapaleno,1.0
E.F.39.017,NIACINAMIDA,Niacinamida,1.0
E.F.39.017,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.39.017,PIRIDOXINA,Piridoxina,1.0
E.F.39.017,TIAMINA,Tiamina,1.0
E.F.39.021,VITAMINA B12,Vitamina B12,1.0
E.F.39.030,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.050,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.39.051,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.39.059,IBUPROFENO,Ibuprofeno,1.0
E.F.39.070,CLOPIDOGREL,Clopidogrel,1.0
E.F.39.077,LORATADINA,Loratadina,1.0
E.F.39.077,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.39.084,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.39.084,LOSARTAN POTASICO,Losartan,1.0
E.F.39.086,ORLISTAT,Orlistat,1.0
E.F.39.092,ORLISTAT,Orlistat,1.0
E.F.39.093,ORLISTAT,Orlistat,1.0
E.F.39.098,DESLORATADINA,Desloratadina,1.0
E.F.39.190,CLORFENIRAMINA,Clorfeniramina,1.0
E.F.39.190,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.202,ROSUVASTATINA CALCICA,Rosuvastatina,1.0
E.F.39.207,INDAPAMIDA,Indapamida,1.0
E.F.39.208,INDAPAMIDA,Indapamida,1.0
E.F.39.216,PREGABALINA,Pregabalina,1.0
E.F.39.217,CEFIXIMA TRIHIDRATO,Cefixima,1.0
E.F.39.225,LORATADINA,Loratadina,1.0
E.F.39.225,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.39.249,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.39.249,IBUPROFENO,Ibuprofeno,1.0
E.F.39.265,ROSUVASTATINA CALCICA,Rosuvastatina,1.0
E.F.39.283,ESOMEPRAZOL SODICO,Esomeprazol,1.0
E.F.39.306,ESOMEPRAZOL MAGNESICO TRIHIDRATO,Esomeprazol Magnesico,1.0
E.F.39.320,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.39.320,IBUPROFENO,Ibuprofeno,1.0
E.F.39.326,OLMESARTAN MEDOXOMILO,Olmesartan Medoxomilo,1.0
E.F.39.329,MOXIFLOXACINO CLORHIDRATO,Moxifloxacino,1.0
E.F.39.350,IBUPROFENO,Ibuprofeno,1.0
E.F.39.367,FLUCONAZOL,Fluconazol,1.0
E.F.39.374,ROSUVASTATINA CALCICA,Rosuvastatina,1.0
E.F.39.375,LEVOCETIRIZINA DICLORHIDRATO,Levocetirizina,1.0
E.F.39.385,DABIGATRAN ETEXILATO MESILATO,Dabigatran Etexilato Mesilato,1.0
E.F.39.395,METILPREDNISOLONA,Metilprednisolona,1.0
E.F.39.403,OLMESARTAN MEDOXOMILO,Olmesartan Medoxomilo,1.0
E.F.39.405,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.39.405,IBUPROFENO,Ibuprofeno,1.0
E.F.39.414,KETOPROFENO,Ketoprofeno,1.0
E.F.39.425,CAFEINA,Cafeina,1.0
E.F.39.425,IBUPROFENO,Ibuprofeno,1.0
E.F.39.434,QUETIAPINA,Quetiapina,1.0
E.F.39.463,FENOBARBITAL,Fenobarbital,1.0
E.F.39.468,ATORVASTATINA,Atorvastatina,1.0
E.F.39.471,PAMOATO DE PIRANTEL,Pirantel,1.0
E.F.39.497,BECLOMETASONA,Beclometasona,1.0
E.F.39.497,GENTAMICINA,Gentamicina,1.0
E.F.39.497,CLOTRIMAZOL,Clotrimazol,1.0
E.F.39.498,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.39.498,VALSARTAN,Valsartan,1.0
E.F.39.500,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.39.500,VALSARTAN,Valsartan,1.0
E.F.39.508,AZTREONAM,Aztreonam,1.0
E.F.39.520,CLORTALIDONA,Clortalidona,1.0
E.F.39.524,CAFEINA,Cafeina,1.0
E.F.39.524,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.525,CAFEINA,Cafeina,1.0
E.F.39.525,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.536,ABACAVIR,Abacavir,1.0
E.F.39.555,METILPREDNISOLONA,Metilprednisolona,1.0
E.F.39.561,RISPERIDONA,Risperidona,1.0
E.F.39.567,ACIDO FOLICO,Folico Acido,1.0
E.F.39.597,TADALAFILO,Tadalafilo,1.0
E.F.39.603,MONTELUKAST,Montelukast,1.0
E.F.39.603,DESLORATADINA,Desloratadina,1.0
E.F.39.618,ORLISTAT,Orlistat,1.0
E.F.39.619,BISOPROLOL FUMARATO,Bisoprolol,1.0
E.F.39.624,LEVOCETIRIZINA DICLORHIDRATO,Levocetirizina,1.0
E.F.39.647,FINGOLIMOD,Fingolimod,1.0
E.F.39.669,PREGABALINA,Pregabalina,1.0
E.F.39.670,PREGABALINA,Pregabalina,1.0
E.F.39.671,PREGABALINA,Pregabalina,1.0
E.F.39.679,LEVETIRACETAM,Levetiracetam,1.0
E.F.39.680,LEVETIRACETAM,Levetiracetam,1.0
E.F.39.685,METRONIDAZOL,Metronidazol,1.0
E.F.39.697,CLORHIDRATO DE BROMHEXINA,Bromhexina,1.0
E.F.39.709,RISPERIDONA,Risperidona,1.0
E.F.39.724,HIDROSMINA,Hidrosmina,1.0
E.F.39.753,ACETATO DE PREDNISOLONA,Prednisolona,1.0
E.F.39.755,CIANOCOBALAMINA,Cianocobalamina,1.0
E.F.39.755,CLORHIDRATO DE PIRIDOXINA,Piridoxina,1.0
E.F.39.755,CLORHIDRATO DE TIAMINA,Tiamina,1.0
E.F.39.775,RIFAXIMINA,Rifaximina,1.0
E.F.39.797,SALBUTAMOL,Salbutamol,1.0
E.F.39.805,TAZOBACTAM,Tazobactam,1.0
E.F.39.805,PIPERACILINA,Piperacilina,1.0
E.F.39.809,HIDROXIDO DE MAGNESIO,Magnesio Hidroxido,1.0
E.F.39.809,FAMOTIDINA,Famotidina,1.0
E.F.39.810,CICLOPIROX,Ciclopirox,1.0
E.F.39.811,BUDESONIDA,Budesonida,1.0
E.F.39.822,QUETIAPINA,Quetiapina,1.0
E.F.39.833,CLORTALIDONA,Clortalidona,1.0
E.F.39.840,CAFEINA,Cafeina,1.0
E.F.39.840,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.841,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.852,TIOCOLCHICOSIDO,Tiocolchicosido,1.0
E.F.39.856,VITAMINA D3,Vitamina D3,1.0
E.F.39.860,QUETIAPINA,Quetiapina,1.0
E.F.39.861,QUETIAPINA,Quetiapina,1.0
E.F.39.862,QUETIAPINA,Quetiapina,1.0
E.F.39.864,CINNARIZINA,Cinnarizina,1.0
E.F.39.874,TETRABENAZINA,Tetrabenazina,1.0
E.F.39.877,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.39.882,CITICOLINA,Citicolina,1.0
E.F.39.885,QUETIAPINA,Quetiapina,1.0
E.F.39.886,QUETIAPINA,Quetiapina,1.0
E.F.39.887,DIENOGEST,Dienogest,1.0
E.F.39.887,ETINILESTRADIOL,Etinilestradiol,1.0
E.F.39.889,MESILATO DE IMATINIB,Imatinib Mesilato,1.0
E.F.39.894,CLORHIDRATO DE MEMANTINA,Memantina,1.0
E.F.39.901,MESILATO DE IMATINIB,Imatinib Mesilato,1.0
E.F.39.905,TICAGRELOR,Ticagrelor,1.0
E.F.39.909,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.914,TAZOBACTAM,Tazobactam,1.0
E.F.39.914,PIPERACILINA,Piperacilina,1.0
E.F.39.917,ACETAMINOFEN,Acetaminofen,1.0
E.F.39.918,BROMURO DE IPRATROPIO,Bromuro De Ipratropio Monohidratado,1.0
E.F.39.925,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.39.927,IRBESARTAN,Irbesartan,1.0
E.F.39.928,IRBESARTAN,Irbesartan,1.0
E.F.39.931,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.39.931,IRBESARTAN,Irbesartan,1.0
E.F.39.943,LEVOSULPIRIDA,Levosulpirida,1.0
E.F.39.948,LEVOCETIRIZINA DICLORHIDRATO,Levocetirizina,1.0
E.F.39.949,IBUPROFENO,Ibuprofeno,1.0
E.F.39.953,DICLOFENACO POTASICO,Diclofenaco,1.0
E.F.39.967,SIMETICONA,Simeticona,1.0
E.F.39.982,LORATADINA,Loratadina,1.0
E.F.39.982,AMBROXOL,Ambroxol,1.0
E.F.39.986,TOPIRAMATO,Topiramato,1.0
E.F.39.999,LEVETIRACETAM,Levetiracetam,1.0
E.F.4.470,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.4.470,MENTOL,Mentol,1.0
E.F.4.931,MENTOL,Mentol,1.0
E.F.4.931,ALCANFOR,Alcanfor,1.0
E.F.4.931,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.40.013,CARNITINA,Carnitina,1.0
E.F.40.036,RAMIPRIL,Ramipril,1.0
E.F.40.054,AMOXICILINA,Amoxicilina,1.0
E.F.40.057,MICONAZOL,Miconazol,1.0
E.F.40.057,METRONIDAZOL,Metronidazol,1.0
E.F.40.058,FUMARATO DE BISOPROLOL,Bisoprolol,1.0
E.F.40.060,FUMARATO DE BISOPROLOL,Bisoprolol,1.0
E.F.40.069,ACETAMINOFEN,Acetaminofen,1.0
E.F.40.071,DOXICICLINA,Doxiciclina,1.0
E.F.40.072,MONTELUKAST,Montelukast,1.0
E.F.40.075,ROFLUMILAST,Roflumilast,1.0
E.F.40.082,AMBROXOL,Ambroxol,1.0
E.F.40.082,LORATADINA,Loratadina,1.0
E.F.40.098,GLIMEPIRIDA,Glimepirida,1.0
E.F.40.123,SIMETICONA,Simeticona,1.0
E.F.40.123,PANCREATINA,Pancreatina,1.0
E.F.40.147,CANDESARTAN CILEXETILO,Candesartan Cilexetilo,1.0
E.F.40.147,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.159,RISPERIDONA,Risperidona,1.0
E.F.40.186,EFAVIRENZ,Efavirenz,1.0
E.F.40.192,SIMETICONA,Simeticona,1.0
E.F.40.193,AMBROXOL,Ambroxol,1.0
E.F.40.193,LORATADINA,Loratadina,1.0
E.F.40.197,ORLISTAT,Orlistat,1.0
E.F.40.209,DOCETAXEL,Docetaxel,1.0
E.F.40.210,ACETAMINOFEN,Acetaminofen,1.0
E.F.40.220,TEICOPLANINA,Teicoplanina,1.0
E.F.40.224,TEICOPLANINA,Teicoplanina,1.0
E.F.40.226,GLIBENCLAMIDA,Glibenclamida,1.0
E.F.40.231,ACIDO ZOLEDRONICO,Acido Zoledronico,1.0
E.F.40.232,IRBESARTAN,Irbesartan,1.0
E.F.40.232,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.235,CLORHIDRATO DE CICLOPENTOLATO,Ciclopentolato,1.0
E.F.40.243,RAMIPRIL,Ramipril,1.0
E.F.40.250,LEVOCETIRIZINA DICLORHIDRATO,Levocetirizina,1.0
E.F.40.252,DESLORATADINA,Desloratadina,1.0
E.F.40.252,MONTELUKAST,Montelukast,1.0
E.F.40.267,CEFEPIMA,Cefepima,1.0
E.F.40.272,LEVODROPROPIZINA,Levodropropizina,1.0
E.F.40.280,FUMARATO DE BISOPROLOL,Bisoprolol,1.0
E.F.40.280,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.281,LOSARTAN POTASICO,Losartan,1.0
E.F.40.282,LOSARTAN POTASICO,Losartan,1.0
E.F.40.285,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.285,RAMIPRIL,Ramipril,1.0
E.F.40.290,IBUPROFENO,Ibuprofeno,1.0
E.F.40.301,ATORVASTATINA,Atorvastatina,1.0
E.F.40.302,IRBESARTAN,Irbesartan,1.0
E.F.40.322,LEVOFLOXACINA,Levofloxacino,0.923
E.F.40.323,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.40.328,CLINDAMICINA,Clindamicina,1.0
E.F.40.328,ADAPALENO,Adapaleno,1.0
E.F.40.345,DARUNAVIR,Darunavir,1.0
E.F.40.346,DIENOGEST,Dienogest,1.0
E.F.40.346,ESTRADIOL VALERATO,Estradiol Valerato,1.0
E.F.40.347,DARUNAVIR,Darunavir,1.0
E.F.40.358,DEXAMETASONA FOSFATO SÓDICO,Dexametasona,1.0
E.F.40.358,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.40.365,GLIBENCLAMIDA,Glibenclamida,1.0
E.F.40.366,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.366,CANDESARTAN CILEXETILO,Candesartan Cilexetilo,1.0
E.F.40.374,BETAMETASONA,Betametasona,1.0
E.F.40.390,BILASTINA,Bilastina,1.0
E.F.40.393,SITAGLIPTINA,Sitagliptina,1.0
E.F.40.404,ACIDO ZOLEDRONICO,Acido Zoledronico,1.0
E.F.40.425,METRONIDAZOL,Metronidazol,1.0
E.F.40.430,DEFLAZACORT,Deflazacort,1.0
E.F.40.452,LORATADINA,Loratadina,1.0
E.F.40.454,HESPERIDINA,Hesperidina,1.0
E.F.40.454,DIOSMINA,Diosmina,1.0
E.F.40.455,GLIBENCLAMIDA,Glibenclamida,1.0
E.F.40.466,METRONIDAZOL,Metronidazol,1.0
E.F.40.477,ACETAMINOFEN,Acetaminofen,1.0
E.F.40.481,TELMISARTAN,Telmisartan,1.0
E.F.40.482,TELMISARTAN,Telmisartan,1.0
E.F.40.485,VEMURAFENIB,Vemurafenib,1.0
E.F.40.495,BUDESONIDA,Budesonida,1.0
E.F.40.502,AMBROXOL,Ambroxol,1.0
E.F.40.507,TIMOLOL MALEATO,Timolol,1.0
E.F.40.516,CARBOPLATINO,Carboplatino,1.0
E.F.40.528,MEROPENEM,Meropenem,1.0
E.F.40.529,MEROPENEM,Meropenem,1.0
E.F.40.535,METFORMINA CLORHIDRATO,Metformina,1.0
E.F.40.535,SITAGLIPTINA FOSFATO MONOHIDRATADO,Sitagliptina,1.0
E.F.40.536,CAFEINA,Cafeina,1.0
E.F.40.536,IBUPROFENO,Ibuprofeno,1.0
E.F.40.540,DICLOFENAC SODICO,Diclofenaco,0.909
E.F.40.543,AZTREONAM,Aztreonam,1.0
E.F.40.551,CILOSTAZOL,Cilostazol,1.0
E.F.40.553,OLOPATADINA,Olopatadina,1.0
E.F.40.554,KETOTIFENO,Ketotifeno,1.0
E.F.40.557,GEMCITABINA,Gemcitabina,1.0
E.F.40.560,BORTEZOMIB,Bortezomib,1.0
E.F.40.562,PROPOFOL,Propofol,1.0
E.F.40.567,SITAGLIPTINA,Sitagliptina,1.0
E.F.40.574,BISOPROLOL FUMARATO,Bisoprolol,1.0
E.F.40.594,LOSARTAN POTASICO,Losartan,1.0
E.F.40.594,AMLODIPINA,Amlodipino,0.9
E.F.40.606,BROMURO DE PINAVERIO,Pinaverio Bromuro,1.0
E.F.40.610,HIDROCLOROTIAZIDA,Hidroclorotiazida,1.0
E.F.40.610,OLMESARTAN MEDOXOMILO,Olmesartan Medoxomilo,1.0
E.F.40.615,TOBRAMICINA SULFATO,Tobramicina,1.0
E.F.40.617,SUGAMMADEX SÓDICO,Sugammadex,1.0
E.F.40.648,LINAGLIPTINA,Linagliptina,1.0
E.F.40.656,ZINC,Zinc,1.0
E.F.40.656,ACIDO ASCORBICO,Ascorbico Acido,1.0
E.F.40.662,CODEINA,Codeina,1.0
E.F.40.663,DEXTROMETORFANO,Dextrometorfano,1.0
E.F.40.666,ELTROMBOPAG,Eltrombopag,1.0
E.F.40.669,IBUPROFENO,Ibuprofeno,1.0
E.F.40.670,PETIDINA,Petidina,1.0
E.F.40.673,TERBINAFINA,Terbinafina,1.0
E.F.40.679,CAFEINA,Cafeina,1.0
E.F.40.679,ACETAMINOFEN,Acetaminofen,1.0
E.F.40.682,ACIDO GADOXETICO,Gadoxetico Acido,1.0
E.F.40.691,VALSARTAN,Valsartan,1.0
E.F.40.696,DEFLAZACORT,Deflazacort,1.0
E.F.40.702,CITALOPRAM,Citalopram,1.0
E.F.40.724,LEVONORGESTREL,Levonorgestrel,1.0
E.F.40.727,CEFEPIMA,Cefepima,1.0
E.F.40.733,PREGABALINA,Pregabalina,1.0
