nombre,nombre_generico_en,sinonimos,descripcion,atc_codigo
Carbon Cafe,Ammonium Carbonate,,,
Carbon Medicinal,Activated Charcoal,,,
Carbon Ultraactivo,Ammonium Carbonate,,,
Carbonildiamida,Urea,,,
Carbono-99m Tc (aerosol),,,,
Carboplatino,Carboplatin,,,
Carbopol,Carbomer,,,
Carboximetilcelulosa,Carboxymethylcellulose,,,
Cardo Bendito,,,,
Cardo Mariano,Picea Mariana Resin,,,
Carfilzomib,Carfilzomib,,,
Carglumico Acido,Carglumic Acid,,,
Cariprazina,Cariprazine,,,
Cariprazina Hidrocloruro,Cariprazine,,,
Carmelosa,Carboxymethylcellulose,,,
Carmelosa Sodica,Carboxymethylcellulose,,,
Carmin De Indigo,Indigo Carmine,,,
Carmustina,Carmustine,,,
Carnitina,Levocarnitine,,,
Carnitina Hidrocloruro,Levocarnitine,,,
Carnosina,Carnosine,,,
Carragahen,Emepronium Carrageenate,,,
Carragenano,Carrageenan,,,
Carteolol,Carteolol,,,
Carteolol Hidrocloruro,Carteolol,,,
Carum Carvi L.,,,,
Carum Carvi L. Fruto,,,,
Carvedilol,Carvedilol,,,
Cas 276,Calcium Ion,,,
Cascara Sagrada,Cascara Sagrada,,,
Casirivimab,Casirivimab,,,
Caspofungina,Caspofungin,,,
Caspofungina Acetato,Caspofungin,,,
Cassia Angustifolia,,,,
Cassia Angustifolia Exto,,,,
Cassia Angustifolia Exto Liquido,,,,
Cassia Angustifolia Frutos,,,,
Cassia Angustifolia Frutos Extracto Seco,,,,
Cassia Angustifolia Hoja O Foliola,,,,
Cassia Angustifolia Polvo,,,,
Catridecacog,Coagulation Factor Xiii A-subunit (recombinant),,,
Catumaxomab,,,,
Cbdca,Carboplatin,,,
Cdp-colina,Citicoline,,,
Cedazuridina,Cedazuridine,,,
Cefaclor,Cefaclor,,,
Cefaclor Monohidrato,,,,
Cefadroxilo,Cefadroxil,,,
Cefadroxilo Monohidrato,Cefadroxil,,,
Cefalexina,Cephalexin,,,
Cefalexina Monohidrato,Cephalexin,,,
Cefazolina,Cefazolin,,,
Cefazolina Sodica,Cefazolin,,,
Cefepima,Cefepime,,,
Cefepima Dihidrocloruro Monohidrato,Cefepime,,,
Cefiderocol Sulfato Tosilato,Cefiderocol,,,
Cefixima,Cefixime,,,
Cefixima Trihidrato,Cefixime,,,
Cefotaxima,Cefotaxime,,,
Cefotaxima Sodica,Cefotaxime,,,
Cefoxitina,Cefoxitin,,,
Cefoxitina Sodica,Cefoxitin,,,
Ceftarolina Fosamilo,Ceftaroline Fosamil,,,
Ceftazidima,Ceftazidime,,,
Ceftazidima Pentahidrato,Ceftazidime Pentahydrate,,,
Ceftobiprol Medocarilo,,,,
Ceftolozano,Ceftolozane,,,
Ceftolozano Sulfato,Ceftolozane,,,
Ceftriaxona,Ceftriaxone,,,
Ceftriaxona Sodica,Ceftriaxone,,,
Cefuroxima,Cefuroxime,,,
Cefuroxima Axetilo,Cefuroxime,,,
Cefuroxima Sodica,Cefuroxime,,,
Celidonia  Mayor,Burdock Root Extract,,,
Celulas Cd3+ Autologas Transducidas Anti Cd19,,,,
"Celulas Epiteliales Corneales Humanas Autologas, Expandidas Ex Vivo, Entre Las Que Se Encuentran Celulas Madre",,,,
Celulas T Autologas Transducidas Con El Vector Lentiviral Que Contienen El Receptor Antigeno Quimerico Directo Anti-cd19,,,,
"Celulas T Cd4+ Y Cd8+ Autologas Derivadas De Sangre Periferica Y Activadas Con Anticuerpos Especificos De Cd3 Y Cd28, Transducidas Con Un Vector Retroviral, Que Expresa El Receptor Quimerico Especifico De Cd19 Que Incluye Dominios De Cd28/cd3-zeta, Y Cult",,,,
Cemiplimab,Cemiplimab,,,
Cemivameran,,,,
Cenegermina,Cenegermin,,,
Cenobamato,Cenobamate,,,
Centaurea Menor,Centaurea Benedicta Extract,,,
Centaurium Umbellatum,Centaurium Erythraea Preparation,,,
Centella Asiatica Exto,Centella Asiatica Extract,,,
Cepa Similar A A/astrakhan/3212/2020 (h5n8) (cber-rg8a),Influenza A Virus A/astrakhan/3212/2020 (h5n8) Antigen,,,
Cerio Nitrato,Ceric Oxide,,,
Cerliponasa Alfa,Cerliponase Alfa,,,
Certolizumab Pegol,Certolizumab Pegol,,,
Certoparina De Sodio,Sodium Ironedetate,,,
Cetiltrimetilamonio,,,,
Cetirizina,Cetirizine,,,
Cetirizina Dihidrocloruro,Cetirizine,,,
Cetirizina Hidrocloruro,Cetirizine,,,
Ceto Fenilalanina Calcica,Phenylalanine,,,
Ceto Isoleucina,Isoleucine,,,
Ceto Isoleucina Calcica,Isoleucine,,,
Ceto Leucina,Leucine,,,
Ceto Leucina Calcica,Calcium Carbimide,,,
Ceto Valina,Valine,,,
Ceto Valina Calcica,Calcium Carbimide,,,
Cetuximab,Cetuximab,,,
Chelidonia Majus,Chelidonium Majus Extract,,,
Chelidonium Majus,Chelidonium Majus Extract,,,
Chumbera,,,,
Cianocobalamina,Vitamin B12,,,
Ciclesonida,Ciclesonide,,,
Ciclobenzaprina,Cyclobenzaprine,,,
Ciclobenzaprina Hidrocloruro,Cyclobenzaprine,,,
Ciclofosfamida,Cyclophosphamide,,,
Ciclofosfamida Monohidrato,Cyclophosphamide,,,
Ciclohexanohexilmexafosfato,,,,
Ciclohexilbenzotiazil Sulfenamida,N-oxydiethylene-2-benzothiazole Sulfenamide,,,
Ciclopentolato,Cyclopentolate,,,
Ciclopentolato Hidrocloruro,Cyclopentolate,,,
Ciclopirox Olamina,Ciclopirox Olamine,,,
Ciclosilicato De Sodio Y Zirconio,Sodium Ironedetate,,,
Ciclosporina,Cyclosporine,,,
Ciclosporina  Para Microemulsion,Cyclosporine Microemulsion,,,
Cidofovir Dihidrato,Cidofovir,,,
Cilantro,Cilantro Extract,,,
Cilantro Exto Liquido,Cilantro Extract,,,
Cilastatina,Cilastatin,,,
Cilastatina Sodica,Cilastatin,,,
Cilazapril,Cilazapril,,,
Cilazapril Monohidrato,Cilazapril,,,
Cilgavimab,Cilgavimab,,,
Cilostazol,Cilostazol,,,
Ciltacabtagen Autoleucel,Ciltacabtagene Autoleucel,,,
Cimebrina,,,,
Cimicifuga Racemosa,Black Cohosh Extract,,,
Cimicifuga Racemosa Exto Seco,Black Cohosh Extract,,,
Cinacalcet,Cinacalcet,,,
Cinacalcet Hidrocloruro,Cinacalcet,,,
Cinamaldehido,Cinnamic Aldehyde,,,
Cinamilico Alcohol,Ethanol,,,
Cinarizina,Cinnarizine,,,
Cincocaina,Dibucaine,,,
Cincocaina Hidrocloruro,Dibucaine,,,
Cinitaprida,Cinitapride,,,
Cinitaprida Hidrogeno Tartrato,Cinitapride,,,
Cinitaprida Tartrato Acido,Cinitapride,,,
Cinnamomum Zeylanicum Corteza,"Cinnamon Oil, Leaf",,,
Cinnarizina,Cinnarizine,,,
Cipaglucosidasa Alfa,Cipaglucosidase Alfa,,,
Ciprofloxacino,Ciprofloxacin,,,
Ciprofloxacino Hidrocloruro,Ciprofloxacin,,,
Ciproheptadina,Cyproheptadine,,,
Ciproheptadina Cetoglutarato,Cyproheptadine,,,
Ciproheptadina Hidrocloruro,Cyproheptadine,,,
Ciproterona,Cyproterone,,,
Ciproterona Acetato,Cyproterone Acetate,,,
Cisatracurio,Cisatracurium,,,
Cisatracurio Besilato,Cisatracurium Besylate,,,
Cisplatino,Cisplatin,,,
Cisteamina,Cysteamine,,,
Cisteina,Cysteine,,,
Cistina,Cystine,,,
Citalopram,Citalopram,,,
Citalopram Hidrobromuro,Citalopram,,,
Citarabina,Cytarabine,,,
Citicolina,Citicoline,,,
Citicolina Sodica,Citicoline,,,
Citidina,,,,
Citidina-5-monofosfato Disodio,,,,
Citisina,Cytisine,,,
Citisiniclina,Cytisine,,,
Citosina Arabinosido,Cytosine,,,
Citrato Acido Sodio,Ganciclovir Sodium,,,
Citrato Magnesio,,,,
Citrato Potasio,Potassium,,,
Citrato Sodico Dihidrato,Mentha Aquatica Var. Citrata Leaf Extract,,,
Citrato Sodio,Ganciclovir Sodium,,,
Citrato Trisodio,Trisodium Citrate,,,
Citrico Acido,Citric Acid,,,
Citrico Acido Anhidro,Citric Acid,,,
Citrico Acido Monohidrato,Citric Acid,,,
Citrina,Callistemon Citrinus Pollen Extract,,,
Citrulina,Citrulline,,,
Citrulina Malato,Citrulline Malate,,,
Citrus Bergamia,Citrus Bergamia Leaf Oil,,,
Cladribina,Cladribine,,,
Claritromicina,Clarithromycin,,,
Claritromicina Citrato,Clarithromycin,,,
Clascoterona,Clascoterone,,,
Clavo,,,,
Clavulanato Potasio,Potassium,,,
Clavulanato Potasio Diluido Con Celulosa Microcristalina,Ak-con,,,
Clavulanato Potasio Diluido Con Silice Coloidal Hidratada,Ak-con,,,
Clavulanico Acido,Clavulanic Acid,,,
Cleboprida,Clebopride,,,
Cleboprida Malato,Clebopride,,,
Clesrovimab,Clesrovimab,,,
Clindamicina,Clindamycin,,,
Clindamicina Fosfato,Clindamycin,,,
Clindamicina Hidrocloruro,Clindamycin,,,
Clobazam,Clobazam,,,
Clobetasol,Clobetasol,,,
Clobetasol Propionato,Clobetasol Propionate,,,
Clobetasona,Clobetasone,,,
Clobetasona Butirato,Clobetasone,,,
Clocinizina,Clocinizine,,,
Clocinizina Dihidrocloruro,Clocinizine,,,
Clofarabina,Clofarabine,,,
Clofazimina,Clofazimine,,,
Clometiazol,Chlormethiazole,,,
Clomifeno Citrato,Clomiphene,,,
Clomipramina,Clomipramine,,,
Clomipramina Hidrocloruro,Clomipramine,,,
Clonazepam,Clonazepam,,,
Clonidina,Clonidine,,,
Clonidina Hidrocloruro,Clonidine,,,
Clonixino Lisina,Clonixin,,,
Cloperastina,Cloperastine,,,
Cloperastina Fendizoato,Cloperastine,,,
Cloperastina Hidrocloruro,Cloperastine,,,
Clopidogrel Besilato,,,,
Clopidogrel Hidrogenosulfato,Clopidogrel,,,
Clorambucilo,Chlorambucil,,,
Cloranfenicol,Chloramphenicol,,,
Clorazepato Dipotasio,Clorazepate,,,
Clorazepico Acido,Iocetamic Acid,,,
Clorcinazina,,,,
Clordiazepoxido,Chlordiazepoxide,,,
Clordiazepoxido Hidrocloruro,Chlordiazepoxide,,,
Cloretona,,,,
Clorfenamina,Chlorpheniramine,,,
Clorfenamina Maleato,Chlorpheniramine,,,
Clorfeniramina,Chlorpheniramine,,,
Clorhexidina,Chlorhexidine,,,
Clorhexidina Acetato,Chlorhexidine Acetate,,,
Clorhexidina Digluconato,Chlorhexidine,,,
Clorhexidina Dihidrocloruro,Chlorhexidine,,,
Clorhexidina Hidrocloruro,Chlorhexidine,,,
Clorhistapiridamina,,,,
Clormadinona,Chlormadinone,,,
Clormadinona Acetato,Chlormadinone Acetate,,,
Clormetina,Mechlorethamine,,,
Clorobutanol,Chlorobutanol,,,
Clorobutanol Hemihidrato,Chlorobutanol Hemihydrate,,,
Cloroprocaina,Chloroprocaine,,,
Cloroprocaina Hidrocloruro,Chloroprocaine,,,
Cloroprofenpiridamida,,,,
Cloroquina,Chloroquine,,,
Cloroquina Fosfato,Chloroquine,,,
Clorotetraciclina,Chlortetracycline,,,
Clorpiprazina,Clospirazine,,,
Clorpromazina,Chlorpromazine,,,
Clorpromazina Hidrocloruro,Chlorpromazine,,,
Clorquinaldol,Chlorquinaldol,,,
Clortalidona,Chlorthalidone,,,
Clortetraciclina,Chlortetracycline,,,
Clortetraciclina Hidrocloruro,Chlortetracycline,,,
Cloruro Amonico De Lenalidomida,Methylene Blue,,,
Cloruro De Hierro (iii) Hexahidrato,Methylene Blue,,,
Cloruro De Potasio,Methylene Blue,,,
Clostridiopeptidasa,Collagenase Clostridium Histolyticum,,,
"Clostridium Tetani, Toxoide","Tetanus Toxoid Vaccine, Inactivated",,,
Clotiapina,Clothiapine,,,
Clotrimazol,Clotrimazole,,,
Cloxacilina,Cloxacillin,,,
Cloxacilina Sodica,Cloxacillin,,,
Clozapina,Clozapine,,,
Coal Tar,Coal Tar,,,
Cobalto,Cobalt,,,
Cobalto Cloruro,Cobalt,,,
Cobamamida,Cobamamide,,,
Cobicistat,Cobicistat,,,
Cobre Carbonato,Copper,,,
Cobre Cloruro Dihidrato,Copper,,,
Cobre Sulfato Pentahidrato,Copper,,,
Cocarbina,,,,
Cocarboxilasa,Thiamine Pyrophosphate,,,
Cocarboxilasa Tetrahidrato,Thiamine Pyrophosphate,,,
Codeina,Codeine,,,
Codeina Fosfato,Codeine,,,
Codeina Fosfato Hemihidrato,Codeine,,,
Coenzima B1,Thiamine,,,
Coenzima B12,Cobamamide,,,
Cola De Caballo,,,,
Cola Raton,,,,
Colchicina,Colchicine,,,
Colecalciferol,Cholecalciferol,,,
Colesevelam,Colesevelam,,,
Colesevelam Hidrocloruro,Colesevelam,,,
Colestiramina,Cholestyramine Resin,,,
Colico Acido,Iocetamic Acid,,,
Colina Citidin-5-difosfato,Citicoline,,,
Colistimetato Sodio,Ganciclovir Sodium,,,
Colleja,,,,
Colofonia,Rosin,,,
Complejo Coagulante Antiinhibidor,Anti-inhibitor Coagulant Complex,,,
Complejo Hierro Dextran,Dextran,,,
Complejo Oseina-hidroxiapatita,Complera,,,
Concentrado De Enzimas Proteoliticas Enriquecidas En Bromelaina,,,,
Concentrado De Protombina Activada,,,,
Concizumab,Concizumab,,,
Condroitina,,,,
Condroitina Sulfato Sodio,Ganciclovir Sodium,,,
Conestat Alfa,C1 Esterase Inhibitor (recombinant),,,
Conjugado Haemophilus Influenzae Prp-neisseria Meningitidis Ompc,,,,
Conjugado Prp-ompc,Haemophilus Capsular Oligosaccharide / Neisseria Meningitidis,,,
Coriandro,Cilantro Extract,,,
Coriandro Sativum,Coriandrum Sativum Whole Extract,,,
Corifolitropina Alfa,,,,
Coriogonadotropina Alfa,Choriogonadotropin Alfa,,,
Corynebacterium Diphteriae Proteina Crm 197,,,,
Cosintropina,Cosyntropin,,,
Cosmolina,,,,
Crataegus Oxiacanta-crataegus Monogina,Crataegus Extract,,,
Crataegus Oxyacantha,,,,
Crataegus Oxyacantha Exto Seco,,,,
Crataegus Oxyacantha Flores,,,,
Crecimiento Hormona,Parathyroid Hormone,,,
Crisantaspasa,Asparaginase Erwinia Chrysanthemi,,,
Crizanlizumab,Crizanlizumab,,,
Cromato Cr-51  Sodio,Sodium Chromate Cr51,,,
Cromo Cloruro Hexahidrato,Chromium,,,
Cromoglicato De Sodio,Sodium Ironedetate,,,
Cromoglicico Acido,Cromolyn,,,
Crovalimab,Crovalimab,,,
Curcuma,Turmeric Extract,,,
Curcuma Exto Seco,Turmeric Extract,,,
Cynara Scolymus L.,Cynara Scolymus Whole Extract,,,
Cynara Scolymus L. Extracto Seco,Cynara Scolymus Whole Extract,,,
Cynodon Dactylon,Cynodon Dactylon Extract,,,
Dabigatran,Dabigatran,,,
Dabigatran Etexilato,Dabigatran Etexilate,,,
Dabigatran Etexilato Mesilato,Dabigatran Etexilate,,,
Dabrafenib,Dabrafenib,,,
Dabrafenib Mesilato,Dabrafenib,,,
Dacarbazina,Dacarbazine,,,
Dacomitinib,Dacomitinib,,,
Dacomitinib Monohidrato,Dacomitinib,,,
Dalbavancina,Dalbavancin,,,
Dalbavancina Hidrocloruro,Dalbavancin,,,
Dalfampridina,Dalfampridine,,,
Dalteparina,Dalteparin,,,
Dalteparina Sodica,Dalteparin,,,
Damoctocog Alfa Pegol,Damoctocog Alfa Pegol,,,
Danaparoide De Sodio,Sodium Ironedetate,,,
Danazol,Danazol,,,
Danicopan,Danicopan,,,
Dantroleno,Dantrolene,,,
Dantroleno Sodio Hemiheptahidrato,Dantrolene,,,
Dapagliflozina,Dapagliflozin,,,
Dapagliflozina Propanodiol,Dapagliflozin Propanediol,,,
Dapagliflozina Propanodiol Monohidrato,Dapagliflozin Propanediol,,,
Dapoxetina,,,,
Dapsona,Dapsone,,,
Daptomicina,Daptomycin,,,
Daratumumab,Daratumumab,,,
Darbepoetina Alfa,Darbepoetin Alfa,,,
Daridorexant,Daridorexant,,,
Daridorexant Hidrocloruro,Daridorexant,,,
Darifenacina,Darifenacin,,,
Darifenacina Hidrobromuro,Darifenacin,,,
Darolutamida,Darolutamide,,,
Darunavir,Darunavir,,,
Darunavir Etanolato,Darunavir Ethanolate,,,
Darunavir Propilenglicolato,Darunavir,,,
Darvadstrocel,,,,
Dasabuvir,Dasabuvir,,,
Dasatinib,Dasatinib,,,
Dasatinib Monohidrato,Dasatinib,,,
Datopotamab Deruxtecan,Datopotamab Deruxtecan,,,
Daunorubicina,Daunorubicin,,,
Daunorubicina Hidrocloruro,Daunorubicin,,,
Davesomeran,,,,
D-b-b-dimetilcisteina,,,,
D-bencilpenicilina,,,,
D-camfor,,,,
D-dehidrohidrocortisona,,,,
Decicaina,,,,
Decitabina,Decitabine,,,
Decualinio,,,,
Decualinio Cloruro,Calcium Chloride,,,
Deferasirox,Deferasirox,,,
Deferiprona,Deferiprone,,,
Deferoxamina,Deferoxamine,,,
Deferoxamina Mesilato,Deferoxamine,,,
Deflazacort,Deflazacort,,,
Degarelix,Degarelix,,,
Degarelix Acetato,Degarelix Acetate,,,
Dehidroepiandrosterona,Prasterone,,,
Delafloxacino,Delafloxacin,,,
Delafloxacino Meglumina,Delafloxacin Meglumine,,,
Delamanid,,,,
Delapril,,,,
Delapril Hidrocloruro,,,,
Delta 9 Tetrahidrocannabinol,Dronabinol,,,
Deltacortisona,Prednisone,,,
Delta-dehidrohidrocortisona,Delta D3,,,
Deltahidrocortisona,Prednisolone,,,
Delta-1-dehidrocortisona,,,,
"Dengue Virus, Vivo Atenuado Serotipo 1",,,,
"Dengue Virus, Vivo Atenuado Serotipo 2",,,,
"Dengue Virus, Vivo Atenuado Serotipo 3",,,,
"Dengue Virus, Vivo Atenuado Serotipo 4",,,,
Denosumab,Denosumab,,,
Depemokimab,Depemokimab,,,
Dequalinio,Dequalinium,,,
Desfesoterodina,,,,
Desfesoterodina Succinato,Succinate,,,
Desflurano,Desflurane,,,
Desloratadina,Desloratadine,,,
Desmetilamitriptilina,Nortriptyline,,,
Desmopresina,Desmopressin,,,
Desmopresina Acetato,Desmopressin,,,
Desoxicolico Acido,Iocetamic Acid,,,
Desvenlafaxina,Desvenlafaxine,,,
Desvenlafaxina Benzoato,Desvenlafaxine,,,
Desvenlafaxina Succinato Monohidrato,Desvenlafaxine,,,
Deucravacitinib,Deucravacitinib,,,
Deutivacaftor,Deutivacaftor,,,
Dexametasona,Dexamethasone,,,
Dexametasona Fosfato,Dexamethasone,,,
Dexametasona Fosfato Disodio,Dexamethasone,,,
Dexametasona Fosfato Sodio,Dexamethasone,,,
Dexametasona Metasulfobenzoato,,,,
Dexametasona Metasulfobenzoato Sodico,,,,
Dexametasona Pivalato,Dexamethasone,,,
Dexanfetamina,Dextroamphetamine,,,
Dexanfetamina Sulfato,Dextroamphetamine,,,
Dexclorfeniramina,Dexchlorpheniramine,,,
Dexclorfeniramina Maleato,Dexchlorpheniramine,,,
Dexketoprofeno Trometamol,Dexketoprofen Trometamol,,,
Dexmedetomidina,Dexmedetomidine,,,
Dexmedetomidina Hidrocloruro,Dexmedetomidine,,,
Dexpantenol,Dexpanthenol,,,
Dexrazoxano,Dexrazoxane,,,
Dextran 70,Dextran 70,,,
Dextran-hierro,Dextran,,,
Dextroamfetamina,Dextroamphetamine,,,
Dextrometorfano,Dextromethorphan,,,
Dextrometorfano Hidrobromuro,Dextromethorphan,,,
Dextrosa,Glucose,,,
Dha,Docosahexaenoic Acid,,,
D-hidrocortisona,,,,
Diacereina,Diacetylrhein,,,
Diacetilmidecamicina,,,,
Diacetoxi-difenil-piridilmetano,,,,
Diafenilsulfona,Dapsone,,,
Diatrizoico Acido,Diatrizoic Acid,,,
Diazepam,Diazepam,,,
Dibencocida,,,,
Dibencozamida,,,,
Dibenzotiazil Disulfida,"2,2'-dithiobisbenzothiazole",,,
Dibotermina Alfa,,,,
Dibromohidroximercurifluoresceina,,,,
Dibucaina,Dibucaine,,,
Diciclomina,Dicyclomine,,,
Dicicloverina,Dicyclomine,,,
Dicicloverina Hidrocloruro,Dicyclomine,,,
Diclofenaco,Diclofenac,,,
Diclofenaco Dietilamina,Diclofenac Diethylammonium,,,
Diclofenaco Epolamina,Diclofenac Epolamine,,,
Diclofenaco Sodico,Diclofenac,,,
Diclorobencilico Alcohol,Dichlorobenzyl Alcohol,,,
Dicloro-oxiquinaldina,Dicloran,,,
Didrogesterona,Dydrogesterone,,,
Difasin,,,,
Difelicefalina,Difelikefalin,,,
Difelicefalina Acetato,Difelikefalin Acetate,,,
Difenhidramina,Diphenhydramine,,,
Difenhidramina Hidrocloruro,Diphenhydramine,,,
Difenilguanidina,Diphenylguanidine,,,
Difenilhidantoina,,,,
Difenilmetoxi-8-isopropilnortropano,,,,
Difenilmetoxi-8-isopropilnortropano Mesilato,Doxazosin 8 Mg Oral Tablet,,,
Difilina,,,,
Diflorasona,Diflorasone,,,
Diflorasona Diacetato,Diflorasone Diacetate,,,
Diflucortolona,Diflucortolone,,,
Diflucortolona Valerato,Diflucortolone Valerate,,,
Diflunisal,Diflunisal,,,
Digoxina,Digoxin,,,
Dihidroartemisinina,,,,
Dihidroclorotiazida,,,,
Dihidrocodeina,Dihydrocodeine,,,
Dihidrocodeina Bitartrato,Dihydrocodeine Bitartrate,,,
Dihidroergocristina,Dihydroergocristine,,,
Dihidroergocristina Mesilato,Dihydroergocristine Monomesylate,,,
Dihidroestreptomicina,Dihydrostreptomycin,,,
Dihidroestreptomicina Sulfato,Dihydrostreptomycin,,,
Dihidrogenofosfato De Sodio Dihidrato,Sodium Ironedetate,,,
Dihidrogenofosfato De Sodio Monohidrato,Sodium Ironedetate,,,
Dihidrohidroxicodeinona,Oxycodone,,,
Dihidroquinidina,Hydroquinidine,,,
Dihidroxicolecalciferol(1-25),,,,
Dihidroxipropilteofilina,,,,
Dihidroxisuccinico Acido,Iocetamic Acid,,,
Diltiazem,Diltiazem,,,
Diltiazem Hidrocloruro,Diltiazem,,,
Dimenhidrinato,Dimenhydrinate,,,
Dimeticona,Dimethicone,,,
Dimeticona-silica Gel,,,,
Dimetindeno Maleato,Dimethindene,,,
Dinoprostona,Dinoprostone,,,
Dinutuximab,Dinutuximab,,,
Dinutuximab Beta,,,,
Diosmina,Diosmin,,,
Dioxido De Carbono,Titanium Dioxide,,,
Dipentametilenetiuramio Disulfuro,Dipentamethylenethiuram Disulfide,,,
Dipiridamol,Dipyridamole,,,
Dipirona,,,,
Diprofilina,Dyphylline,,,
Disopiramida,Disopyramide,,,
Disulfiram,Disulfiram,,,
Dobesilato De Calcio,Calcium Carbonate,,,
Dobesilato De Calcio Monohidrato,Calcium Carbonate,,,
Dobesilico Acido,Dobesilic Acid,,,
Dobutamina,Dobutamine,,,
Dobutamina Hidrocloruro,Dobutamine,,,
Docetaxel,Docetaxel,,,
Docetaxel Trihidrato,Docetaxel,,,
Docosanol,Docosanol,,,
Dodecilsulfato,Sodium Dodecyl Sulfate,,,
Dolutegravir,Dolutegravir,,,
Dolutegravir Sodio,Dolutegravir,,,
Domperidona,Domperidone,,,
Domperidona Maleato,Domperidone,,,
Donanemab,Donanemab,,,
Donepezilo Hidrocloruro Monohidrato,Donepezil,,,
Donidalorsen,Donidalorsen,,,
Donidalorsen Sodico,Donidalorsen,,,
Dopamina,Dopamine,,,
Dopamina Hidrocloruro,Dopamine,,,
Doravirina,Doravirine,,,
Dornasa Alfa,Dornase Alfa,,,
Dorzolamida,Dorzolamide,,,
Dorzolamida Hidrocloruro,Dorzolamide,,,
Dostarlimab,Dostarlimab,,,
Doxazosina,Doxazosin,,,
Doxazosina Mesilato,Doxazosin,,,
Doxepina,Doxepin,,,
Doxepina Hidrocloruro,Doxepin,,,
Doxiciclina,Doxycycline,,,
Doxiciclina Hiclato,Doxycycline,,,
Doxiciclina Hidrocloruro,Doxycycline,,,
Doxilamina,Doxylamine,,,
"Doxilamina, Hidrogenosuccinato De",,,,
Doxorubicina,Doxorubicin,,,
Doxorubicina Hidrocloruro,Doxorubicin,,,
D-pantenol,Dexpanthenol,,,
Dronabinol,Dronabinol,,,
Dronedarona,Dronedarone,,,
Dronedarona Clorhidrato,Dronedarone,,,
Drosera,,,,
Drosera Rotundifolia,Drosera Rotundifolia Flowering Top Extract,,,
Drosera Tintura,,,,
Drosera Tintura Madre,,,,
Drospirenona,Drospirenone,,,
Dulaglutida,Dulaglutide,,,
Duloxetina,Duloxetine,,,
Duloxetina Hidrocloruro,Duloxetine,,,
Dupilumab,Dupilumab,,,
Durvalumab,Durvalumab,,,
Dutasterida,Dutasteride,,,
Ebastina,Ebastine,,,
Eberconazol,,,,
Eberconazol Nitrato,,,,
Eburnamonina,,,,
Echinacea Angustifolia,Echinacea Angustifolia Extract,,,
Echinacea Angustifolia Exto Seco,Echinacea Angustifolia Extract,,,
Echinacea Angustifolia Tintura Madre,Echinacea Angustifolia Extract,,,
Echinacea Purpurea,Echinacea Purpurea Extract,,,
Echinacea Purpurea Jugo,Echinacea Purpurea Extract,,,
Echinacea Purpurea Tintura Madre,Echinacea Purpurea Extract,,,
Echinacea Purpurea Tintura Parte Aerea,Echinacea Purpurea Aerial Parts Extract,,,
Echinacea Purpurea Tintura Raiz,Echinacea Purpurea Extract,,,
Eculizumab,Eculizumab,,,
Edotreotida,Edotreotride,,,
Edoxaban,Edoxaban,,,
Edoxaban Tosilato,Edoxaban,,,
Edoxaban Tosilato Monohidrato,Edoxaban,,,
Edtaciclina,,,,
Efanesoctocog Alfa,"Antihemophilic Factor (recombinant), Fc-vwf-xten Fusion Protein",,,
Efavirenz,Efavirenz,,,
Efedrina,Ephedrine,,,
Efedrina Hidrocloruro,Ephedrine,,,
Efgartigimod Alfa,Efgartigimod Alfa,,,
Eflornitina,Eflornithine,,,
Eflornitina Hidrocloruro,Eflornithine,,,
Efmoroctocog Alfa,Efmoroctocog Alfa,,,
Eftrenonacog Alfa,Coagulation Factor Ix Recombinant Immunoglobulin G1 Fusion Protein,,,
Elacestrant,Elacestrant,,,
Elacestrant Dihidrocloruro,Elacestrant,,,
Eladocagen Exuparvovec,Eladocagene Exuparvovec,,,
Elafibranor,Elafibranor,,,
Elasomeran,"Sars-cov-2 (covid-19) Vaccine, Mrna-1273",,,
Elbasvir,Elbasvir,,,
Eletriptan,Eletriptan,,,
Eletriptan Hidrobromuro,Eletriptan,,,
Elexacaftor,Elexacaftor,,,
Eliglustat,Eliglustat,,,
Elinzanetant,Elinzanetant,,,
Elosulfasa Alfa,Elosulfase Alfa,,,
Elotuzumab,Elotuzumab,,,
Elranatamab,Elranatamab,,,
Eltrombopag,Eltrombopag,,,
Eltrombopag Olamina,Eltrombopag Olamine,,,
Elvitegravir,Elvitegravir,,,
Emedastina,Emedastine,,,
Emedastina Difumarato,Emedastine Difumarate,,,
Emicizumab,Emicizumab,,,
Empagliflozina,Empagliflozin,,,
Emtricitabina,Emtricitabine,,,
Enalapril,Enalapril,,,
Enalapril Maleato,Enalapril Maleate,,,
Encorafenib,Encorafenib,,,
Enfortumab Vedotina,Enfortumab Vedotin,,,
Enfuvirtida,Enfuvirtide,,,
Enmetazobactam,Enmetazobactam,,,
Enoxaparina,Enoxaparin,,,
Enoxaparina Sodica,Enoxaparin,,,
Enoxolona,Glycyrrhetinic Acid,,,
Entacapona,Entacapone,,,
Entecavir,Entecavir,,,
Entecavir Monohidrato,Entecavir,,,
Enzalutamida,Enzalutamide,,,
Enzima De Streptococcus Pyogenes (hmed-ides) Recombinante Que Degrada Igg,,,,
Epcoritamab,Epcoritamab,,,
Epinastina,Epinastine,,,
Epinastina Clorhidrato,Epinastine,,,
Epinefrina,Epinephrine,,,
Epinefrina Bitartrato,Epinephrine,,,
Epinefrina Tartrato,Epinephrine,,,
